protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
1,AfterSplit,GenAugSpoofOnly,0.05,16143.333333333334,4774.666666666667,55.333333333333336,12.666666666666666,0.0007840224478005667,0.011456176673567917,0.006120099560684233,0.011333480487563616,0.9938799004393157,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,AfterSplit,GenAugSpoofOnly,0.1,16141.666666666666,4767.0,63.0,14.333333333333334,0.0008871832961953501,0.013043478260869533,0.00696533077853245,0.01288589166711035,0.9930346692214673,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,AfterSplit,GenAugSpoofOnly,0.2,16142.5,4771.833333333333,58.166666666666664,13.5,0.0008356028719979499,0.012042788129744601,0.006439195500871284,0.01190241532641925,0.9935608044991286,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.00555555555555555,0.0027777777777777666,0.0053763440860215,0.9972222222222222,1.5,1.0
1,AfterSplit,GenAugSpoofOnly,0.3,16144.333333333334,4754.666666666667,75.33333333333333,11.666666666666666,0.0007221259387636666,0.015596963423050317,0.008159544680906983,0.015367311701194167,0.991840455319093,90.0,29.666666666666668,0.3333333333333333,0.0,0.0,0.0111111111111111,0.005555555555555533,0.010752688172043,0.9944444444444445,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.05,15932.666666666666,4997.666666666667,300.3333333333333,320.3333333333333,0.019709181894624533,0.0566880583868126,0.038198620140718564,0.05466357031589102,0.9618013798592814,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.1,15946.0,4993.166666666667,304.8333333333333,307.0,0.0188888205254414,0.057537435510255384,0.038213128017848395,0.055395365947929785,0.9617868719821515,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.2,15989.833333333334,4994.166666666667,303.8333333333333,263.1666666666667,0.016191882524251883,0.05734868503837922,0.03677028378131555,0.05508091530263346,0.9632297162186845,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.3,16002.166666666666,4995.333333333333,302.6666666666667,250.83333333333334,0.0154330482577575,0.05712847615452368,0.036280762206140585,0.05484064055032975,0.9637192377938594,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.05,17312.833333333332,5776.5,5.5,165.16666666666666,0.009449975206926734,0.0009512279488065833,0.005200601577866667,0.00936599168798205,0.9947993984221334,89.66666666666667,30.0,0.0,0.3333333333333333,0.0037037037037037,0.0,0.0018518518518518335,0.003663003663003633,0.9981481481481481,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.1,17340.666666666668,5775.833333333333,6.166666666666667,137.33333333333334,0.007857497043902767,0.0010665283062377,0.004462012675070233,0.0078034863257179995,0.9955379873249298,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.2,17369.666666666668,5774.166666666667,7.833333333333333,108.33333333333333,0.006198268299195134,0.0013547791998154834,0.0037765237495053,0.006167528430334766,0.9962234762504947,89.83333333333333,30.0,0.0,0.16666666666666666,0.00185185185185185,0.0,0.0009259259259259167,0.0018315018315018165,0.9990740740740741,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.3,17354.666666666668,5774.333333333333,7.666666666666667,123.33333333333333,0.0070564900636991,0.0013259541104577,0.004191222087078416,0.007014402462136016,0.9958087779129215,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
