,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AfterSplit,GenAugSpoofOnly,0.05,6.0,16143.333333333334,2.3380903889000244,16140.0,16142.25,16143.0,16145.25,16146.0,6.0,4774.666666666667,6.8605150438335665,4766.0,4771.25,4773.5,4777.25,4786.0,6.0,55.333333333333336,6.860515043833565,44.0,52.75,56.5,58.75,64.0,6.0,12.666666666666666,2.338090388900024,10.0,10.75,13.0,13.75,16.0,6.0,0.0007840224478005667,0.00014471963288559375,0.0006189650903689,0.0006653874721465501,0.0008046546174795,0.000851076999257175,0.0009903441445902,6.0,0.011456176673567917,0.0014203964894065318,0.0091097308488612,0.0109213250517598,0.01169772256728775,0.012163561076604476,0.0132505175983436,6.0,0.006120099560684235,0.0006700445994806906,0.0050500374967257,0.005793356261953125,0.00626666271964285,0.00649184491067165,0.0069347413443562,6.0,0.011333480487563616,0.0013895293951273224,0.0090363611383793,0.0108104044149649,0.011571941743408549,0.01202712206823975,0.0130852308181848,6.0,0.9938799004393158,0.0006700445994807162,0.9930652586556438,0.9935081550893283,0.9937333372803572,0.9942066437380468,0.9949499625032744,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,AfterSplit,GenAugSpoofOnly,0.1,6.0,16141.666666666666,4.412104562073146,16133.0,16142.0,16143.0,16144.0,16145.0,6.0,4767.0,4.6475800154489,4763.0,4764.0,4765.0,4769.0,4775.0,6.0,63.0,4.6475800154489,55.0,61.0,65.0,66.0,67.0,6.0,14.333333333333334,4.412104562073146,11.0,12.0,13.0,14.0,23.0,6.0,0.00088718329619535,0.0002730938698980689,0.0006808615994057,0.0007427581084426,0.0008046546174795,0.0008665511265164,0.0014236197078484,6.0,0.013043478260869533,0.0009622318872564851,0.0113871635610766,0.0126293995859213,0.01345755693581775,0.0136645962732919,0.013871635610766,6.0,0.00696533077853245,0.00036361999973331493,0.0064053916344625,0.006732501228959626,0.0071001575221301995,0.0072500995726449,0.0072762486050859,6.0,0.01288589166711035,0.0009363003201816382,0.0112748263344557,0.012482044953667875,0.01328855388186255,0.01349151377043045,0.0136910401935919,6.0,0.9930346692214673,0.00036361999973338004,0.992723751394914,0.9927499004273548,0.9928998424778697,0.9932674987710404,0.9935946083655374,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,AfterSplit,GenAugSpoofOnly,0.2,6.0,16142.5,1.6431676725154984,16141.0,16141.25,16142.0,16143.5,16145.0,6.0,4771.833333333333,14.062953696384932,4753.0,4761.0,4777.0,4779.5,4788.0,6.0,58.166666666666664,14.062953696384932,42.0,50.5,53.0,69.0,77.0,6.0,13.5,1.6431676725154984,11.0,12.5,14.0,14.75,15.0,6.0,0.0008356028719979499,0.00010170634269099746,0.0006808615994057,0.00077370636296105,0.0008665511265164,0.000912973508294075,0.0009284476355533,6.0,0.012042788129744601,0.002911584616228752,0.008695652173913,0.01045548654244305,0.0109730848861283,0.0142857142857142,0.0159420289855072,6.0,0.006439195500871284,0.0014383097679831092,0.0047811016502147,0.00562233351633165,0.0059507662608408,0.0075142361970784504,0.0084042900560118,6.0,0.011902415326419247,0.0028412905282906875,0.0086281018923505,0.0103553708980282,0.01086391878486565,0.014091554404346349,0.0157052646165114,6.0,0.9935608044991286,0.0014383097679830923,0.9915957099439882,0.9924857638029214,0.9940492337391591,0.9943776664836683,0.9952188983497852,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,29.833333333333332,0.408248290463863,29.0,30.0,30.0,30.0,30.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.00555555555555555,0.013608276348795419,0.0,0.0,0.0,0.0,0.0333333333333333,6.0,0.0027777777777777666,0.00680413817439769,0.0,0.0,0.0,0.0,0.0166666666666666,6.0,0.0053763440860215,0.013169299692382662,0.0,0.0,0.0,0.0,0.032258064516129,6.0,0.9972222222222222,0.006804138174397693,0.9833333333333334,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,AfterSplit,GenAugSpoofOnly,0.3,6.0,16144.333333333334,1.8618986725025257,16142.0,16143.25,16144.0,16145.5,16147.0,6.0,4754.666666666667,5.5377492419453835,4749.0,4749.75,4754.0,4759.75,4761.0,6.0,75.33333333333333,5.5377492419453835,69.0,70.25,76.0,80.25,81.0,6.0,11.666666666666666,1.8618986725025255,9.0,10.5,12.0,12.75,14.0,6.0,0.0007221259387636666,0.00011524502800829813,0.000557068581332,0.0006499133448873251,0.0007427581084426,0.000789180490220275,0.0008665511265164,6.0,0.015596963423050317,0.0011465319341502091,0.0142857142857142,0.01454451345755685,0.01573498964803305,0.0166149068322981,0.0167701863354037,6.0,0.008159544680906983,0.0005746699529558913,0.0074523396880415,0.00765910991025895,0.008269822132756299,0.00860919889770385,0.0087874204764416,6.0,0.015367311701194167,0.001112473800965511,0.0140931073225538,0.0143467745741297,0.01550332902049115,0.016352981887316074,0.0165066489086953,6.0,0.991840455319093,0.000574669952955939,0.9912125795235583,0.9913908011022962,0.9917301778672437,0.992340890089741,0.9925476603119586,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,29.666666666666668,0.5163977794943222,29.0,29.25,30.0,30.0,30.0,6.0,0.3333333333333333,0.5163977794943223,0.0,0.0,0.0,0.75,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0111111111111111,0.01721325931647739,0.0,0.0,0.0,0.024999999999999974,0.0333333333333333,6.0,0.005555555555555533,0.008606629658238671,0.0,0.0,0.0,0.01249999999999995,0.0166666666666666,6.0,0.010752688172043,0.0166579928869136,0.0,0.0,0.0,0.024193548387096746,0.032258064516129,6.0,0.9944444444444445,0.008606629658238673,0.9833333333333334,0.9875,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,GenAugSpoofOnly,0.05,6.0,15932.666666666666,55.966656740122204,15851.0,15911.75,15921.5,15970.25,16007.0,6.0,4997.666666666667,6.377042156569664,4989.0,4994.25,4996.5,5003.25,5005.0,6.0,300.3333333333333,6.377042156569663,293.0,294.75,301.5,303.75,309.0,6.0,320.3333333333333,55.96665674012221,246.0,282.75,331.5,341.25,402.0,6.0,0.019709181894624533,0.0034434662363946565,0.0151356672614286,0.0173967882852396,0.0203962345413154,0.02099612379253055,0.0247338952808712,6.0,0.0566880583868126,0.0012036697162268225,0.0553038882597206,0.055634201585503924,0.05690826727066815,0.05733295583238955,0.0583238958097395,6.0,0.038198620140718564,0.0012538708822058065,0.036729781535584,0.0371735158595572,0.0383691251981775,0.038789644596088926,0.0400188917702959,6.0,0.05466357031589102,0.0009485439391164447,0.0534623146527646,0.05391742098358497,0.0548186801315872,0.05522127431553015,0.0559092733349784,6.0,0.9618013798592816,0.0012538708822057705,0.9599811082297042,0.9612103554039111,0.9616308748018225,0.9628264841404428,0.963270218464416,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,GenAugSpoofOnly,0.1,6.0,15946.0,33.02120530810467,15907.0,15927.5,15941.5,15956.25,16002.0,6.0,4993.166666666667,3.9707262140150976,4987.0,4992.0,4993.0,4994.75,4999.0,6.0,304.8333333333333,3.9707262140150976,299.0,303.25,305.0,306.0,311.0,6.0,307.0,33.02120530810467,251.0,296.75,311.5,325.5,346.0,6.0,0.0188888205254414,0.0020316990898975183,0.0154433027748723,0.018258167722881875,0.0191656924875407,0.020027071925183,0.021288377530302,6.0,0.057537435510255384,0.0007494764465864434,0.0564363910909777,0.05723858059645145,0.05756889392223475,0.0577576443941109,0.0587013967534918,6.0,0.0382131280178484,0.0007477956910961912,0.0370723497641821,0.03784731341058337,0.038408227077141796,0.0384693593286619,0.0392398852543922,6.0,0.055395365947929785,0.0005973945045393115,0.0544683174851706,0.05520553504917995,0.05540952848609925,0.05561231217149215,0.0562673772600463,6.0,0.9617868719821515,0.0007477956910962511,0.9607601147456076,0.961530640671338,0.9615917729228582,0.9621526865894166,0.962927650235818,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,GenAugSpoofOnly,0.2,6.0,15989.833333333334,19.994165815724013,15958.0,15987.75,15990.5,15991.75,16021.0,6.0,4994.166666666667,4.5789372857319925,4987.0,4992.25,4994.0,4998.0,4999.0,6.0,303.8333333333333,4.5789372857319925,299.0,300.0,304.0,305.75,311.0,6.0,263.1666666666667,19.994165815724013,232.0,261.25,262.5,265.25,295.0,6.0,0.016191882524251883,0.001230183093319645,0.0142742878237863,0.016073955577431798,0.01615086445579275,0.01632006398818675,0.0181504952931766,6.0,0.05734868503837922,0.0008642765733733256,0.0564363910909777,0.05662514156285388,0.0573801434503586,0.05771045677614187,0.0587013967534918,6.0,0.03677028378131555,0.0005840706802603697,0.036278245997713,0.03642293572447765,0.03655641283938005,0.03688347299799825,0.0378596946077057,6.0,0.055080915302633475,0.0007585823427254059,0.0542492620978362,0.054429546567835704,0.0551587843220181,0.05543554301264103,0.0562043978479715,6.0,0.9632297162186844,0.0005840706802603697,0.9621403053922942,0.9631165270020018,0.96344358716062,0.9635770642755223,0.963721754002287,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,GenAugSpoofOnly,0.3,6.0,16002.166666666666,15.740605663908449,15976.0,15996.75,16003.5,16011.75,16021.0,6.0,4995.333333333333,5.202563470700446,4989.0,4991.0,4996.0,4998.75,5002.0,6.0,302.6666666666667,5.202563470700445,296.0,299.25,302.0,307.0,309.0,6.0,250.83333333333334,15.740605663908449,232.0,241.25,249.5,256.25,277.0,6.0,0.015433048257757499,0.0009684738610661763,0.0142742878237863,0.01484341352365715,0.0153510121208392,0.015766320063988124,0.0170430074447794,6.0,0.05712847615452368,0.000981986310060494,0.0558701396753491,0.05648357870894675,0.05700264250660625,0.05794639486598713,0.0583238958097395,6.0,0.03628076220614058,0.00030701356510053296,0.035939846932925,0.036083099517568454,0.0362271418045492,0.03640482192711662,0.0367913086382728,6.0,0.05484064055032976,0.0008507520527206948,0.0537819411352732,0.054262482813624675,0.05471980659250495,0.05552723535189957,0.0559158691559997,6.0,0.9637192377938594,0.0003070135651005459,0.9632086913617272,0.9635951780728833,0.9637728581954508,0.9639169004824317,0.9640601530670748,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
