,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BeforeSplit,GenAugSpoofOnly,0.05,6.0,16141.166666666666,3.2506409624359724,16135.0,16141.0,16142.0,16143.0,16144.0,6.0,4777.5,8.384509526501834,4766.0,4772.75,4777.5,4781.5,4790.0,6.0,52.5,8.384509526501834,40.0,48.5,52.5,57.25,64.0,6.0,14.833333333333334,3.2506409624359724,12.0,13.0,14.0,15.0,21.0,6.0,0.0009181315507138,0.0002012033277070976,0.0007427581084426,0.0008046546174795,0.0008665511265163999,0.0009284476355533,0.0012998266897746,6.0,0.010869565217391264,0.0017359232974123637,0.0082815734989648,0.010041407867494776,0.0108695652173913,0.011853002070393324,0.0132505175983436,6.0,0.005893848384052534,0.0008814385294670327,0.004605010567259,0.005399820051598325,0.00596090293550915,0.006437147234750975,0.0070275861079116,6.0,0.01076004939083385,0.0017007821283112107,0.0082211225501152,0.009949022486483324,0.01076375630611585,0.011725878499004225,0.0130876307394167,6.0,0.9941061516159474,0.000881438529467046,0.9929724138920882,0.9935628527652489,0.9940390970644908,0.9946001799484017,0.9953949894327409,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,BeforeSplit,GenAugSpoofOnly,0.1,6.0,16142.666666666666,3.0767948691238205,16138.0,16140.75,16143.5,16144.75,16146.0,6.0,4772.5,5.394441583704471,4764.0,4769.75,4773.5,4775.75,4779.0,6.0,57.5,5.394441583704471,51.0,54.25,56.5,60.25,66.0,6.0,13.333333333333334,3.07679486912382,10.0,11.25,12.5,15.25,18.0,6.0,0.0008252867871584834,0.0001904428614213884,0.0006189650903689,0.000696335726664925,0.00077370636296105,0.0009439217628125251,0.001114137162664,6.0,0.011904761904761868,0.0011168616115330215,0.0105590062111801,0.01123188405797095,0.01169772256728775,0.0124741200828157,0.0136645962732919,6.0,0.006365024345960166,0.0005118232404551586,0.005836571686922,0.0060105322740956505,0.00620476621060595,0.00669354679555485,0.0071417806818304,6.0,0.011773210866449932,0.0010898835330222399,0.0104602108891125,0.0111157949250293,0.0115705064227789,0.012331517934816825,0.0134886285994204,6.0,0.9936349756540398,0.0005118232404551291,0.9928582193181696,0.9933064532044452,0.993795233789394,0.9939894677259044,0.994163428313078,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,BeforeSplit,GenAugSpoofOnly,0.2,6.0,16141.333333333334,4.88535225614967,16132.0,16141.25,16142.5,16143.75,16146.0,6.0,4770.333333333333,6.8605150438335665,4760.0,4765.75,4773.0,4775.0,4777.0,6.0,59.666666666666664,6.860515043833566,53.0,55.0,57.0,64.25,70.0,6.0,14.666666666666666,4.88535225614967,10.0,12.25,13.5,14.75,24.0,6.0,0.0009078154658743332,0.0003023862500711505,0.0006189650903689,0.000758232235701825,0.0008356028719979499,0.000912973508294075,0.0014855162168853,6.0,0.012353347135955801,0.0014203964894065444,0.0109730848861283,0.0113871635610766,0.0118012422360248,0.013302277432712176,0.0144927536231884,6.0,0.006630581300915067,0.000614599407665778,0.006095909089278,0.0061524681457240755,0.006400592412385,0.007045728961466275,0.0075558593567786,6.0,0.01221169777642385,0.0013835154412975663,0.0108699554374836,0.011268093235552725,0.01167379889487715,0.013137454550983325,0.0142944356458419,6.0,0.993369418699085,0.0006145994076658036,0.9924441406432214,0.9929542710385335,0.993599407587615,0.9938475318542759,0.993904090910722,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,29.833333333333332,0.40824829046386296,29.0,30.0,30.0,30.0,30.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.00555555555555555,0.013608276348795417,0.0,0.0,0.0,0.0,0.0333333333333333,6.0,0.0027777777777777666,0.00680413817439769,0.0,0.0,0.0,0.0,0.0166666666666666,6.0,0.0053763440860215,0.013169299692382664,0.0,0.0,0.0,0.0,0.032258064516129,6.0,0.9972222222222222,0.006804138174397693,0.9833333333333334,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,BeforeSplit,GenAugSpoofOnly,0.3,6.0,16143.833333333334,2.136976056643281,16140.0,16143.25,16144.5,16145.0,16146.0,6.0,4764.0,10.545141061171254,4749.0,4756.75,4768.5,4769.0,4776.0,6.0,66.0,10.545141061171254,54.0,61.0,61.5,73.25,81.0,6.0,12.166666666666666,2.136976056643281,10.0,11.0,11.5,12.75,16.0,6.0,0.0007530741932820999,0.00013227135780163947,0.0006189650903689,0.0006808615994057,0.00071180985392415,0.000789180490220275,0.0009903441445902,6.0,0.013664596273291885,0.0021832590188760465,0.0111801242236024,0.0126293995859213,0.01273291925465835,0.01516563146997925,0.0167701863354037,6.0,0.007208835233287,0.0010548608128328081,0.005992389420541,0.00670422170073665,0.00678426106332815,0.007912840744767424,0.0087255239674047,6.0,0.013486467673168566,0.0021231935304440778,0.0110653163699242,0.012481805560226725,0.0125831875005258,0.014946645798111875,0.016504637857268,6.0,0.992791164766713,0.001054860812832815,0.9912744760325952,0.9920871592552326,0.9932157389366718,0.9932957782992633,0.994007610579459,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,GenAugSpoofOnly,0.05,6.0,15969.166666666666,62.74843955563092,15897.0,15928.25,15953.0,16014.5,16057.0,6.0,4992.666666666667,3.559026084010437,4987.0,4990.75,4993.5,4995.5,4996.0,6.0,305.3333333333333,3.559026084010437,302.0,302.5,304.5,307.25,311.0,6.0,283.8333333333333,62.74843955563092,196.0,238.5,300.0,324.75,356.0,6.0,0.01746344264648575,0.0038607296840971386,0.0120593121269919,0.01467421399126315,0.0184581308066203,0.01998092659816645,0.0219036485571894,6.0,0.05763181074619348,0.0006717678527765952,0.0570026425066062,0.057097017742544304,0.0574745186862967,0.057993582483956176,0.0587013967534918,6.0,0.03754762669633961,0.0018943777130323285,0.0350972287324276,0.03605077252979535,0.0378719495105204,0.0390916738036015,0.0395026703203871,6.0,0.0554061963735718,0.0006057547523214599,0.0549163290043049,0.054997388345975076,0.055221158996227246,0.055524019902788824,0.0565307595771377,6.0,0.9624523733036604,0.0018943777130322685,0.960497329679613,0.9609083261963987,0.9621280504894796,0.9639492274702046,0.9649027712675724,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,GenAugSpoofOnly,0.1,6.0,15945.5,29.911536236041105,15903.0,15929.75,15943.0,15966.0,15985.0,6.0,4994.666666666667,6.153589738247641,4989.0,4989.25,4993.5,4999.25,5003.0,6.0,303.3333333333333,6.15358973824764,295.0,298.75,304.5,308.75,309.0,6.0,307.5,29.911536236041105,268.0,287.0,310.0,323.25,350.0,6.0,0.018919584076785786,0.0018403701615727038,0.0164892635205808,0.017658278471666698,0.0190734018335076,0.019888635944133377,0.021534485941057,6.0,0.05725430980244114,0.0011614929668266596,0.055681389203473,0.056389203473008624,0.05747451868629665,0.05827670819177045,0.0583238958097395,6.0,0.03808694693961346,0.0006398452736391708,0.037312204429222,0.037793998341206975,0.03783805908631855,0.0386067530187591,0.0388910632800793,6.0,0.055138606109462966,0.0009890073114222947,0.0537660513833331,0.05445332482508905,0.05527115780691885,0.055971407281176125,0.056137732055866,6.0,0.9619130530603864,0.000639845273639204,0.9611089367199206,0.961393246981241,0.9621619409136815,0.962206001658793,0.962687795570778,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,GenAugSpoofOnly,0.2,6.0,15987.166666666666,32.6276978450314,15951.0,15967.0,15976.0,16011.25,16033.0,6.0,4995.5,6.058052492344384,4987.0,4993.25,4994.5,4998.0,5005.0,6.0,302.5,6.058052492344384,293.0,300.0,303.5,304.75,311.0,6.0,265.8333333333333,32.6276978450314,220.0,241.75,277.0,286.0,302.0,6.0,0.0163559547980885,0.002007487715808248,0.0135359625915215,0.014874177075001474,0.0170430074447794,0.017596751368977977,0.0185811850119977,6.0,0.05709701774254431,0.0011434602665806608,0.0553038882597206,0.05662514156285388,0.057285768214420496,0.05752170630426575,0.0587013967534918,6.0,0.03672648627031642,0.0011768155338191836,0.0355524282568781,0.035867628363850323,0.03645657356006425,0.03729969693779213,0.0386412908827448,6.0,0.05486117409598537,0.001049754803438245,0.0532469560354969,0.054489776504371076,0.05501267931942115,0.0551097651381496,0.0564371272578262,6.0,0.9632735137296836,0.0011768155338191938,0.9613587091172552,0.9627003030622079,0.9635434264399357,0.9641323716361498,0.9644475717431218,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,GenAugSpoofOnly,0.3,6.0,15965.0,50.09191551538032,15905.0,15925.75,15964.0,16000.75,16031.0,6.0,4997.0,5.656854249492381,4991.0,4992.0,4997.0,5000.5,5005.0,6.0,301.0,5.656854249492381,293.0,297.5,301.0,306.0,307.0,6.0,288.0,50.09191551538032,222.0,252.25,289.0,327.25,348.0,6.0,0.01771980557435545,0.003082010429790208,0.013659016796899,0.015520211653233175,0.017781332677044202,0.020134744354888275,0.0214114317356795,6.0,0.056813892034730036,0.001067733908926453,0.0553038882597206,0.0561532653831634,0.05681389203473005,0.05775764439411092,0.0579463948659871,6.0,0.03726684880454275,0.0011033326356657584,0.0358027058314431,0.0364501775517959,0.03748636282776325,0.0378608791612116,0.0387351609414524,6.0,0.05467395475038738,0.0008333248061536733,0.0534432423731617,0.05423715217342475,0.054645092637372494,0.055338321370515496,0.0556397312207456,6.0,0.9627331511954571,0.0011033326356658054,0.9612648390585474,0.9621391208387882,0.9625136371722366,0.963549822448204,0.9641972941685568,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
