protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.05,16141.166666666666,4777.5,52.5,14.833333333333334,0.0009181315507138001,0.010869565217391268,0.005893848384052533,0.01076004939083385,0.9941061516159474,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.1,16142.666666666666,4772.5,57.5,13.333333333333334,0.0008252867871584834,0.011904761904761868,0.006365024345960167,0.011773210866449932,0.9936349756540398,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.2,16141.333333333334,4770.333333333333,59.666666666666664,14.666666666666666,0.0009078154658743333,0.012353347135955801,0.006630581300915067,0.01221169777642385,0.9933694186990848,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.00555555555555555,0.0027777777777777666,0.0053763440860215,0.9972222222222222,1.5,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.3,16143.833333333334,4764.0,66.0,12.166666666666666,0.0007530741932821001,0.013664596273291883,0.007208835233287,0.013486467673168565,0.992791164766713,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.05,15969.166666666666,4992.666666666667,305.3333333333333,283.8333333333333,0.01746344264648575,0.05763181074619348,0.03754762669633962,0.0554061963735718,0.9624523733036604,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.1,15945.5,4994.666666666667,303.3333333333333,307.5,0.018919584076785786,0.05725430980244114,0.03808694693961347,0.055138606109462966,0.9619130530603864,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.2,15987.166666666666,4995.5,302.5,265.8333333333333,0.0163559547980885,0.05709701774254431,0.03672648627031642,0.05486117409598537,0.9632735137296836,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.3,15965.0,4997.0,301.0,288.0,0.01771980557435545,0.05681389203473003,0.03726684880454275,0.05467395475038738,0.9627331511954571,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.05,17327.833333333332,5776.5,5.5,150.16666666666666,0.008591753442422816,0.0009512279488065999,0.004771490695614717,0.008525059653286166,0.9952285093043853,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.1,17324.666666666668,5779.0,3.0,153.33333333333334,0.008772933592706967,0.0005188516084399334,0.004645892600573433,0.008697994010124617,0.9953541073994265,89.66666666666667,30.0,0.0,0.3333333333333333,0.0037037037037037,0.0,0.0018518518518518335,0.003663003663003633,0.9981481481481481,1.5,1.0
