trial_id,protocol_number,fold_number,protocol,TN,TP,FN,FP,APCER,BPCER,ACER,EER,EER_Thresh,AUC,Multi_protocol_number,Multi_fold_number,Multi_protocol,Multi_TN,Multi_TP,Multi_FN,Multi_FP,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_EER_Thresh,Multi_AUC,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/HP_COMB,config/must_remove_normal,config/epochs,config/save_metrics_root,config/save_checkpoints_root,config/save_tb_root,config/dataset_root,config/dataset_name,config/dataset_csv_name,config/aug_root,config/aug_csv,config/train_subject_number,config/test_subject_number,config/get_train_frame_func,config/get_protocol_frame_dic_func,config/is_ray,config/get_stratified_name_col_func,config/process_dataset_metrics_func,config/stratified_name_list_func,config/n_folds,config/current_fold,config/HP_REPEAT,config/original_dataset_root,config/use_last_only,config/include_traditional_aug,config/aug_after_split,config/mode_info,config/must_use_normal_only,config/HP_AUG_PER
901dc_00034,2,0,Normal_Quality,5011,15966,287,287,0.017658278471666768,0.05417138542846357,0.035914831950065174,0.0522630973645001,1.0352268646790193,0.9640851680499348,2,0,Normal_Quality,28,89,1,2,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,1.0526315789473684,0.9611111111111111,4189.77628326416,True,,,1,4ff67573c9884ad69657e66fa83f352d,2022-10-08_07-58-06,1665208686,4189.77628326416,1195862,bigboi,192.168.0.26,4189.77628326416,0,1,0.0022618770599365234,"34_HP_AUG_PER=0.2000,HP_COMB=A_N2_A_R2_A_W2_A_C2,HP_REPEAT=2,current_fold=0","A@N2,A@R2,A@W2,A@C2",True,70,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/Datasets/CASIA,CASIA,casia.csv,/home/jarred/Documents/Generated/CASIA,CASIA.csv,,,<function get_train_casia_frame_func at 0x7fb612049040>,<function get_casia_protocol_frame_dic at 0x7fb6120498b0>,True,<function get_casia_stratified_name_col at 0x7fb6120499d0>,<function process_casia_dataset_metrics_func at 0x7fb612049ee0>,<function get_casia_stratified_name_list_func at 0x7fb6120bc700>,3,0,2,,False,False,True,_GenAugSpoofOnly,False,0.2
901dc_00026,7,0,All_Categories,15661,49455,432,249,0.008659570629622948,0.01565053425518542,0.012155052442404182,0.015541881526759047,1.0069424293544722,0.987844947557596,7,0,All_Categories,89,270,0,1,0.0,0.011111111111111112,0.005555555555555556,0.01098901098901099,1.010989010989011,0.9944444444444445,12478.073702096939,True,,,1,0a72c4efa7394b679bdd43d3f09cbed2,2022-10-08_07-55-20,1665208520,12478.073702096939,943579,bigboi,192.168.0.26,12478.073702096939,0,1,0.0017943382263183594,"26_HP_AUG_PER=0.2000,HP_COMB=A_HR_N_A_HR_W_A_HR_C_A_HR_R_A_N1_A_N2_A_R1_A_R2_A_W1_A_W2_A_C1_A_C2,HP_REPEAT=1,current_fold=0","A@HR_N,A@HR_W,A@HR_C,A@HR_R,A@N1,A@N2,A@R1,A@R2,A@W1,A@W2,A@C1,A@C2",True,70,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/Datasets/CASIA,CASIA,casia.csv,/home/jarred/Documents/Generated/CASIA,CASIA.csv,,,<function get_train_casia_frame_func at 0x7fb612049040>,<function get_casia_protocol_frame_dic at 0x7fb6120498b0>,True,<function get_casia_stratified_name_col at 0x7fb6120499d0>,<function process_casia_dataset_metrics_func at 0x7fb612049ee0>,<function get_casia_stratified_name_list_func at 0x7fb6120bc700>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.2
901dc_00033,2,0,Normal_Quality,4994,16009,244,304,0.01501261305605119,0.05738014345035863,0.03619637825320491,0.05504789987908855,1.0406454817124635,0.9638036217467951,2,0,Normal_Quality,28,89,1,2,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,1.0526315789473684,0.9611111111111111,4432.344922542572,True,,,1,11cd6024c0ed44cf910f64f8392f8656,2022-10-08_07-49-33,1665208173,4432.344922542572,1171537,bigboi,192.168.0.26,4432.344922542572,0,1,0.003545522689819336,"33_HP_AUG_PER=0.1000,HP_COMB=A_N2_A_R2_A_W2_A_C2,HP_REPEAT=2,current_fold=0","A@N2,A@R2,A@W2,A@C2",True,70,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/Datasets/CASIA,CASIA,casia.csv,/home/jarred/Documents/Generated/CASIA,CASIA.csv,,,<function get_train_casia_frame_func at 0x7fb612049040>,<function get_casia_protocol_frame_dic at 0x7fb6120498b0>,True,<function get_casia_stratified_name_col at 0x7fb6120499d0>,<function process_casia_dataset_metrics_func at 0x7fb612049ee0>,<function get_casia_stratified_name_list_func at 0x7fb6120bc700>,3,0,2,,False,False,True,_GenAugSpoofOnly,False,0.1
901dc_00035,2,0,Normal_Quality,4991,15926,327,307,0.020119362579216146,0.05794639486598716,0.03903287872260165,0.055834347211314,1.036448301219734,0.9609671212773983,2,0,Normal_Quality,28,89,1,2,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,1.0526315789473684,0.9611111111111111,1959.089201450348,True,,,1,f006154a53ec4f4aa312297eb4dfc2ab,2022-10-08_07-44-20,1665207860,1959.089201450348,1242277,bigboi,192.168.0.26,1959.089201450348,0,1,0.0018963813781738281,"35_HP_AUG_PER=0.3000,HP_COMB=A_N2_A_R2_A_W2_A_C2,HP_REPEAT=2,current_fold=0","A@N2,A@R2,A@W2,A@C2",True,70,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/Datasets/CASIA,CASIA,casia.csv,/home/jarred/Documents/Generated/CASIA,CASIA.csv,,,<function get_train_casia_frame_func at 0x7fb612049040>,<function get_casia_protocol_frame_dic at 0x7fb6120498b0>,True,<function get_casia_stratified_name_col at 0x7fb6120499d0>,<function process_casia_dataset_metrics_func at 0x7fb612049ee0>,<function get_casia_stratified_name_list_func at 0x7fb6120bc700>,3,0,2,,False,False,True,_GenAugSpoofOnly,False,0.3
901dc_00031,1,0,Low_Quality,4758,16147,9,72,0.0005570685813320129,0.014906832298136646,0.007731950439734329,0.014695948903773265,1.0141467610385435,0.9922680495602657,1,0,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4004.582542181015,True,,,1,e152e048c75945cfa17f7dcebd5ae988,2022-10-08_07-31-13,1665207073,4004.582542181015,1145861,bigboi,192.168.0.26,4004.582542181015,0,1,0.0019304752349853516,"31_HP_AUG_PER=0.3000,HP_COMB=A_N1_A_R1_A_W1_A_C1,HP_REPEAT=2,current_fold=0","A@N1,A@R1,A@W1,A@C1",True,70,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/Datasets/CASIA,CASIA,casia.csv,/home/jarred/Documents/Generated/CASIA,CASIA.csv,,,<function get_train_casia_frame_func at 0x7fb612049040>,<function get_casia_protocol_frame_dic at 0x7fb6120498b0>,True,<function get_casia_stratified_name_col at 0x7fb6120499d0>,<function process_casia_dataset_metrics_func at 0x7fb612049ee0>,<function get_casia_stratified_name_list_func at 0x7fb6120bc700>,3,0,2,,False,False,True,_GenAugSpoofOnly,False,0.3
901dc_00032,2,0,Normal_Quality,4990,16003,250,308,0.015381775672183597,0.05813514533786335,0.036758460505023474,0.05575157753410303,1.04100046176728,0.9632415394949765,2,0,Normal_Quality,28,89,1,2,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,1.0526315789473684,0.9611111111111111,2659.357410669327,True,,,1,93734ea678f54312abe2874011bd29ae,2022-10-08_07-11-39,1665205899,2659.357410669327,1153249,bigboi,192.168.0.26,2659.357410669327,0,1,0.001970529556274414,"32_HP_AUG_PER=0.0500,HP_COMB=A_N2_A_R2_A_W2_A_C2,HP_REPEAT=2,current_fold=0","A@N2,A@R2,A@W2,A@C2",True,70,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/Datasets/CASIA,CASIA,casia.csv,/home/jarred/Documents/Generated/CASIA,CASIA.csv,,,<function get_train_casia_frame_func at 0x7fb612049040>,<function get_casia_protocol_frame_dic at 0x7fb6120498b0>,True,<function get_casia_stratified_name_col at 0x7fb6120499d0>,<function process_casia_dataset_metrics_func at 0x7fb612049ee0>,<function get_casia_stratified_name_list_func at 0x7fb6120bc700>,3,0,2,,False,False,True,_GenAugSpoofOnly,False,0.05
901dc_00025,7,0,All_Categories,15615,49452,435,295,0.008719706536773108,0.018541797611565054,0.01363075207416908,0.01836144977956495,1.0097265559563446,0.9863692479258308,7,0,All_Categories,89,269,1,1,0.003703703703703704,0.011111111111111112,0.007407407407407408,0.011029411764705881,1.0073529411764706,0.9925925925925927,10739.519682645798,True,,,1,1a815db573d84c64b7465a09e0464bfc,2022-10-08_06-48-13,1665204493,10739.519682645798,881721,bigboi,192.168.0.26,10739.519682645798,0,1,0.0021867752075195312,"25_HP_AUG_PER=0.1000,HP_COMB=A_HR_N_A_HR_W_A_HR_C_A_HR_R_A_N1_A_N2_A_R1_A_R2_A_W1_A_W2_A_C1_A_C2,HP_REPEAT=1,current_fold=0","A@HR_N,A@HR_W,A@HR_C,A@HR_R,A@N1,A@N2,A@R1,A@R2,A@W1,A@W2,A@C1,A@C2",True,70,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/Datasets/CASIA,CASIA,casia.csv,/home/jarred/Documents/Generated/CASIA,CASIA.csv,,,<function get_train_casia_frame_func at 0x7fb612049040>,<function get_casia_protocol_frame_dic at 0x7fb6120498b0>,True,<function get_casia_stratified_name_col at 0x7fb6120499d0>,<function process_casia_dataset_metrics_func at 0x7fb612049ee0>,<function get_casia_stratified_name_list_func at 0x7fb6120bc700>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.1
901dc_00030,1,0,Low_Quality,4786,16133,23,44,0.0014236197078484774,0.009109730848861283,0.00526667527835488,0.009040246509447517,1.007627485440193,0.9947333247216451,1,0,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3295.313057422638,True,,,1,b1717fddeb5442d5a80c8b62acf54b69,2022-10-08_06-35-37,1665203737,3295.313057422638,1067660,bigboi,192.168.0.26,3295.313057422638,0,1,0.001863718032836914,"30_HP_AUG_PER=0.2000,HP_COMB=A_N1_A_R1_A_W1_A_C1,HP_REPEAT=2,current_fold=0","A@N1,A@R1,A@W1,A@C1",True,70,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/Datasets/CASIA,CASIA,casia.csv,/home/jarred/Documents/Generated/CASIA,CASIA.csv,,,<function get_train_casia_frame_func at 0x7fb612049040>,<function get_casia_protocol_frame_dic at 0x7fb6120498b0>,True,<function get_casia_stratified_name_col at 0x7fb6120499d0>,<function process_casia_dataset_metrics_func at 0x7fb612049ee0>,<function get_casia_stratified_name_list_func at 0x7fb6120bc700>,3,0,2,,False,False,True,_GenAugSpoofOnly,False,0.2
901dc_00024,7,0,All_Categories,15624,49431,456,286,0.009140657886824223,0.017976115650534256,0.01355838676867924,0.01781867946075368,1.0087580761517798,0.9864416132313207,7,0,All_Categories,89,269,1,1,0.003703703703703704,0.011111111111111112,0.007407407407407408,0.011029411764705881,1.0073529411764706,0.9925925925925927,9626.144524812698,True,,,1,f3039a9934ae470781868774cf284f96,2022-10-08_06-27-16,1665203236,9626.144524812698,877435,bigboi,192.168.0.26,9626.144524812698,0,1,0.0020389556884765625,"24_HP_AUG_PER=0.0500,HP_COMB=A_HR_N_A_HR_W_A_HR_C_A_HR_R_A_N1_A_N2_A_R1_A_R2_A_W1_A_W2_A_C1_A_C2,HP_REPEAT=1,current_fold=0","A@HR_N,A@HR_W,A@HR_C,A@HR_R,A@N1,A@N2,A@R1,A@R2,A@W1,A@W2,A@C1,A@C2",True,70,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/Datasets/CASIA,CASIA,casia.csv,/home/jarred/Documents/Generated/CASIA,CASIA.csv,,,<function get_train_casia_frame_func at 0x7fb612049040>,<function get_casia_protocol_frame_dic at 0x7fb6120498b0>,True,<function get_casia_stratified_name_col at 0x7fb6120499d0>,<function process_casia_dataset_metrics_func at 0x7fb612049ee0>,<function get_casia_stratified_name_list_func at 0x7fb6120bc700>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.05
901dc_00029,1,0,Low_Quality,4786,16145,11,44,0.0006808615994057935,0.009109730848861283,0.0048952962241335385,0.009033587917451624,1.0083584172433784,0.9951047037758666,1,0,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4179.411320924759,True,,,1,b3129323159b4e81b02a67058fad8fb9,2022-10-08_06-24-25,1665203065,4179.411320924759,1022619,bigboi,192.168.0.26,4179.411320924759,0,1,0.00433659553527832,"29_HP_AUG_PER=0.1000,HP_COMB=A_N1_A_R1_A_W1_A_C1,HP_REPEAT=2,current_fold=0","A@N1,A@R1,A@W1,A@C1",True,70,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/SavedAntispoofing/CASIA_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/CASIA_antispoof_10_07_2022_21_16_34,/home/jarred/Documents/Datasets/CASIA,CASIA,casia.csv,/home/jarred/Documents/Generated/CASIA,CASIA.csv,,,<function get_train_casia_frame_func at 0x7fb612049040>,<function get_casia_protocol_frame_dic at 0x7fb6120498b0>,True,<function get_casia_stratified_name_col at 0x7fb6120499d0>,<function process_casia_dataset_metrics_func at 0x7fb612049ee0>,<function get_casia_stratified_name_list_func at 0x7fb6120bc700>,3,0,2,,False,False,True,_GenAugSpoofOnly,False,0.1
