protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
1,AfterSplit,GenAugSpoofOnly,0.05,16138.833333333334,4772.333333333333,57.666666666666664,17.166666666666668,0.0010625567384665666,0.01193926846100755,0.006500912599737067,0.0118092303517208,0.9934990874002628,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,AfterSplit,GenAugSpoofOnly,0.1,16141.333333333334,4775.333333333333,54.666666666666664,14.666666666666666,0.0009078154658743167,0.011318150448585168,0.006112982957229766,0.011197988933574534,0.9938870170427702,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.00555555555555555,0.0027777777777777666,0.0053763440860215,0.9972222222222222,1.5,1.0
1,AfterSplit,GenAugSpoofOnly,0.2,16141.166666666666,4769.0,61.0,14.833333333333334,0.0009181315507138001,0.012629399585921268,0.0067737655683175494,0.012478732246697535,0.9932262344316825,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,AfterSplit,GenAugSpoofOnly,0.3,16143.666666666666,4759.5,70.5,12.333333333333334,0.0007633902781216,0.014596273291925416,0.0076798317850235,0.014391171473444432,0.9923201682149765,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.00555555555555555,0.0027777777777777666,0.0053763440860215,0.9972222222222222,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.05,15941.0,4994.666666666667,303.3333333333333,312.0,0.019196456038885052,0.05725430980244114,0.0382253829206631,0.05515291041853315,0.9617746170793368,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.1,15962.833333333334,4993.833333333333,304.1666666666667,290.1666666666667,0.017853114296847716,0.05741160186233795,0.03763235807959283,0.05522634678158286,0.9623676419204071,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.2,15968.833333333334,4995.333333333333,302.6666666666667,284.1666666666667,0.017483951680715298,0.05712847615452366,0.037306213917619485,0.05494807152311415,0.9626937860823804,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.3,15978.166666666666,4994.666666666667,303.3333333333333,274.8333333333333,0.016909698722287102,0.05725430980244112,0.03708200426236411,0.05503278675898845,0.9629179957376358,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.05,17316.666666666668,5777.666666666667,4.333333333333333,161.33333333333334,0.009230651867109084,0.0007494523233021333,0.004990052095205617,0.0091501576713345,0.9950099479047942,89.83333333333333,30.0,0.0,0.16666666666666666,0.00185185185185185,0.0,0.0009259259259259167,0.0018315018315018165,0.9990740740740741,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.1,17300.666666666668,5776.166666666667,5.833333333333333,177.33333333333334,0.0101460884159133,0.0010088781275221332,0.005577483271717701,0.01004149912802575,0.9944225167282822,89.66666666666667,30.0,0.0,0.3333333333333333,0.0037037037037037,0.0,0.0018518518518518335,0.003663003663003633,0.9981481481481481,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.2,17349.833333333332,5778.5,3.5,128.16666666666666,0.007333028187817017,0.0006053268765132667,0.0039691775321651504,0.007279617936791101,0.9960308224678348,89.83333333333333,30.0,0.0,0.16666666666666666,0.00185185185185185,0.0,0.0009259259259259167,0.0018315018315018165,0.9990740740740741,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.3,17338.666666666668,5776.833333333333,5.166666666666667,139.33333333333334,0.007971926612503266,0.0008935777700910166,0.004432752191297133,0.007912798670643116,0.9955672478087028,89.66666666666667,30.0,0.0,0.3333333333333333,0.0037037037037037,0.0,0.0018518518518518335,0.003663003663003633,0.9981481481481481,1.5,1.0
4,AfterSplit,GenAugSpoofOnly,0.05,19171.0,15755.5,154.5,203.0,0.010477960152782018,0.009710873664362,0.010094416908572016,0.010568155841717733,0.989905583091428,90.0,89.33333333333333,0.6666666666666666,0.0,0.0,0.0074074074074074,0.003703703703703667,0.007326007326007266,0.9962962962962963,1.5,1.0
4,AfterSplit,GenAugSpoofOnly,0.1,19170.0,15741.166666666666,168.83333333333334,204.0,0.010529575720037118,0.010611774565262902,0.010570675142649984,0.01128801076894035,0.9894293248573499,90.0,89.0,1.0,0.0,0.0,0.0111111111111111,0.0055555555555555,0.0109890109890109,0.9944444444444444,1.5,1.0
4,AfterSplit,GenAugSpoofOnly,0.2,19197.166666666668,15739.333333333334,170.66666666666666,176.83333333333334,0.009127352809607333,0.010727006075843233,0.009927179442725283,0.011221248117650533,0.9900728205572746,90.0,89.0,1.0,0.0,0.0,0.0111111111111111,0.005555555555555518,0.010949195731804367,0.9944444444444445,1.5,1.0
4,AfterSplit,GenAugSpoofOnly,0.3,19170.166666666668,15731.5,178.5,203.83333333333334,0.010520973125494599,0.011219358893777433,0.010870166009636034,0.012099374197946865,0.9891298339903639,90.0,88.66666666666667,1.3333333333333333,0.0,0.0,0.0148148148148148,0.007407407407407383,0.014532568880394933,0.9925925925925926,1.5,1.0
5,AfterSplit,GenAugSpoofOnly,0.05,14703.0,15729.666666666666,180.33333333333334,143.0,0.009632224168126034,0.011334590404357784,0.010483407286241933,0.011314138822895716,0.989516592713758,89.33333333333333,89.0,1.0,0.6666666666666666,0.0074074074074074,0.0111111111111111,0.009259259259259233,0.011070411070411033,0.9907407407407406,1.5,1.0
5,AfterSplit,GenAugSpoofOnly,0.1,14703.333333333334,15737.333333333334,172.66666666666666,142.66666666666666,0.0096097714311374,0.010852713178294532,0.010231242304715968,0.010924217929791652,0.989768757695284,89.5,89.0,1.0,0.5,0.00555555555555555,0.0111111111111111,0.008333333333333299,0.011050061050060999,0.9916666666666666,1.5,1.0
5,AfterSplit,GenAugSpoofOnly,0.2,14692.166666666666,15736.333333333334,173.66666666666666,153.83333333333334,0.0103619381202568,0.010915566729520166,0.010638752424888466,0.011394878613798948,0.9893612475751116,89.5,89.0,1.0,0.5,0.00555555555555555,0.0111111111111111,0.0083333333333333,0.011050061050060999,0.9916666666666666,1.5,1.0
5,AfterSplit,GenAugSpoofOnly,0.3,14707.166666666666,15717.333333333334,192.66666666666666,138.83333333333334,0.00935156495576805,0.012109784202807417,0.01073067457928775,0.0120762487525254,0.9892693254207123,89.66666666666667,89.0,1.0,0.3333333333333333,0.0037037037037037,0.0111111111111111,0.007407407407407367,0.011029711029710967,0.9925925925925925,1.5,1.0
6,AfterSplit,GenAugSpoofOnly,0.05,15452.666666666666,15581.333333333334,328.6666666666667,214.33333333333334,0.013680559988085317,0.020657867169495015,0.01716921357879015,0.02051452476165345,0.9828307864212098,89.16666666666667,87.83333333333333,2.1666666666666665,0.8333333333333334,0.00925925925925925,0.02407407407407405,0.016666666666666618,0.02370998566650735,0.9833333333333334,1.5,1.0
6,AfterSplit,GenAugSpoofOnly,0.1,15448.333333333334,15578.833333333334,331.1666666666667,218.66666666666666,0.013957149847875534,0.02081500104755915,0.017386075447717333,0.020672428825729252,0.9826139245522826,89.16666666666667,87.83333333333333,2.1666666666666665,0.8333333333333334,0.00925925925925925,0.02407407407407405,0.016666666666666618,0.02370998566650735,0.9833333333333334,1.5,1.0
