,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AfterSplit,GenAugSpoofOnly,0.05,6.0,16138.833333333334,3.763863263545405,16134.0,16136.25,16138.5,16142.25,16143.0,6.0,4772.333333333333,6.5625198412398476,4766.0,4767.25,4771.5,4775.0,4783.0,6.0,57.666666666666664,6.5625198412398476,47.0,55.0,58.5,62.75,64.0,6.0,17.166666666666668,3.763863263545405,13.0,13.75,17.5,19.75,22.0,6.0,0.0010625567384665666,0.00023296999650566845,0.0008046546174795,0.0008510769992571749,0.00108318890814555,0.001222456053478575,0.0013617231988115,6.0,0.01193926846100755,0.0013586997600910475,0.0097308488612836,0.0113871635610766,0.012111801242236,0.012991718426500976,0.0132505175983436,6.0,0.006500912599737067,0.0006483884860569518,0.0054534412664922,0.00621970210735185,0.00656654682067235,0.006975826273543075,0.0072026007298405,6.0,0.0118092303517208,0.0013282819940406891,0.0096483093578354,0.011270682059111824,0.0119782917856232,0.0128406076650695,0.0130876307394167,6.0,0.9934990874002629,0.0006483884860569802,0.9927973992701592,0.9930241737264568,0.9934334531793276,0.993780297892648,0.9945465587335076,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,AfterSplit,GenAugSpoofOnly,0.1,6.0,16141.333333333334,3.502380143083652,16135.0,16141.0,16141.5,16143.5,16145.0,6.0,4775.333333333333,10.152175464730044,4756.0,4776.0,4777.5,4779.0,4786.0,6.0,54.666666666666664,10.152175464730044,44.0,51.0,52.5,54.0,74.0,6.0,14.666666666666666,3.502380143083653,11.0,12.5,14.5,15.0,21.0,6.0,0.0009078154658743166,0.00021678510417700027,0.0006808615994057,0.00077370636296105,0.00089749938103485,0.0009284476355533,0.0012998266897746,6.0,0.011318150448585166,0.0021018996821387157,0.0091097308488612,0.0105590062111801,0.01086956521739125,0.0111801242236024,0.0153209109730848,6.0,0.006112982957229767,0.0010585443706018817,0.0048952962241335,0.005790149305144375,0.0059454288082499505,0.00603107473868905,0.0080937310498006,6.0,0.011197988933574534,0.002052041990196477,0.0090335879174516,0.01045924915403455,0.010763386980682351,0.0110661638439296,0.0151026123791336,6.0,0.9938870170427702,0.001058544370601882,0.9919062689501994,0.9939689252613109,0.9940545711917499,0.9942098506948556,0.9951047037758666,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,29.833333333333332,0.408248290463863,29.0,30.0,30.0,30.0,30.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.00555555555555555,0.013608276348795419,0.0,0.0,0.0,0.0,0.0333333333333333,6.0,0.0027777777777777666,0.00680413817439769,0.0,0.0,0.0,0.0,0.0166666666666666,6.0,0.0053763440860215,0.013169299692382662,0.0,0.0,0.0,0.0,0.032258064516129,6.0,0.9972222222222222,0.006804138174397693,0.9833333333333334,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,AfterSplit,GenAugSpoofOnly,0.2,6.0,16141.166666666666,4.070217029430576,16133.0,16142.0,16142.5,16143.0,16144.0,6.0,4769.0,10.99090533122727,4754.0,4762.75,4770.0,4772.75,4786.0,6.0,61.0,10.99090533122727,44.0,57.25,60.0,67.25,76.0,6.0,14.833333333333334,4.070217029430577,12.0,13.0,13.5,14.0,23.0,6.0,0.0009181315507138,0.00025193222514425384,0.0007427581084426,0.0008046546174795,0.0008356028719979499,0.0008665511265164,0.0014236197078484,6.0,0.012629399585921268,0.00227554975801808,0.0091097308488612,0.011853002070393324,0.01242236024844715,0.0139233954451345,0.0157349896480331,6.0,0.0067737655683175494,0.0010568313263022934,0.0052666752783548,0.00632109128030685,0.00661350743296335,0.00737176209493665,0.0083007703872747,6.0,0.012478732246697535,0.0022203443486412742,0.0090402465094475,0.011723287541482625,0.012279557315488951,0.013742918495680673,0.0155044625005347,6.0,0.9932262344316825,0.0010568313263023242,0.9916992296127252,0.9926282379050634,0.9933864925670366,0.9936789087196931,0.9947333247216452,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,AfterSplit,GenAugSpoofOnly,0.3,6.0,16143.666666666666,2.503331114069145,16141.0,16141.5,16143.5,16145.5,16147.0,6.0,4759.5,13.187114923287808,4736.0,4755.75,4763.0,4768.75,4771.0,6.0,70.5,13.187114923287808,59.0,61.25,67.0,74.25,94.0,6.0,12.333333333333334,2.503331114069145,9.0,10.5,12.5,14.5,15.0,6.0,0.0007633902781215999,0.0001549474569242885,0.000557068581332,0.0006499133448873251,0.00077370636296105,0.00089749938103485,0.0009284476355533,6.0,0.014596273291925416,0.002730251536912581,0.012215320910973,0.012681159420289825,0.013871635610766,0.0153726708074534,0.0194616977225672,6.0,0.007679831785023499,0.0013659158241408195,0.0064171430006709,0.0067583811461439,0.00730719685960435,0.00810413683972565,0.0101022279155049,6.0,0.014391171473444432,0.002647918953836822,0.0120752915337106,0.012532699442782552,0.01369066520732705,0.015152371260446076,0.0191040894262151,6.0,0.9923201682149765,0.0013659158241409526,0.9898977720844948,0.9918958631602743,0.9926928031403957,0.9932416188538561,0.9935828569993292,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,29.833333333333332,0.408248290463863,29.0,30.0,30.0,30.0,30.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.00555555555555555,0.013608276348795419,0.0,0.0,0.0,0.0,0.0333333333333333,6.0,0.0027777777777777666,0.00680413817439769,0.0,0.0,0.0,0.0,0.0166666666666666,6.0,0.0053763440860215,0.013169299692382662,0.0,0.0,0.0,0.0,0.032258064516129,6.0,0.9972222222222222,0.006804138174397693,0.9833333333333334,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,GenAugSpoofOnly,0.05,6.0,15941.0,37.41122826104484,15910.0,15916.75,15923.5,15959.5,16003.0,6.0,4994.666666666667,6.470445631227162,4987.0,4990.75,4993.0,4999.75,5003.0,6.0,303.3333333333333,6.470445631227162,295.0,298.25,305.0,307.25,311.0,6.0,312.0,37.41122826104484,250.0,293.5,329.5,336.25,343.0,6.0,0.019196456038885052,0.0023018044829290012,0.0153817756721835,0.01805820463914345,0.0202731803359379,0.0206884882790869,0.0211037962222358,6.0,0.05725430980244114,0.0012212996661432865,0.055681389203473,0.05629482823707053,0.0575688939222348,0.057993582483956176,0.0587013967534918,6.0,0.0382253829206631,0.0008040325138295473,0.0367584605050234,0.0380792086309262,0.038362871452462546,0.03877791083875048,0.0389671824561029,6.0,0.055152910418533145,0.0010241335586312714,0.0538044100643564,0.054368270604278846,0.0554990188660077,0.05568967233683603,0.0563704367040124,6.0,0.9617746170793368,0.0008040325138294974,0.961032817543897,0.9612220891612494,0.9616371285475374,0.9619207913690736,0.9632415394949764,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,GenAugSpoofOnly,0.1,6.0,15962.833333333334,33.10236648136605,15936.0,15936.25,15949.0,15988.75,16009.0,6.0,4993.833333333333,2.9944392908634274,4988.0,4994.0,4994.5,4995.75,4996.0,6.0,304.1666666666667,2.9944392908634274,302.0,302.25,303.5,304.0,310.0,6.0,290.1666666666667,33.102366481366055,244.0,264.25,304.0,316.75,317.0,6.0,0.017853114296847713,0.002036692701739156,0.0150126130560511,0.016258536885498002,0.0187042392173752,0.0194887097766566,0.0195040915523288,6.0,0.05741160186233795,0.0005652018291550656,0.0570026425066062,0.05704983012457525,0.057285768214420496,0.0573801434503586,0.0585126462816157,6.0,0.03763235807959283,0.0008645212764221486,0.0361963782532049,0.03722043492066515,0.037900628479959744,0.0382456761416314,0.0384421175013437,6.0,0.05522634678158284,0.00045091174812901514,0.0549391246946922,0.0549649642307708,0.05504030425077605,0.055226567498974324,0.05610984135411,6.0,0.962367641920407,0.0008645212764221801,0.9615578824986564,0.9617543238583686,0.9620993715200401,0.9627795650793347,0.9638036217467952,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,GenAugSpoofOnly,0.2,6.0,15968.833333333334,32.73784761811116,15920.0,15958.0,15963.5,15987.0,16015.0,6.0,4995.333333333333,8.140434058861153,4988.0,4991.25,4993.0,4995.5,5011.0,6.0,302.6666666666667,8.140434058861151,287.0,302.5,305.0,306.75,310.0,6.0,284.1666666666667,32.73784761811117,238.0,266.0,289.5,295.0,333.0,6.0,0.0174839516807153,0.0020142649122076644,0.0146434504399187,0.016366209315203325,0.01781209622838855,0.018150495293176576,0.0204885251953485,6.0,0.05712847615452366,0.0015365107698869787,0.0541713854284635,0.057097017742544304,0.05756889392223475,0.05789920724801805,0.0585126462816157,6.0,0.037306213917619485,0.0011500942468969525,0.0359148319500651,0.03638564987055725,0.03730699297445955,0.038190007933489,0.0387455838509774,6.0,0.05494807152311414,0.0013840512606220258,0.0522630973645001,0.055047000439583896,0.05528735132399055,0.055550221042888974,0.0562459013655669,6.0,0.9626937860823804,0.0011500942468969406,0.9612544161490224,0.9618099920665111,0.9626930070255403,0.9636143501294426,0.9640851680499348,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,GenAugSpoofOnly,0.3,6.0,15978.166666666666,40.126882095007915,15926.0,15968.25,15975.0,15976.5,16050.0,6.0,4994.666666666667,5.715476066494083,4987.0,4991.75,4995.0,4996.0,5004.0,6.0,303.3333333333333,5.715476066494083,294.0,302.0,303.0,306.25,311.0,6.0,274.8333333333333,40.126882095007915,203.0,276.5,278.0,284.75,327.0,6.0,0.016909698722287102,0.0024688907952382998,0.012490001845813,0.017012243893434975,0.0171045345474681,0.01751984249061705,0.0201193625792161,6.0,0.05725430980244112,0.0010787988045477532,0.0554926387315968,0.0570026425066062,0.0571913929784824,0.057804832012079976,0.0587013967534918,6.0,0.03708200426236412,0.001168657660653395,0.0355956992996524,0.0364719553357364,0.0370228249756928,0.037402805352518824,0.0390328787226016,6.0,0.05503278675898845,0.0009438628263746508,0.0534411348781753,0.05481073934169227,0.0550017889130134,0.055672753956258626,0.056108542727803,6.0,0.9629179957376359,0.00116865766065337,0.9609671212773984,0.9625971946474812,0.9629771750243072,0.9635280446642634,0.9644043007003475,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
