,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BeforeSplit,GenAugSpoofOnly,0.05,6.0,16141.333333333334,2.6583202716502514,16138.0,16139.25,16141.5,16143.75,16144.0,6.0,4777.333333333333,10.726913193769523,4765.0,4769.75,4775.5,4785.0,4792.0,6.0,52.666666666666664,10.726913193769523,38.0,45.0,54.5,60.25,65.0,6.0,14.666666666666666,2.6583202716502514,12.0,12.25,14.5,16.75,18.0,6.0,0.0009078154658743332,0.00016454074471717426,0.0007427581084426,0.000758232235701825,0.00089749938103485,0.001036766526367875,0.001114137162664,6.0,0.01090407177363695,0.002220893000780454,0.0078674948240165,0.00931677018633535,0.0112836438923395,0.0124741200828157,0.0134575569358178,6.0,0.005905943619755633,0.0011347698254253653,0.0043051264662296,0.005122608910944325,0.00609057163668715,0.006786391559110225,0.0071311057766486,6.0,0.0107922394930417,0.0021768538824508705,0.0078118375382914,0.00923803100307455,0.0111676602362096,0.012333452803742226,0.0132894073625903,6.0,0.9940940563802444,0.0011347698254254382,0.9928688942233512,0.9932136084408896,0.9939094283633128,0.9948773910890556,0.9956948735337704,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,BeforeSplit,GenAugSpoofOnly,0.1,6.0,16143.833333333334,2.316606713852541,16141.0,16142.25,16143.5,16145.5,16147.0,6.0,4771.0,9.186947262284681,4756.0,4767.5,4772.0,4776.5,4782.0,6.0,59.0,9.186947262284681,48.0,53.5,58.0,62.5,74.0,6.0,12.166666666666666,2.316606713852541,9.0,10.5,12.5,13.75,15.0,6.0,0.0007530741932821167,0.00014338986839887094,0.000557068581332,0.0006499133448873251,0.00077370636296105,0.000851076999257175,0.0009284476355533,6.0,0.012215320910973016,0.0019020594745930892,0.0099378881987577,0.011076604554865376,0.0120082815734989,0.012939958592132424,0.0153209109730848,6.0,0.00648419755212755,0.0009202196286320471,0.0053712714081186,0.005956103713431625,0.0063290974591931,0.0068877807320652,0.0079699380317268,6.0,0.012073884366557432,0.001855324652693414,0.0098479446202455,0.010963956219761825,0.01187341900945805,0.012784950434992774,0.0150989273601489,6.0,0.9935158024478724,0.0009202196286320068,0.9920300619682731,0.9931122192679348,0.9936709025408068,0.9940438962865683,0.9946287285918812,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,BeforeSplit,GenAugSpoofOnly,0.2,6.0,16143.666666666666,2.0655911179772892,16141.0,16142.5,16144.0,16144.0,16147.0,6.0,4773.0,7.4565407529228995,4768.0,4768.0,4769.0,4776.0,4786.0,6.0,57.0,7.4565407529228995,44.0,54.0,61.0,62.0,62.0,6.0,12.333333333333334,2.065591117977289,9.0,12.0,12.0,13.5,15.0,6.0,0.0007633902781215832,0.00012785287930038939,0.000557068581332,0.0007427581084426,0.0007427581084426,0.00083560287199795,0.0009284476355533,6.0,0.0118012422360248,0.0015437972573339503,0.0091097308488612,0.01118012422360245,0.0126293995859213,0.0128364389233954,0.0128364389233954,6.0,0.006282316257073184,0.0007544256446391658,0.0049262444786519,0.006046548865948225,0.00667060471992275,0.006766387325030175,0.006789598515919,6.0,0.011670432205990316,0.001510779127824115,0.0090341424254544,0.011065986397325974,0.012480588644459,0.0126824724797048,0.0126830541151678,6.0,0.9937176837429268,0.0007544256446391726,0.9932104014840808,0.9932336126749697,0.9933293952800772,0.9939534511340518,0.995073755521348,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,BeforeSplit,GenAugSpoofOnly,0.3,6.0,16145.0,1.2649110640673518,16144.0,16144.0,16144.5,16145.75,16147.0,6.0,4766.166666666667,8.975893641675277,4751.0,4765.25,4767.0,4768.0,4779.0,6.0,63.833333333333336,8.975893641675277,51.0,62.0,63.0,64.75,79.0,6.0,11.0,1.2649110640673518,9.0,10.25,11.5,12.0,12.0,6.0,0.0006808615994057333,7.829357910787219e-05,0.000557068581332,0.0006344392176281001,0.00071180985392415,0.0007427581084426,0.0007427581084426,6.0,0.01321601104209795,0.0018583630728105972,0.0105590062111801,0.0128364389233954,0.0130434782608695,0.01340579710144925,0.0163561076604554,6.0,0.006948436320751833,0.0009423257508580657,0.0056199339052929,0.006719964943252525,0.0068621699301376,0.0070588034776867,0.008549432884449,6.0,0.013049665111728002,0.0018105468757280778,0.0104557230667065,0.0126813092087788,0.0128841424666763,0.013237754046152175,0.0161046599748518,6.0,0.9930515636792481,0.0009423257508581701,0.9914505671155508,0.9929411965223132,0.9931378300698623,0.9932800350567476,0.9943800660947072,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,GenAugSpoofOnly,0.05,6.0,15952.0,68.61778195191097,15872.0,15897.75,15951.0,16008.0,16031.0,6.0,4994.5,6.024948132556827,4988.0,4991.0,4993.5,4996.0,5005.0,6.0,303.5,6.024948132556827,293.0,302.0,304.5,307.0,310.0,6.0,301.0,68.61778195191097,222.0,245.0,302.0,355.25,381.0,6.0,0.018519657909309015,0.004221853316428433,0.013659016796899,0.01507414015873985,0.01858118501199775,0.021857503230172874,0.0234418261244078,6.0,0.057285768214420475,0.0011372118030496153,0.0553038882597206,0.0570026425066062,0.05747451868629665,0.0579463948659871,0.0585126462816157,6.0,0.03790271306186475,0.0017685918356561499,0.0360858315392573,0.036392298467440874,0.03789020557043485,0.039479218773955924,0.039648149749489,6.0,0.055145439386440696,0.0008977469972605166,0.0535962027184873,0.0548297593057645,0.05531370934634755,0.055813251417453545,0.0560008068407361,6.0,0.9620972869381353,0.0017685918356561104,0.9603518502505112,0.9605207812260441,0.9621097944295651,0.963607701532559,0.9639141684607428,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,GenAugSpoofOnly,0.1,6.0,15956.833333333334,37.02656703863682,15889.0,15951.25,15962.5,15981.25,15992.0,6.0,4995.166666666667,4.622409184253019,4990.0,4992.0,4995.5,4996.0,5003.0,6.0,302.8333333333333,4.622409184253019,295.0,302.0,302.5,306.0,308.0,6.0,296.1666666666667,37.02656703863682,261.0,271.75,290.5,301.75,364.0,6.0,0.018222276912980114,0.0022781373923975354,0.0160585738017596,0.0167199901556635,0.017873623331077303,0.018565803236325548,0.0223958653786993,6.0,0.05715993456650303,0.0008724819147325297,0.055681389203473,0.0570026425066062,0.057097017742544304,0.05775764439411092,0.0581351453378633,6.0,0.03769110573974157,0.0013700444357166927,0.0365306081541829,0.0368361590857216,0.03734375768290365,0.037832973925863655,0.0402655053582813,6.0,0.055017876482682575,0.0008494227046032979,0.05366721080817,0.0547954073783531,0.054925715993179344,0.0555120647259571,0.056129130624606,6.0,0.9623088942602585,0.001370044435716651,0.9597344946417188,0.9621670260741362,0.9626562423170963,0.9631638409142784,0.963469391845817,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,GenAugSpoofOnly,0.2,6.0,15960.5,42.41579894331828,15900.0,15945.75,15955.0,15975.5,16028.0,6.0,4994.666666666667,4.033195589934446,4991.0,4991.5,4993.5,4997.0,5001.0,6.0,303.3333333333333,4.033195589934446,297.0,301.0,304.5,306.5,307.0,6.0,292.5,42.41579894331828,225.0,277.5,298.0,307.25,353.0,6.0,0.017996677536454748,0.002609721217210252,0.0138435981049652,0.017073770996123724,0.018335076601242797,0.01890420230111355,0.0217190672491232,6.0,0.05725430980244114,0.0007612675707690507,0.0560588901472253,0.05681389203473007,0.0574745186862967,0.057852019630049024,0.0579463948659871,6.0,0.03762549366944793,0.0011853597395741486,0.0358949964854762,0.0370083591966655,0.03767407100868695,0.038331965638564724,0.0391721044059885,6.0,0.05509080578655017,0.0006429521509895539,0.0539986003729989,0.0548220079119149,0.05528531135321505,0.05548114182251252,0.0557616195627788,6.0,0.9623745063305519,0.001185359739574166,0.9608278955940114,0.9616680343614352,0.962325928991313,0.9629916408033343,0.9641050035145238,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,GenAugSpoofOnly,0.3,6.0,15982.333333333334,47.05599501303385,15924.0,15945.0,15986.5,16012.25,16045.0,6.0,4991.666666666667,5.00666222813829,4985.0,4987.5,4993.5,4995.75,4996.0,6.0,306.3333333333333,5.00666222813829,302.0,302.25,304.5,310.5,313.0,6.0,270.6666666666667,47.05599501303385,208.0,240.75,266.5,308.0,329.0,6.0,0.0166533357944174,0.0028952190372875156,0.0127976373592567,0.014812649972312774,0.01639697286654765,0.018950347628130148,0.0202424167845936,6.0,0.057820561218069645,0.0009450098580857509,0.0570026425066062,0.05704983012457525,0.05747451868629665,0.058607021517553724,0.0590788976972442,6.0,0.03723694850624352,0.001313395994181915,0.0352776408766838,0.0364594318760607,0.0373984939261554,0.03828321458416695,0.0386225296455999,6.0,0.05553326218400199,0.0008017420248238512,0.0547411103518721,0.055015520444716574,0.055195070410222494,0.0562142119805403,0.0565587256381673,6.0,0.9627630514937565,0.0013133959941818703,0.9613774703544,0.961716785415833,0.9626015060738445,0.9635405681239393,0.964722359123316,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
