protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.05,16141.333333333334,4777.333333333333,52.666666666666664,14.666666666666666,0.0009078154658743333,0.01090407177363695,0.005905943619755633,0.0107922394930417,0.9940940563802442,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.1,16143.833333333334,4771.0,59.0,12.166666666666666,0.0007530741932821167,0.012215320910973016,0.00648419755212755,0.012073884366557432,0.9935158024478724,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.2,16143.666666666666,4773.0,57.0,12.333333333333334,0.0007633902781215832,0.0118012422360248,0.006282316257073183,0.011670432205990316,0.9937176837429268,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.3,16145.0,4766.166666666667,63.833333333333336,11.0,0.0006808615994057333,0.01321601104209795,0.006948436320751834,0.013049665111727999,0.9930515636792481,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.05,15952.0,4994.5,303.5,301.0,0.018519657909309015,0.05728576821442049,0.03790271306186475,0.055145439386440696,0.9620972869381353,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.1,15956.833333333334,4995.166666666667,302.8333333333333,296.1666666666667,0.018222276912980118,0.057159934566503035,0.03769110573974157,0.05501787648268256,0.9623088942602585,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.2,15960.5,4994.666666666667,303.3333333333333,292.5,0.017996677536454748,0.05725430980244114,0.03762549366944793,0.05509080578655017,0.9623745063305519,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.3,15982.333333333334,4991.666666666667,306.3333333333333,270.6666666666667,0.0166533357944174,0.057820561218069645,0.03723694850624352,0.05553326218400198,0.9627630514937565,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.05,17325.666666666668,5778.166666666667,3.8333333333333335,152.33333333333334,0.008715718808406716,0.0006629770552288333,0.004689347931817766,0.008644172815786517,0.9953106520681821,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.1,17335.666666666668,5778.166666666667,3.8333333333333335,142.33333333333334,0.008143570965404084,0.0006629770552287999,0.004403274010316433,0.008077585355638683,0.9955967259896835,89.66666666666667,30.0,0.0,0.3333333333333333,0.0037037037037037,0.0,0.0018518518518518335,0.003663003663003633,0.9981481481481481,1.5,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.2,17341.666666666668,5775.5,6.5,136.33333333333334,0.007800282259602484,0.00112417848495325,0.0044622303722779,0.007746336683758018,0.9955377696277221,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
