protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
1,AfterSplit,TradAugSpoofOnly,0.05,16136.166666666666,4758.166666666667,71.83333333333333,19.833333333333332,0.0012276140958982834,0.014872325741890917,0.008049969918894583,0.014644806527325466,0.9919500300811053,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,AfterSplit,TradAugSpoofOnly,0.1,16145.5,4769.833333333333,60.166666666666664,10.5,0.0006499133448873,0.012456866804692867,0.006553390074790083,0.012305483109110768,0.99344660992521,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,AfterSplit,TradAugSpoofOnly,0.2,16147.0,4750.666666666667,79.33333333333333,9.0,0.0005570685813319833,0.016425120772946833,0.008491094677139384,0.0161593682468635,0.9915089053228607,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,AfterSplit,TradAugSpoofOnly,0.3,16147.333333333334,4749.166666666667,80.83333333333333,8.666666666666666,0.0005364364116530333,0.016735679779158016,0.0086360580954055,0.016462233652253414,0.9913639419045944,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,AfterSplit,TradAugSpoofOnly,0.05,15943.833333333334,4997.5,300.5,309.1666666666667,0.019022129247933665,0.056719516798791926,0.037870823023362817,0.054655310386049934,0.962129176976637,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,AfterSplit,TradAugSpoofOnly,0.1,15998.5,4995.166666666667,302.8333333333333,254.5,0.015658647634282867,0.057159934566503055,0.03640929110039295,0.05488138773763609,0.963590708899607,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,AfterSplit,TradAugSpoofOnly,0.2,16021.833333333334,4987.333333333333,310.6666666666667,231.16666666666666,0.014223015238212367,0.05863847992953312,0.03643074758387275,0.056144152599451304,0.9635692524161272,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,AfterSplit,TradAugSpoofOnly,0.3,16039.5,4994.833333333333,303.1666666666667,213.5,0.01313603642404475,0.057222851390461765,0.03517944390725325,0.054799990782924385,0.9648205560927466,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,AfterSplit,TradAugSpoofOnly,0.05,17308.333333333332,5779.166666666667,2.8333333333333335,169.66666666666666,0.009707441736277933,0.0004900265190821833,0.00509873412768005,0.009612292957198168,0.9949012658723199,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,AfterSplit,TradAugSpoofOnly,0.1,17349.666666666668,5776.833333333333,5.166666666666667,128.33333333333334,0.007342563985200417,0.0008935777700910334,0.0041180708776457,0.007293409379563299,0.9958819291223543,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,AfterSplit,TradAugSpoofOnly,0.2,17371.833333333332,5776.0,6.0,106.16666666666667,0.006074302933211233,0.0010377032168799,0.00355600307504555,0.006039175147259233,0.9964439969249543,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,AfterSplit,TradAugSpoofOnly,0.3,17339.666666666668,5778.666666666667,3.3333333333333335,138.33333333333334,0.007914711828203034,0.0005765017871555001,0.00424560680767925,0.007855645945604716,0.9957543931923207,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
4,AfterSplit,TradAugSpoofOnly,0.05,19195.166666666668,15727.833333333334,182.16666666666666,178.83333333333334,0.0092305839441175,0.01144982191493815,0.010340202929527817,0.011423797698203434,0.989659797070472,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
4,AfterSplit,TradAugSpoofOnly,0.1,19207.666666666668,15708.5,201.5,166.33333333333334,0.00858538935342895,0.012664990571967266,0.010625189962698116,0.012612064753085066,0.9893748100373018,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
4,AfterSplit,TradAugSpoofOnly,0.2,19192.0,15702.833333333334,207.16666666666666,182.0,0.009394033240425268,0.01302116069557925,0.011207596968002234,0.01297378224990565,0.9887924030319977,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
4,AfterSplit,TradAugSpoofOnly,0.3,19209.5,15696.166666666666,213.83333333333334,164.5,0.008490760813461283,0.013440184370416866,0.010965472591939083,0.013372692720378034,0.9890345274080609,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
5,AfterSplit,TradAugSpoofOnly,0.05,14730.666666666666,15704.333333333334,205.66666666666666,115.33333333333333,0.007768646998069033,0.012926880368740783,0.0103477636834049,0.012856388590753018,0.9896522363165952,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
5,AfterSplit,TradAugSpoofOnly,0.1,14760.666666666666,15673.666666666666,236.33333333333334,85.33333333333333,0.0057479006690915,0.014854389272993866,0.010301144971042684,0.014719278746927083,0.9896988550289573,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
5,AfterSplit,TradAugSpoofOnly,0.2,14775.833333333334,15674.5,235.5,70.16666666666667,0.004726301136108433,0.014802011313639167,0.0097641562248738,0.014653187143899784,0.9902358437751261,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
5,AfterSplit,TradAugSpoofOnly,0.3,14777.666666666666,15666.666666666666,243.33333333333334,68.33333333333333,0.0046028110826709335,0.015294364131573384,0.00994858760712215,0.015131009736321067,0.9900514123928777,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
6,AfterSplit,TradAugSpoofOnly,0.05,15464.833333333334,15579.333333333334,330.6666666666667,202.16666666666666,0.012903980766366632,0.020783574271946315,0.016843777519156482,0.020621099930767998,0.9831562224808436,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
6,AfterSplit,TradAugSpoofOnly,0.1,15486.833333333334,15566.833333333334,343.1666666666667,180.16666666666666,0.01149975532435475,0.021569243662266868,0.016534499493310834,0.021353318423265485,0.9834655005066892,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
6,AfterSplit,TradAugSpoofOnly,0.2,15511.166666666666,15570.0,340.0,155.83333333333334,0.009946596880917383,0.02137020741671898,0.015658402148818182,0.02112814797525438,0.9843415978511817,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
6,AfterSplit,TradAugSpoofOnly,0.3,15507.833333333334,15570.166666666666,339.8333333333333,159.16666666666666,0.01015935831152525,0.021359731824848033,0.01575954506818665,0.021122956972418384,0.9842404549318132,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
7,AfterSplit,TradAugSpoofOnly,0.05,49472.0,15605.333333333334,304.6666666666667,415.0,0.008318800489105316,0.01914938194007955,0.01373409121459245,0.018941390434750998,0.9862659087854077,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
7,AfterSplit,TradAugSpoofOnly,0.1,49486.666666666664,15594.666666666666,315.3333333333333,400.3333333333333,0.008024802720815667,0.0198198198198198,0.013922311270317733,0.0195862185494755,0.9860776887296822,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
7,AfterSplit,TradAugSpoofOnly,0.2,49560.833333333336,15565.333333333334,344.6666666666667,326.1666666666667,0.006538109460714499,0.021663523989105347,0.014100816724909917,0.021339267653649217,0.98589918327509,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
7,AfterSplit,TradAugSpoofOnly,0.3,49584.666666666664,15553.0,357.0,302.3333333333333,0.006060363087243767,0.02243871778755495,0.014249540437399351,0.022074485369373082,0.9857504595626007,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
