,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BeforeSplit,TradAugSpoofOnly,0.05,6.0,16144.833333333334,1.4719601443879746,16142.0,16145.0,16145.0,16145.75,16146.0,6.0,4770.166666666667,13.833534135088787,4755.0,4758.75,4769.0,4781.5,4787.0,6.0,59.833333333333336,13.833534135088787,43.0,48.5,61.0,71.25,75.0,6.0,11.166666666666666,1.4719601443879744,10.0,10.25,11.0,11.0,14.0,6.0,0.0006911776842452167,9.110919437903518e-05,0.0006189650903689,0.0006344392176281001,0.0006808615994057,0.0006808615994057,0.0008665511265164,6.0,0.012387853692201467,0.0028640857422544165,0.0089026915113871,0.010041407867494776,0.01262939958592125,0.014751552795031,0.015527950310559,6.0,0.00653951568822335,0.0014075764708035372,0.0048846213189518,0.005353397669820675,0.006639656465404299,0.007692996006329525,0.0081044059549823,6.0,0.01223791962569145,0.0027965009255756746,0.0088317185810303,0.0099478391240623,0.01247730026173225,0.014546126270678125,0.0153007782978215,6.0,0.9934604843117766,0.001407576470803578,0.9918955940450176,0.9923070039936706,0.9933603435345957,0.9946466023301792,0.9951153786810484,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,BeforeSplit,TradAugSpoofOnly,0.1,6.0,16146.0,1.0954451150103321,16144.0,16146.0,16146.0,16146.75,16147.0,6.0,4768.333333333333,13.89484316812056,4750.0,4764.75,4767.5,4768.0,4793.0,6.0,61.666666666666664,13.894843168120563,37.0,62.0,62.5,65.25,80.0,6.0,10.0,1.0954451150103321,9.0,9.25,10.0,10.0,12.0,6.0,0.0006189650903688833,6.780422846062848e-05,0.000557068581332,0.000572542708591225,0.0006189650903689,0.0006189650903689,0.0007427581084426,6.0,0.012767425810904032,0.0028767791238344955,0.0076604554865424,0.0128364389233954,0.01293995859213245,0.0135093167701863,0.0165631469979296,6.0,0.006693195450636433,0.0014378980780073354,0.0041397102884556,0.006704490815993299,0.0068104100957691,0.007056403866647951,0.0085910560441492,6.0,0.012607519350475833,0.0028116577582618396,0.0076068916321697,0.012680921428092351,0.0127832433374227,0.0133370992973118,0.0163032057202495,6.0,0.9933068045493636,0.001437898078007342,0.9914089439558508,0.9929435961333519,0.993189589904231,0.9932955091840068,0.9958602897115444,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,BeforeSplit,TradAugSpoofOnly,0.2,6.0,16143.333333333334,5.240865068542279,16135.0,16142.0,16142.5,16147.5,16149.0,6.0,4750.166666666667,9.108603991099113,4735.0,4747.0,4751.0,4755.75,4761.0,6.0,79.83333333333333,9.108603991099113,69.0,74.25,79.0,83.0,95.0,6.0,12.666666666666666,5.24086506854228,7.0,8.5,13.5,14.0,21.0,6.0,0.0007840224478005501,0.0003243912520761257,0.0004332755632582,0.000526120326813525,0.0008356028719979499,0.0008665511265164,0.0012998266897746,6.0,0.016528640441683867,0.0018858393356313088,0.0142857142857142,0.01537267080745335,0.01635610766045545,0.0171842650103519,0.0196687370600414,6.0,0.008656331444742217,0.0010055298830256088,0.0073594949244862,0.00806545152157765,0.00861132939348595,0.009079567513841424,0.0102366958387604,6.0,0.016269765398369867,0.0018261453605039196,0.0140905261358502,0.0151509731534848,0.01610666943088,0.0169099766177578,0.0193045739848722,6.0,0.9913436685552578,0.0010055298830256526,0.9897633041612396,0.9909204324861585,0.991388670606514,0.9919345484784224,0.9926405050755138,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,BeforeSplit,TradAugSpoofOnly,0.3,6.0,16148.166666666666,1.4719601443879746,16146.0,16147.25,16148.5,16149.0,16150.0,6.0,4746.166666666667,8.975893641675277,4730.0,4745.25,4747.5,4749.75,4757.0,6.0,83.83333333333333,8.975893641675277,73.0,80.25,82.5,84.75,100.0,6.0,7.833333333333333,1.4719601443879746,6.0,7.0,7.5,8.75,10.0,6.0,0.00048485598745561664,9.11091943790669e-05,0.0003713790542213,0.0004332755632582,0.00046422381777665004,0.000541594454072775,0.0006189650903689,6.0,0.017356797791580367,0.0018583630728106313,0.0151138716356107,0.016614906832298125,0.01708074534161485,0.01754658385093165,0.020703933747412,6.0,0.008920826889517966,0.0009349922320215572,0.0077735735994344,0.008547302388667001,0.00883438108873265,0.008982192643465274,0.0105995529098535,6.0,0.0170660957880661,0.0017938873986995771,0.0148952012033282,0.016351077959634752,0.01680350724921005,0.017251079364812724,0.0202938207601917,6.0,0.9910791731104819,0.0009349922320215768,0.9894004470901464,0.9910178073565347,0.9911656189112674,0.9914526976113329,0.9922264264005656,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,TradAugSpoofOnly,0.05,6.0,15975.0,47.69066994706617,15887.0,15964.0,15993.5,16002.75,16016.0,6.0,4991.833333333333,2.5625508125043424,4989.0,4990.25,4991.0,4994.0,4995.0,6.0,306.1666666666667,2.562550812504343,303.0,304.0,307.0,307.75,309.0,6.0,278.0,47.69066994706617,237.0,250.25,259.5,289.0,366.0,6.0,0.017104534547468117,0.002934268747127666,0.01458192333723,0.015397157447855726,0.01596628314772655,0.017781332677044227,0.0225189195840767,6.0,0.05778910280609031,0.00048368267506688454,0.0571913929784824,0.05738014345035858,0.0579463948659871,0.05808795771989425,0.0583238958097395,6.0,0.0374468186767792,0.0014997647457282088,0.0358866581578562,0.03674255758387503,0.0370507142427949,0.0376279256816704,0.0402326572250319,6.0,0.05553014490084587,0.00047400794726604986,0.0548540893247029,0.055185190867662076,0.0556710191435283,0.055909877650090124,0.0559719965319983,6.0,0.9625531813232207,0.0014997647457282435,0.959767342774968,0.9623720743183296,0.9629492857572051,0.9632574424161249,0.9641133418421438,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,TradAugSpoofOnly,0.1,6.0,16004.333333333334,18.94905450587619,15987.0,15989.25,15998.5,16016.75,16033.0,6.0,4998.666666666667,6.0553007081949835,4990.0,4995.0,4999.5,5001.75,5007.0,6.0,299.3333333333333,6.0553007081949835,291.0,296.25,298.5,303.0,308.0,6.0,248.66666666666666,18.94905450587619,220.0,236.25,254.5,263.75,266.0,6.0,0.015299739535265235,0.0011658804224374867,0.0135359625915215,0.014535778010213425,0.01565864763428285,0.016227773334153674,0.0163662093152033,6.0,0.0564993079149364,0.0011429408660239893,0.0549263873159682,0.05591732729331815,0.056342015855039604,0.05719139297848243,0.0581351453378633,6.0,0.03589952372510081,0.000457830906353929,0.0351233179427315,0.035829300218977476,0.0358845735759512,0.03611973793170492,0.0364956754390286,6.0,0.05426215129404933,0.0009967403155598476,0.0528338428072355,0.05377476358246493,0.05417461013336081,0.054865126882689276,0.0556530641590404,6.0,0.9641004762748993,0.00045783090635395266,0.9635043245609712,0.963880262068295,0.9641154264240488,0.9641706997810227,0.9648766820572684,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,TradAugSpoofOnly,0.2,6.0,16019.333333333334,30.61154466319311,15988.0,16000.0,16014.0,16026.5,16074.0,6.0,4990.5,5.683308895353129,4984.0,4985.75,4990.5,4994.5,4998.0,6.0,307.5,5.683308895353129,300.0,303.5,307.5,312.25,314.0,6.0,233.66666666666666,30.611544663193115,179.0,226.5,239.0,253.0,265.0,6.0,0.014376832994934216,0.0018834396519530642,0.0110133513812834,0.0139358887589983,0.01470497754260745,0.015566356980249725,0.0163046822125146,6.0,0.05804077010192523,0.0010727272358159875,0.0566251415628539,0.057285768214420496,0.05804077010192525,0.058937334843337075,0.0592676481691204,6.0,0.03620880154842971,0.0010024811340538186,0.0347629988314495,0.03581900360376013,0.036175785022770204,0.03653294532470315,0.0377861651908175,6.0,0.05561159708146466,0.000959885737619485,0.054398307129234,0.0549541424523589,0.0555082489007978,0.0563713964172258,0.056826224999044,6.0,0.9637911984515702,0.0010024811340538192,0.9622138348091824,0.9634670546752967,0.9638242149772296,0.9641809963962398,0.9652370011685504,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,BeforeSplit,TradAugSpoofOnly,0.3,6.0,16033.333333333334,22.259080544053624,16000.0,16024.0,16031.0,16048.5,16062.0,6.0,4989.333333333333,4.273952113286562,4985.0,4987.0,4988.0,4990.5,4997.0,6.0,308.6666666666667,4.273952113286562,301.0,307.5,310.0,311.0,313.0,6.0,219.66666666666666,22.259080544053628,191.0,204.5,222.0,229.0,253.0,6.0,0.013515453557291933,0.0013695367343908083,0.0117516766135482,0.012582292499846149,0.013659016796898949,0.0140897065157201,0.0155663569802498,6.0,0.058260978985780726,0.0008067104781590417,0.05681389203473,0.058040770101925196,0.05851264628161565,0.0587013967534918,0.0590788976972442,6.0,0.03588821627153635,0.00038130601306760915,0.0354152871553962,0.035594657008699945,0.035897081067381154,0.036147106053330824,0.036395551634606,6.0,0.05576466245947365,0.0006667771115141805,0.0545632907853726,0.055585681566064,0.0559545904052061,0.056171335981904075,0.0564092067005704,6.0,0.9641117837284635,0.0003813060130676207,0.963604448365394,0.9638528939466691,0.9641029189326188,0.9644053429913001,0.9645847128446038,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
