protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.05,16144.833333333334,4770.166666666667,59.833333333333336,11.166666666666666,0.0006911776842452168,0.012387853692201467,0.00653951568822335,0.01223791962569145,0.9934604843117767,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.1,16146.0,4768.333333333333,61.666666666666664,10.0,0.0006189650903688833,0.012767425810904032,0.006693195450636433,0.012607519350475833,0.9933068045493636,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.2,16143.333333333334,4750.166666666667,79.83333333333333,12.666666666666666,0.0007840224478005501,0.016528640441683867,0.008656331444742217,0.016269765398369867,0.9913436685552578,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.3,16148.166666666666,4746.166666666667,83.83333333333333,7.833333333333333,0.00048485598745561664,0.017356797791580367,0.008920826889517968,0.0170660957880661,0.991079173110482,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,Normal_Quality,BeforeSplit,TradAugSpoofOnly,0.05,15975.0,4991.833333333333,306.1666666666667,278.0,0.017104534547468117,0.057789102806090294,0.0374468186767792,0.05553014490084587,0.9625531813232208,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,Normal_Quality,BeforeSplit,TradAugSpoofOnly,0.1,16004.333333333334,4998.666666666667,299.3333333333333,248.66666666666666,0.015299739535265233,0.0564993079149364,0.035899523725100815,0.05426215129404932,0.9641004762748991,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,Normal_Quality,BeforeSplit,TradAugSpoofOnly,0.2,16019.333333333334,4990.5,307.5,233.66666666666666,0.014376832994934217,0.05804077010192523,0.03620880154842972,0.05561159708146466,0.9637911984515702,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,Normal_Quality,BeforeSplit,TradAugSpoofOnly,0.3,16033.333333333334,4989.333333333333,308.6666666666667,219.66666666666666,0.013515453557291933,0.05826097898578073,0.03588821627153635,0.055764662459473646,0.9641117837284637,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,High_Quality,BeforeSplit,TradAugSpoofOnly,0.05,17349.833333333332,5778.0,4.0,128.16666666666666,0.007333028187817016,0.0006918021445866,0.0040124151662018,0.007282168201565766,0.9959875848337981,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,High_Quality,BeforeSplit,TradAugSpoofOnly,0.1,17316.5,5778.0,4.0,161.5,0.009240187664492467,0.0006918021445866,0.004965994904539534,0.0091575104174883,0.9950340050954605,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,High_Quality,BeforeSplit,TradAugSpoofOnly,0.2,17383.0,5774.166666666667,7.833333333333333,95.0,0.00543540450852495,0.0013547791998154834,0.0033950918541702335,0.005411588324197633,0.9966049081458297,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,High_Quality,BeforeSplit,TradAugSpoofOnly,0.3,17379.666666666668,5773.5,8.5,98.33333333333333,0.0056261204561925,0.0014700795572465833,0.003548100006719533,0.0056019837701062674,0.9964518999932803,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.05,19203.833333333332,15729.666666666666,180.33333333333334,170.16666666666666,0.00878324902790675,0.011334590404357817,0.010058919716132266,0.0113103661959192,0.9899410802838676,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.1,19183.833333333332,15726.833333333334,183.16666666666666,190.16666666666666,0.00981556037300845,0.011512675466163783,0.010664117919586116,0.011666041689025184,0.9893358820804138,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.2,19188.0,15702.833333333334,207.16666666666666,186.0,0.009600495509445616,0.01302116069557925,0.011310828102512417,0.0129760264528571,0.9886891718974876,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.3,19194.833333333332,15705.833333333334,204.16666666666666,179.16666666666666,0.009247789133202516,0.012832600041902316,0.011040194587552418,0.012784431016434568,0.9889598054124474,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.05,14734.333333333334,15705.666666666666,204.33333333333334,111.66666666666667,0.007521666891193983,0.012843075633773267,0.010182371262483616,0.01277130713218085,0.9898176287375163,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.1,14752.166666666666,15703.666666666666,206.33333333333334,93.83333333333333,0.006320445462301817,0.01296878273622455,0.009644614099263166,0.012880993811547283,0.9903553859007368,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.2,14768.166666666666,15680.166666666666,229.83333333333334,77.83333333333333,0.00524271408684715,0.014445841190027202,0.00984427763843715,0.014313334022056234,0.9901557223615628,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.3,14783.833333333334,15661.5,248.5,62.166666666666664,0.004187435448381117,0.01561910747957255,0.009903271463976833,0.015441250180112167,0.9900967285360233,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
6,Video_Replay_Attack,BeforeSplit,TradAugSpoofOnly,0.05,15477.5,15572.333333333334,337.6666666666667,189.5,0.012095487330056767,0.021223549130525817,0.016659518230291284,0.02103050671570925,0.9833404817697087,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
6,Video_Replay_Attack,BeforeSplit,TradAugSpoofOnly,0.1,15492.333333333334,15574.166666666666,335.8333333333333,174.66666666666666,0.011148698963851766,0.021108317619945468,0.016128508291898616,0.020899916355369048,0.9838714917081014,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
