protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.2,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.2,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,None,Baseline,0,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.05,88.5,28.0,2.0,1.5,0.016666666666666666,0.06666666666666667,0.041666666666666664,0.06349384098544233,0.9583333333333334
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.1,87.83333333333333,28.0,2.0,2.1666666666666665,0.024074074074074078,0.06666666666666667,0.04537037037037037,0.06394417753374515,0.9546296296296296
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.2,88.33333333333333,28.0,2.0,1.6666666666666667,0.01851851851851852,0.06666666666666667,0.04259259259259259,0.06360582306830907,0.9574074074074074
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.3,88.5,28.0,2.0,1.5,0.016666666666666666,0.06666666666666667,0.041666666666666664,0.06349384098544233,0.9583333333333334
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.05,88.66666666666667,28.0,2.0,1.3333333333333333,0.014814814814814815,0.06666666666666667,0.040740740740740744,0.0633818589025756,0.9592592592592593
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.1,88.16666666666667,28.0,2.0,1.8333333333333333,0.020370370370370372,0.06666666666666667,0.04351851851851852,0.06371780515117582,0.9564814814814815
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.2,88.66666666666667,28.0,2.0,1.3333333333333333,0.014814814814814815,0.06666666666666667,0.040740740740740744,0.0633818589025756,0.9592592592592593
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.3,88.33333333333333,28.0,2.0,1.6666666666666667,0.01851851851851852,0.06666666666666667,0.04259259259259259,0.06360582306830907,0.9574074074074074
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.05,88.16666666666667,28.0,2.0,1.8333333333333333,0.02037037037037037,0.06666666666666667,0.04351851851851852,0.06372021336801166,0.9564814814814815
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.1,88.16666666666667,28.0,2.0,1.8333333333333333,0.020370370370370372,0.06666666666666667,0.04351851851851852,0.0637226215848475,0.9564814814814815
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.2,88.33333333333333,28.0,2.0,1.6666666666666667,0.01851851851851852,0.06666666666666667,0.04259259259259259,0.06360582306830907,0.9574074074074074
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.3,88.66666666666667,28.0,2.0,1.3333333333333333,0.014814814814814815,0.06666666666666667,0.040740740740740744,0.0633818589025756,0.9592592592592593
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.05,88.5,28.0,2.0,1.5,0.016666666666666666,0.06666666666666667,0.041666666666666664,0.06349624920227818,0.9583333333333334
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.1,88.33333333333333,28.0,2.0,1.6666666666666667,0.01851851851851852,0.06666666666666667,0.04259259259259259,0.06360582306830907,0.9574074074074074
