protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC
2,AfterSplit,GenAugSpoofOnly,0.05,3.4166666666666665,8.0,0.0,0.08333333333333333,0.020833333333333332,0.0,0.010416666666666666,0.016666666666666666,0.9895833333333334
2,AfterSplit,GenAugSpoofOnly,0.1,3.5,7.958333333333333,0.041666666666666664,0.0,0.0,0.005208333333333333,0.0026041666666666665,0.004629629629629629,0.9973958333333334
2,AfterSplit,GenAugSpoofOnly,0.2,3.5,7.916666666666667,0.08333333333333333,0.0,0.0,0.010416666666666666,0.005208333333333333,0.008333333333333333,0.9947916666666666
2,AfterSplit,GenAugSpoofOnly,0.3,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,AfterSplit,GenAugSpoofOnly_KF,0.05,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,AfterSplit,GenAugSpoofOnly_KF,0.1,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,AfterSplit,GenAugSpoofOnly_KF,0.2,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,AfterSplit,GenAugSpoofOnly_KF,0.3,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,AfterSplit,TradAugSpoofOnly,0.05,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,AfterSplit,TradAugSpoofOnly,0.1,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,AfterSplit,TradAugSpoofOnly,0.2,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,AfterSplit,TradAugSpoofOnly,0.3,3.5,7.958333333333333,0.041666666666666664,0.0,0.0,0.005208333333333333,0.0026041666666666665,0.004629629629629629,0.9973958333333334
2,BeforeSplit,GenAugSpoofOnly,0.05,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,BeforeSplit,GenAugSpoofOnly,0.1,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,BeforeSplit,GenAugSpoofOnly,0.2,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,BeforeSplit,GenAugSpoofOnly,0.3,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,BeforeSplit,GenAugSpoofOnly_KF,0.05,3.4583333333333335,7.958333333333333,0.041666666666666664,0.041666666666666664,0.010416666666666666,0.005208333333333333,0.0078125,0.012962962962962963,0.9921875
2,BeforeSplit,GenAugSpoofOnly_KF,0.1,3.4583333333333335,8.0,0.0,0.041666666666666664,0.010416666666666666,0.0,0.005208333333333333,0.008333333333333333,0.9947916666666666
2,BeforeSplit,GenAugSpoofOnly_KF,0.2,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,BeforeSplit,GenAugSpoofOnly_KF,0.3,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,BeforeSplit,TradAugSpoofOnly,0.05,3.5,7.958333333333333,0.041666666666666664,0.0,0.0,0.005208333333333333,0.0026041666666666665,0.004629629629629629,0.9973958333333334
2,BeforeSplit,TradAugSpoofOnly,0.1,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,BeforeSplit,TradAugSpoofOnly,0.2,3.5,7.958333333333333,0.041666666666666664,0.0,0.0,0.005208333333333333,0.0026041666666666665,0.004629629629629629,0.9973958333333334
2,BeforeSplit,TradAugSpoofOnly,0.3,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,None,Baseline,0,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,AfterSplit,GenAugSpoofOnly,0.05,8.5,8.0,0.0,0.5,0.03571428571428571,0.0,0.017857142857142856,0.032638888888888884,0.9821428571428572
3,AfterSplit,GenAugSpoofOnly,0.1,8.166666666666666,8.0,0.0,0.8333333333333334,0.08928571428571429,0.0,0.044642857142857144,0.0738562091503268,0.9553571428571428
3,AfterSplit,GenAugSpoofOnly,0.2,8.083333333333334,8.0,0.0,0.9166666666666666,0.09523809523809523,0.0,0.047619047619047616,0.07998366013071896,0.9523809523809524
3,AfterSplit,GenAugSpoofOnly,0.3,7.75,8.0,0.0,1.25,0.1636904761904762,0.0,0.0818452380952381,0.13611111111111113,0.9181547619047619
3,AfterSplit,GenAugSpoofOnly_KF,0.05,8.833333333333334,8.0,0.0,0.16666666666666666,0.026785714285714284,0.0,0.013392857142857142,0.022222222222222223,0.9866071428571429
3,AfterSplit,GenAugSpoofOnly_KF,0.1,8.583333333333334,7.916666666666667,0.08333333333333333,0.4166666666666667,0.029761904761904757,0.010416666666666666,0.020089285714285712,0.035076252723311545,0.9799107142857143
3,AfterSplit,GenAugSpoofOnly_KF,0.2,8.75,8.0,0.0,0.25,0.03273809523809524,0.0,0.01636904761904762,0.027777777777777773,0.9836309523809524
3,AfterSplit,GenAugSpoofOnly_KF,0.3,8.833333333333334,8.0,0.0,0.16666666666666666,0.011904761904761904,0.0,0.005952380952380952,0.011111111111111106,0.9940476190476191
3,AfterSplit,TradAugSpoofOnly,0.05,8.666666666666666,8.0,0.0,0.3333333333333333,0.03869047619047619,0.0,0.019345238095238096,0.033333333333333326,0.9806547619047619
3,AfterSplit,TradAugSpoofOnly,0.1,8.583333333333334,8.0,0.0,0.4166666666666667,0.029761904761904757,0.0,0.014880952380952378,0.027777777777777766,0.9851190476190476
3,AfterSplit,TradAugSpoofOnly,0.2,8.666666666666666,8.0,0.0,0.3333333333333333,0.023809523809523808,0.0,0.011904761904761904,0.021527777777777774,0.9880952380952381
3,AfterSplit,TradAugSpoofOnly,0.3,8.5,8.0,0.0,0.5,0.03571428571428571,0.0,0.017857142857142856,0.03194444444444445,0.9821428571428572
3,BeforeSplit,GenAugSpoofOnly,0.05,8.416666666666666,8.0,0.0,0.5833333333333334,0.041666666666666664,0.0,0.020833333333333332,0.03518518518518518,0.9791666666666666
3,BeforeSplit,GenAugSpoofOnly,0.1,8.083333333333334,8.0,0.0,0.9166666666666666,0.08035714285714285,0.0,0.040178571428571425,0.06887254901960783,0.9598214285714285
3,BeforeSplit,GenAugSpoofOnly,0.2,8.25,8.0,0.0,0.75,0.05357142857142857,0.0,0.026785714285714284,0.04791666666666667,0.9732142857142857
3,BeforeSplit,GenAugSpoofOnly,0.3,7.916666666666667,8.0,0.0,1.0833333333333333,0.09226190476190477,0.0,0.046130952380952384,0.07859477124183008,0.9538690476190476
3,BeforeSplit,GenAugSpoofOnly_KF,0.05,8.5,8.0,0.0,0.5,0.06547619047619048,0.0,0.03273809523809524,0.055555555555555546,0.9672619047619048
