,Multi_protocol_number,Multi_fold_number,Multi_protocol,Multi_TN,Multi_TP,Multi_FN,Multi_FP,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_EER_Thresh,Multi_AUC,when_aug_performed,aug_type,window_size,config/HP_AUG_PER,config/HP_REPEAT,protocol_number,protocol,fold_number
0,2,2,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_SGS8,2
1,2,1,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_SGS8,1
2,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_SGS8,0
3,2,2,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_IPP2017,2
4,2,1,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_IPP2017,1
5,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_IPP2017,0
6,3,2,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,3,UnKnown_P,2
7,3,1,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,3,UnKnown_P,1
8,3,0,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,3,UnKnown_P,0
9,2,2,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_SGS8,2
10,2,1,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_SGS8,1
11,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_SGS8,0
12,2,2,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_IPP2017,2
13,2,1,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_IPP2017,1
14,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_IPP2017,0
15,2,2,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_IP7P,2
16,2,1,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_IP7P,1
17,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_IP7P,0
18,3,2,UnKnown_R,8,13,1,0,0.07142857142857142,0.0,0.03571428571428571,0.06666666666666664,0.9333333333333333,0.9642857142857143,None,Baseline,7,0,1,3,UnKnown_R,2
19,3,1,UnKnown_R,8,13,1,0,0.07142857142857142,0.0,0.03571428571428571,0.06666666666666664,0.9333333333333333,0.9642857142857143,None,Baseline,7,0,1,3,UnKnown_R,1
20,3,0,UnKnown_R,8,13,1,0,0.07142857142857142,0.0,0.03571428571428571,0.06666666666666664,0.9333333333333333,0.9642857142857143,None,Baseline,7,0,1,3,UnKnown_R,0
21,3,2,UnKnown_R,8,14,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,3,UnKnown_R,2
22,3,1,UnKnown_R,8,13,1,0,0.07142857142857142,0.0,0.03571428571428571,0.06666666666666664,0.9333333333333333,0.9642857142857143,None,Baseline,7,0,2,3,UnKnown_R,1
23,3,0,UnKnown_R,8,13,1,0,0.07142857142857142,0.0,0.03571428571428571,0.06666666666666664,0.9333333333333333,0.9642857142857143,None,Baseline,7,0,2,3,UnKnown_R,0
24,2,2,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_IP7P,2
25,2,1,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_IP7P,1
26,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_IP7P,0
27,3,2,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,3,UnKnown_P,2
28,3,1,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,3,UnKnown_P,1
29,3,0,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,3,UnKnown_P,0
30,2,2,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_ASUS,2
31,2,1,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_ASUS,1
32,2,0,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,1,2,LOO_ASUS,0
33,2,2,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_ASUS,2
34,2,1,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_ASUS,1
35,2,0,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,None,Baseline,7,0,2,2,LOO_ASUS,0
36,2,2,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_ASUS,2
37,2,1,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_ASUS,1
38,2,0,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_ASUS,0
39,3,2,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,3,UnKnown_P,2
40,3,1,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,3,UnKnown_P,1
41,3,0,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,3,UnKnown_P,0
42,3,2,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,2,3,UnKnown_P,2
43,3,1,UnKnown_P,8,3,1,0,0.25,0.0,0.125,0.2,0.8,0.875,AfterSplit,GenAugSpoofOnly,7,0.1,2,3,UnKnown_P,1
44,3,0,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,2,3,UnKnown_P,0
45,2,2,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,2,LOO_ASUS,2
46,2,1,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,2,LOO_ASUS,1
47,2,0,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,2,LOO_ASUS,0
48,2,2,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,1,2,LOO_IPP2017,2
49,2,1,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,1,2,LOO_IPP2017,1
50,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,1,2,LOO_IPP2017,0
51,2,2,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,1,2,LOO_IP7P,2
52,2,1,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,1,2,LOO_IP7P,1
53,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,1,2,LOO_IP7P,0
54,2,2,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,2,2,LOO_IPP2017,2
55,2,1,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,2,2,LOO_IPP2017,1
56,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,2,2,LOO_IPP2017,0
57,3,2,UnKnown_R,8,12,2,0,0.14285714285714285,0.0,0.07142857142857142,0.12500000000000006,0.875,0.9285714285714286,AfterSplit,GenAugSpoofOnly,7,0.2,1,3,UnKnown_R,2
58,3,1,UnKnown_R,8,14,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,1,3,UnKnown_R,1
59,3,0,UnKnown_R,8,12,2,0,0.14285714285714285,0.0,0.07142857142857142,0.12500000000000006,0.875,0.9285714285714286,AfterSplit,GenAugSpoofOnly,7,0.2,1,3,UnKnown_R,0
60,2,2,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,1,2,LOO_SGS8,2
61,2,1,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,1,2,LOO_SGS8,1
62,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,1,2,LOO_SGS8,0
63,2,2,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,1,2,LOO_SGS8,2
64,2,1,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,1,2,LOO_SGS8,1
65,2,0,LOO_SGS8,7,2,0,1,0.0,0.125,0.0625,0.1111111111111111,1.1111111111111112,0.9375,AfterSplit,GenAugSpoofOnly,7,0.2,1,2,LOO_SGS8,0
66,2,2,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,2,2,LOO_SGS8,2
67,2,1,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,2,2,LOO_SGS8,1
68,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,2,2,LOO_SGS8,0
69,2,2,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,2,LOO_SGS8,2
70,2,1,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,2,LOO_SGS8,1
71,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,2,LOO_SGS8,0
72,2,2,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_SGS8,2
73,2,1,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_SGS8,1
74,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_SGS8,0
75,3,2,UnKnown_R,8,12,2,0,0.14285714285714285,0.0,0.07142857142857142,0.12500000000000006,0.875,0.9285714285714286,AfterSplit,GenAugSpoofOnly,7,0.2,2,3,UnKnown_R,2
76,3,1,UnKnown_R,8,12,2,0,0.14285714285714285,0.0,0.07142857142857142,0.12500000000000006,0.875,0.9285714285714286,AfterSplit,GenAugSpoofOnly,7,0.2,2,3,UnKnown_R,1
77,3,0,UnKnown_R,8,10,4,0,0.2857142857142857,0.0,0.14285714285714285,0.22222222222222224,0.7777777777777778,0.8571428571428572,AfterSplit,GenAugSpoofOnly,7,0.2,2,3,UnKnown_R,0
78,2,2,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,1,2,LOO_IPP2017,2
79,2,1,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,1,2,LOO_IPP2017,1
80,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,1,2,LOO_IPP2017,0
81,2,2,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,1,2,LOO_ASUS,2
82,2,1,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,1,2,LOO_ASUS,1
83,2,0,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,1,2,LOO_ASUS,0
84,3,2,UnKnown_P,8,3,1,0,0.25,0.0,0.125,0.2,0.8,0.875,AfterSplit,GenAugSpoofOnly,7,0.1,1,3,UnKnown_P,2
85,3,1,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,1,3,UnKnown_P,1
86,3,0,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,1,3,UnKnown_P,0
87,3,2,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,2,3,UnKnown_P,2
88,3,1,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,2,3,UnKnown_P,1
89,3,0,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,2,3,UnKnown_P,0
90,2,2,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,1,2,LOO_IP7P,2
91,2,1,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,1,2,LOO_IP7P,1
92,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,1,2,LOO_IP7P,0
93,2,2,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,2,2,LOO_ASUS,2
94,2,1,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,2,2,LOO_ASUS,1
95,2,0,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,2,2,LOO_ASUS,0
96,2,2,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,2,2,LOO_IP7P,2
97,2,1,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,2,2,LOO_IP7P,1
98,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,2,2,LOO_IP7P,0
99,2,2,LOO_IPP2017,8,3,1,0,0.25,0.0,0.125,0.2,0.8,0.875,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_IPP2017,2
100,2,1,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_IPP2017,1
101,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_IPP2017,0
102,2,2,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,1,2,LOO_IPP2017,2
103,2,1,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,1,2,LOO_IPP2017,1
104,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,1,2,LOO_IPP2017,0
105,3,2,UnKnown_P,8,3,1,0,0.25,0.0,0.125,0.2,0.8,0.875,AfterSplit,GenAugSpoofOnly,7,0.3,1,3,UnKnown_P,2
106,3,1,UnKnown_P,8,3,1,0,0.25,0.0,0.125,0.2,0.8,0.875,AfterSplit,GenAugSpoofOnly,7,0.3,1,3,UnKnown_P,1
107,3,0,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.3,1,3,UnKnown_P,0
108,3,2,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,3,UnKnown_P,2
109,3,1,UnKnown_P,8,3,1,0,0.25,0.0,0.125,0.2,0.8,0.875,AfterSplit,GenAugSpoofOnly,7,0.2,2,3,UnKnown_P,1
110,3,0,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,3,UnKnown_P,0
111,3,2,UnKnown_R,8,12,2,0,0.14285714285714285,0.0,0.07142857142857142,0.12500000000000006,0.875,0.9285714285714286,AfterSplit,GenAugSpoofOnly,7,0.3,1,3,UnKnown_R,2
112,3,1,UnKnown_R,8,12,2,0,0.14285714285714285,0.0,0.07142857142857142,0.12500000000000006,0.875,0.9285714285714286,AfterSplit,GenAugSpoofOnly,7,0.3,1,3,UnKnown_R,1
113,3,0,UnKnown_R,8,12,2,0,0.14285714285714285,0.0,0.07142857142857142,0.12500000000000006,0.875,0.9285714285714286,AfterSplit,GenAugSpoofOnly,7,0.3,1,3,UnKnown_R,0
114,2,2,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,2,LOO_IP7P,2
115,2,1,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,2,LOO_IP7P,1
116,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.2,2,2,LOO_IP7P,0
117,2,2,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_IP7P,2
118,2,1,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_IP7P,1
119,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,1,2,LOO_IP7P,0
120,2,2,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,1,2,LOO_SGS8,2
121,2,1,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.1,1,2,LOO_SGS8,1
122,2,0,LOO_SGS8,7,2,0,1,0.0,0.125,0.0625,0.1111111111111111,1.1111111111111112,0.9375,AfterSplit,GenAugSpoofOnly,7,0.1,1,2,LOO_SGS8,0
123,3,2,UnKnown_R,8,14,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly,7,0.05,2,3,UnKnown_R,2
124,3,1,UnKnown_R,8,13,1,0,0.07142857142857142,0.0,0.03571428571428571,0.06666666666666664,0.9333333333333333,0.9642857142857143,AfterSplit,GenAugSpoofOnly,7,0.05,2,3,UnKnown_R,1
125,3,0,UnKnown_R,8,13,1,0,0.07142857142857142,0.0,0.03571428571428571,0.06666666666666664,0.9333333333333333,0.9642857142857143,AfterSplit,GenAugSpoofOnly,7,0.05,2,3,UnKnown_R,0
