trial_id,protocol_number,fold_number,protocol,TN,TP,FN,FP,APCER,BPCER,ACER,EER,EER_Thresh,AUC,Multi_protocol_number,Multi_fold_number,Multi_protocol,Multi_TN,Multi_TP,Multi_FN,Multi_FP,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_EER_Thresh,Multi_AUC,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/HP_COMB,config/must_remove_normal,config/epochs,config/save_metrics_root,config/save_checkpoints_root,config/save_tb_root,config/dataset_root,config/dataset_name,config/dataset_csv_name,config/aug_root,config/aug_csv,config/train_subject_number,config/test_subject_number,config/get_train_frame_func,config/get_protocol_frame_dic_func,config/is_ray,config/get_stratified_name_col_func,config/process_dataset_metrics_func,config/stratified_name_list_func,config/n_folds,config/current_fold,config/HP_REPEAT,config/original_dataset_root,config/use_last_only,config/include_traditional_aug,config/aug_after_split,config/mode_info,config/must_use_normal_only,config/HP_AUG_PER
01118_00000,2,0,LOO_SGS8,9347,900,0,35,0.0,0.003730547857599659,0.0018652739287998296,0.0037166825953063613,1.0037166825953063,0.9981347260712002,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3282.2866563796997,True,,,1,c6f8095fe38f4332bce93f23db9f125a,2022-09-25_17-28-06,1664119686,3282.2866563796997,2752932,bigboi,192.168.0.26,3282.2866563796997,0,1,0.0018913745880126953,"0_HP_AUG_PER=0.0500,HP_COMB=A_ASUS-IP7P-IPP2017_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-IPP2017,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7ff29f0b9a60>,<function get_siw_protocol_frame_dic at 0x7ff29277e550>,True,<function get_siw_stratified_name_col at 0x7ff29277e280>,<function process_siw_dataset_metrics_func at 0x7ff29277e310>,<function get_siw_stratified_name_list_func at 0x7ff29277e1f0>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.05
01118_00001,2,0,LOO_SGS8,8612,899,1,770,0.0011111111111111111,0.08207205286719249,0.0415915819891518,0.07592508637163324,1.0748971943653727,0.9584084180108482,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3646.1339135169983,True,,,1,602c693a55d1407c8c8ca62fb774bd8b,2022-09-25_17-34-12,1664120052,3646.1339135169983,2752964,bigboi,192.168.0.26,3646.1339135169983,0,1,0.001961231231689453,"1_HP_AUG_PER=0.1000,HP_COMB=A_ASUS-IP7P-IPP2017_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-IPP2017,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7ff29f0b9a60>,<function get_siw_protocol_frame_dic at 0x7ff29277e550>,True,<function get_siw_stratified_name_col at 0x7ff29277e280>,<function process_siw_dataset_metrics_func at 0x7ff29277e310>,<function get_siw_stratified_name_list_func at 0x7ff29277e1f0>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.1
01118_00002,2,0,LOO_SGS8,6650,899,1,2732,0.0011111111111111111,0.2911959070560648,0.14615350908358796,0.2257184240689941,1.2248571542403723,0.8538464909164121,2,0,LOO_SGS8,7,2,0,1,0.0,0.125,0.0625,0.1111111111111111,1.1111111111111112,0.9375,3591.536686182022,True,,,1,df16a6b513574621818cd1d2bde9c706,2022-09-25_17-33-18,1664119998,3591.536686182022,2752966,bigboi,192.168.0.26,3591.536686182022,0,1,0.002583026885986328,"2_HP_AUG_PER=0.2000,HP_COMB=A_ASUS-IP7P-IPP2017_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-IPP2017,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7ff29f0b9a60>,<function get_siw_protocol_frame_dic at 0x7ff29277e550>,True,<function get_siw_stratified_name_col at 0x7ff29277e280>,<function process_siw_dataset_metrics_func at 0x7ff29277e310>,<function get_siw_stratified_name_list_func at 0x7ff29277e1f0>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.2
01118_00003,2,0,LOO_SGS8,8326,900,0,1056,0.0,0.11255595821786399,0.056277979108931994,0.10116880628472887,1.101168806284729,0.9437220208910679,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3926.727070569992,True,,,1,d50687768d364144afd4a1ef73b7afe4,2022-09-25_17-38-53,1664120333,3926.727070569992,2752968,bigboi,192.168.0.26,3926.727070569992,0,1,0.002290010452270508,"3_HP_AUG_PER=0.3000,HP_COMB=A_ASUS-IP7P-IPP2017_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-IPP2017,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7ff29f0b9a60>,<function get_siw_protocol_frame_dic at 0x7ff29277e550>,True,<function get_siw_stratified_name_col at 0x7ff29277e280>,<function process_siw_dataset_metrics_func at 0x7ff29277e310>,<function get_siw_stratified_name_list_func at 0x7ff29277e1f0>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.3
01118_00004,2,0,LOO_IPP2017,9251,1584,153,131,0.08808290155440414,0.013962907695587294,0.051022904624995716,0.08200471274905091,0.9309946800333374,0.9489770953750043,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,2910.587812423706,True,,,1,40f345d2b7b0454ca89d78c42e14279b,2022-09-25_17-21-57,1664119317,2910.587812423706,2752972,bigboi,192.168.0.26,2910.587812423706,0,1,0.001775503158569336,"4_HP_AUG_PER=0.0500,HP_COMB=A_ASUS-IP7P-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7ff29f0b9a60>,<function get_siw_protocol_frame_dic at 0x7ff29277e550>,True,<function get_siw_stratified_name_col at 0x7ff29277e280>,<function process_siw_dataset_metrics_func at 0x7ff29277e310>,<function get_siw_stratified_name_list_func at 0x7ff29277e1f0>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.05
01118_00005,2,0,LOO_IPP2017,9375,1562,175,7,0.10074841681059298,0.0007461095715199318,0.050747263191056456,0.09158927772021168,0.9090890022857572,0.9492527368089436,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4542.616454124451,True,,,1,5e840bd0c449456d9fedbe57f7103ac6,2022-09-25_17-49-09,1664120949,4542.616454124451,2752974,bigboi,192.168.0.26,4542.616454124451,0,1,0.0017812252044677734,"5_HP_AUG_PER=0.1000,HP_COMB=A_ASUS-IP7P-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7ff29f0b9a60>,<function get_siw_protocol_frame_dic at 0x7ff29277e550>,True,<function get_siw_stratified_name_col at 0x7ff29277e280>,<function process_siw_dataset_metrics_func at 0x7ff29277e310>,<function get_siw_stratified_name_list_func at 0x7ff29277e1f0>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.1
01118_00006,2,0,LOO_IPP2017,9336,1511,226,46,0.13010938399539435,0.004903005755702409,0.06750619487554838,0.11563157347094101,0.8887258545089579,0.9324938051244516,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3753.165215730667,True,,,1,e4b78d2e157a494eb0fe1a82c6f5b8f1,2022-09-25_17-35-59,1664120159,3753.165215730667,2752977,bigboi,192.168.0.26,3753.165215730667,0,1,0.001959085464477539,"6_HP_AUG_PER=0.2000,HP_COMB=A_ASUS-IP7P-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7ff29f0b9a60>,<function get_siw_protocol_frame_dic at 0x7ff29277e550>,True,<function get_siw_stratified_name_col at 0x7ff29277e280>,<function process_siw_dataset_metrics_func at 0x7ff29277e310>,<function get_siw_stratified_name_list_func at 0x7ff29277e1f0>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.2
01118_00007,2,0,LOO_IPP2017,9370,1544,193,12,0.1111111111111111,0.0012790449797484545,0.05619507804542978,0.10011524671333448,0.9010372204200102,0.9438049219545702,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4998.87654042244,True,,,1,cf672abefcc644049fc784d3523f3aae,2022-09-25_17-56-45,1664121405,4998.87654042244,2752980,bigboi,192.168.0.26,4998.87654042244,0,1,0.002407550811767578,"7_HP_AUG_PER=0.3000,HP_COMB=A_ASUS-IP7P-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7ff29f0b9a60>,<function get_siw_protocol_frame_dic at 0x7ff29277e550>,True,<function get_siw_stratified_name_col at 0x7ff29277e280>,<function process_siw_dataset_metrics_func at 0x7ff29277e310>,<function get_siw_stratified_name_list_func at 0x7ff29277e1f0>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.3
01118_00008,2,0,LOO_IP7P,9113,1771,1,269,0.000564334085778781,0.028671924962694523,0.014618129524236651,0.027888058815166462,1.027339153145384,0.9853818704757633,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,5617.669981241226,True,,,1,7bc676cfb6ae46b0afa2f04e20b214db,2022-09-25_18-55-37,1664124937,5617.669981241226,2856540,bigboi,192.168.0.26,5617.669981241226,0,1,0.0021944046020507812,"8_HP_AUG_PER=0.0500,HP_COMB=A_ASUS-IPP2017-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IPP2017-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7ff29f0b9a60>,<function get_siw_protocol_frame_dic at 0x7ff29277e550>,True,<function get_siw_stratified_name_col at 0x7ff29277e280>,<function process_siw_dataset_metrics_func at 0x7ff29277e310>,<function get_siw_stratified_name_list_func at 0x7ff29277e1f0>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.05
01118_00009,2,0,LOO_IP7P,9316,1772,0,66,0.0,0.007034747388616499,0.0035173736943082496,0.006985605419136325,1.0069856054191364,0.9964826263056917,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,5423.044358968735,True,,,1,fe809ab064dc4faaa00ce9e82a19ec36,2022-09-25_18-58-34,1664125114,5423.044358968735,2869620,bigboi,192.168.0.26,5423.044358968735,0,1,0.0023071765899658203,"9_HP_AUG_PER=0.1000,HP_COMB=A_ASUS-IPP2017-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IPP2017-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/SpoofMetrics/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/CheckPoints/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/AfterSplit/Tensorboard/Single/SIW_antispoof_09_25_2022_16_33_18,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7ff29f0b9a60>,<function get_siw_protocol_frame_dic at 0x7ff29277e550>,True,<function get_siw_stratified_name_col at 0x7ff29277e280>,<function process_siw_dataset_metrics_func at 0x7ff29277e310>,<function get_siw_stratified_name_list_func at 0x7ff29277e1f0>,3,0,1,,False,False,True,_GenAugSpoofOnly,False,0.1
