,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AfterSplit,GenAugSpoofOnly,0.05,24.0,1347.875,339.5159357853088,900.0,1059.0,1269.5,1662.25,1772.0,24.0,9190.458333333334,182.32412112753357,8643.0,9117.5,9220.5,9322.5,9370.0,24.0,191.54166666666666,182.32412112753357,12.0,59.5,161.5,264.5,739.0,24.0,93.375,142.07891637488254,0.0,0.0,43.5,123.0,625.0,24.0,0.05844508644355404,0.08350240255755079,0.0,0.0,0.0319930814971666,0.084520725388601,0.3598157743235463,24.0,0.020415867263554266,0.019433395984601743,0.0012790449797484,0.00634193135791935,0.017213813685781253,0.028192283095288775,0.0787678533361756,24.0,0.03943047685355416,0.04138614176842397,0.000692816030697,0.012368026305595475,0.04016299990057775,0.04823103029147175,0.1826791512845615,24.0,0.06297134137399597,0.058877638703591584,0.0013837147418839,0.0240059182699889,0.0610382197876235,0.07854757240613462,0.2656891992554603,24.0,0.9605695231464457,0.04138614176842397,0.8173208487154384,0.9517689697085282,0.9598370000994223,0.9876319736944046,0.9993071839693028,24.0,3.4583333333333335,0.883627241233132,2.0,2.75,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.041666666666666664,0.2041241452319315,0.0,0.0,0.0,0.0,1.0,24.0,0.010416666666666666,0.05103103630798288,0.0,0.0,0.0,0.0,0.25,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.005208333333333333,0.02551551815399144,0.0,0.0,0.0,0.0,0.125,24.0,0.008333333333333333,0.040824829046386304,0.0,0.0,0.0,0.0,0.2,24.0,0.9947916666666666,0.02551551815399144,0.875,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,AfterSplit,GenAugSpoofOnly,0.1,24.0,1365.2083333333333,341.61292348614916,899.0,1126.5,1407.0,1649.5,1772.0,24.0,9228.041666666666,207.09365223758417,8612.0,9203.5,9315.0,9355.25,9377.0,24.0,153.95833333333334,207.09365223758417,5.0,26.75,67.0,178.5,770.0,24.0,76.04166666666667,79.38266110466422,0.0,0.0,45.5,151.5,189.0,24.0,0.04941234595528069,0.05134847860286171,0.0,0.0,0.03374139626352015,0.10295380092826095,0.1135693215339233,24.0,0.01640996944503655,0.022073508019354517,0.0005329354082285,0.0028512044340225752,0.00714133447026215,0.0190257940737582,0.0820720528671924,24.0,0.032911157700158615,0.021218627818855362,0.0019342668083978,0.0110208155186941,0.03944686949998075,0.0520364826427704,0.0591295765631671,24.0,0.058843931286680716,0.036698304375317535,0.0032951712052953,0.021033099905439025,0.0702320505885104,0.09343685873196647,0.1024180919244105,24.0,0.9670888422998414,0.02121862781885534,0.9408704234368328,0.9479635173572296,0.9605531305000192,0.988979184481306,0.9980657331916022,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,AfterSplit,GenAugSpoofOnly,0.2,24.0,1361.0416666666667,335.9534749319325,899.0,1125.75,1375.5,1637.5,1771.0,24.0,9135.0,551.7733466623379,6650.0,9074.5,9321.5,9360.5,9379.0,24.0,247.0,551.7733466623379,3.0,21.5,60.5,307.5,2732.0,24.0,80.20833333333333,87.91101190688659,0.0,1.0,47.0,145.5,249.0,24.0,0.051264237316259224,0.05417789281678117,0.0,0.0005643340857787,0.034847590953785604,0.0964233038348082,0.1433506044905008,24.0,0.026327009166488974,0.05881191075062224,0.0003197612449371,0.002291622255382625,0.00644851843956505,0.0327755276060541,0.2911959070560648,24.0,0.03879562324137411,0.03215439111345057,0.0001598806224685,0.0175774699210293,0.03928720439377725,0.05367034640617445,0.1461535090835879,24.0,0.06693563258563658,0.051129045053398464,0.0003196590303676,0.033830162225684426,0.07042805967225721,0.09223143528081183,0.2257184240689941,24.0,0.9612043767586259,0.03215439111345057,0.8538464909164121,0.9463296535938255,0.9607127956062227,0.9824225300789707,0.9998401193775314,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,7.958333333333333,0.2041241452319315,7.0,8.0,8.0,8.0,8.0,24.0,0.041666666666666664,0.20412414523193154,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.005208333333333333,0.025515518153991442,0.0,0.0,0.0,0.0,0.125,24.0,0.0026041666666666665,0.012757759076995721,0.0,0.0,0.0,0.0,0.0625,24.0,0.004629629629629629,0.022680460581325723,0.0,0.0,0.0,0.0,0.1111111111111111,24.0,0.9973958333333334,0.01275775907699572,0.9375,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,AfterSplit,GenAugSpoofOnly,0.3,24.0,1358.2916666666667,336.6182819658243,900.0,1116.75,1386.0,1613.5,1772.0,24.0,9248.041666666666,242.43142986916075,8326.0,9271.75,9329.0,9370.0,9382.0,24.0,133.95833333333334,242.43142986916072,0.0,12.0,53.0,110.25,1056.0,24.0,82.95833333333333,87.8622831316228,0.0,0.0,57.0,169.25,208.0,24.0,0.05327763984516307,0.055100498033866595,0.0,0.0,0.041948833709556,0.10981577432354628,0.1231563421828908,24.0,0.014278227812122462,0.02584005860894912,0.0,0.0012790449797484,0.0056491153272223,0.011751225751438926,0.1125559582178639,24.0,0.03377793382864275,0.025023378412207115,0.0001065870816457,0.005453189383830425,0.044267242111141,0.05621580331130525,0.0623781412661121,24.0,0.059851405360393,0.04353902896284644,0.0002131287297527,0.010648382786105874,0.07873150737431994,0.100378636606183,0.1097770161584707,24.0,0.9662220661713573,0.0250233784122071,0.9376218587338878,0.9437841966886946,0.9557327578888588,0.9945468106161695,0.9998934129183544,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,GenAugSpoofOnly,0.05,12.0,3051.6666666666665,1040.2138183463956,2021.0,2115.0,2811.0,3938.5,4466.0,12.0,9325.75,67.44576946096633,9140.0,9326.75,9354.0,9362.25,9371.0,12.0,56.25,67.44576946096633,11.0,19.75,28.0,55.25,242.0,12.0,931.3333333333334,907.4650339703386,52.0,92.0,739.5,1573.5,2292.0,12.0,0.17655316862331882,0.1433829318782037,0.0236256247160381,0.041799182189913624,0.15355312357033954,0.27294015611448397,0.3975715524718126,12.0,0.005995523342570825,0.007188847736193405,0.0011724578981027,0.0021050948625025746,0.0029844382860796997,0.0058889362609251,0.0257940737582605,12.0,0.09127434598294486,0.0696394776082998,0.01687569873619,0.027741370344732875,0.07821548738738679,0.1375226254884933,0.1996384728890719,12.0,0.13903966850390378,0.10213156306184895,0.023310930603845,0.04036429045123247,0.1300873847302273,0.2140922750318866,0.2848206827433235,12.0,0.9087256540170551,0.06963947760829979,0.800361527110928,0.8624773745115067,0.9217845126126132,0.972258629655267,0.98312430126381,12.0,7.083333333333333,3.2321772378645472,4.0,4.0,7.0,10.0,11.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.9166666666666667,2.0207259421636903,0.0,0.0,1.5,4.0,4.0,12.0,0.13690476190476186,0.14433756729740643,0.0,0.0,0.1071428571428571,0.2857142857142857,0.2857142857142857,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.06845238095238092,0.07216878364870319,0.0,0.0,0.05357142857142855,0.1428571428571428,0.1428571428571428,12.0,0.10729847494553375,0.1127748747208656,0.0,0.0,0.08823529411764705,0.2222222222222222,0.2222222222222222,12.0,0.9315476190476191,0.07216878364870319,0.8571428571428572,0.8571428571428572,0.9464285714285714,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,GenAugSpoofOnly,0.1,12.0,2809.8333333333335,1026.7196513285612,1519.0,2137.5,2187.0,3876.5,4298.0,12.0,9318.0,70.41823111046793,9180.0,9296.5,9350.0,9366.0,9380.0,12.0,64.0,70.41823111046793,2.0,16.0,32.0,85.5,202.0,12.0,1173.1666666666667,1156.9897330677754,47.0,78.5,1074.5,1803.5,3545.0,12.0,0.23284991355213316,0.18914128397488855,0.0213539300318037,0.03566560654248065,0.2578490893321769,0.31613244078521424,0.6149176062445794,12.0,0.006821573225325041,0.007505673748717538,0.0002131741632914,0.0017053933063312,0.0034107866126625,0.0091131954807077,0.0215305904924323,12.0,0.1198357433887291,0.09223296785177836,0.015172993109564,0.027940409976240876,0.1304167638091283,0.1611705691455383,0.3087378481020381,12.0,0.17223912333039215,0.12298005559745036,0.0213326869967634,0.0350323671336126,0.20547566129265785,0.24127760324680037,0.3813774781827109,12.0,0.880164256611271,0.09223296785177836,0.6912621518979618,0.8388294308544617,0.8695832361908717,0.972059590023759,0.984827006890436,12.0,6.166666666666667,3.099364548751987,3.0,4.0,4.0,10.0,10.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.8333333333333335,3.0993645487519865,0.0,0.0,2.5,4.0,10.0,12.0,0.23214285714285712,0.21292860301389085,0.0,0.0,0.26785714285714285,0.2857142857142857,0.7142857142857143,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.11607142857142853,0.1064643015069454,0.0,0.0,0.1339285714285714,0.1428571428571428,0.3571428571428571,12.0,0.16712962962962963,0.13683241844314387,0.0,0.0,0.2111111111111111,0.2222222222222222,0.4166666666666666,12.0,0.8839285714285715,0.10646430150694543,0.6428571428571428,0.8571428571428572,0.8660714285714286,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,GenAugSpoofOnly,0.2,12.0,2859.6666666666665,971.3909739350187,1840.0,2070.5,2260.0,3883.25,4154.0,12.0,9312.75,77.6906745310588,9151.0,9303.25,9343.5,9363.25,9382.0,12.0,69.25,77.6906745310588,0.0,18.75,38.5,78.75,231.0,12.0,1123.3333333333333,1102.6152657397884,40.0,143.5,986.0,1847.25,3406.0,12.0,0.21765196744258927,0.17282784877937193,0.0181735574738755,0.06519763743752832,0.221730641240499,0.3204249783174328,0.5908065915004337,12.0,0.007381155403964993,0.008280822269351814,0.0,0.001998507780856875,0.0041036026433596,0.0083937326795992,0.0246216158601577,12.0,0.11251656142327714,0.08439972589329055,0.0142029586559315,0.04280453178634035,0.1173138390598146,0.16165141476093337,0.2954032957502168,12.0,0.16495781542268387,0.11212091173735196,0.0180303747049237,0.062413298203141857,0.18131210013497984,0.24318865332264014,0.3713880710936648,12.0,0.8874834385767228,0.08439972589329059,0.7045967042497832,0.8383485852390666,0.8826861609401853,0.9571954682136596,0.9857970413440684,12.0,6.5,3.118857599710626,3.0,4.0,4.5,10.0,10.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.5,2.8123105996832765,0.0,0.0,2.5,4.0,9.0,12.0,0.19345238095238093,0.19882442850524953,0.0,0.0,0.26785714285714285,0.2857142857142857,0.6428571428571429,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.09672619047619045,0.09941221425262475,0.0,0.0,0.1339285714285714,0.1428571428571428,0.3214285714285714,12.0,0.1418679549114332,0.13433826819078212,0.0,0.0,0.2111111111111111,0.2222222222222222,0.3913043478260869,12.0,0.9032738095238096,0.09941221425262475,0.6785714285714286,0.8571428571428572,0.8660714285714286,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,GenAugSpoofOnly,0.3,12.0,2891.3333333333335,947.0392459308819,1854.0,2004.5,2806.0,3803.0,4010.0,12.0,9292.333333333334,157.08036931533624,8816.0,9330.75,9346.5,9357.25,9369.0,12.0,89.66666666666667,157.0803693153362,13.0,24.75,35.5,51.25,566.0,12.0,1091.6666666666667,935.681213519505,46.0,231.5,1051.0,1936.0,2308.0,12.0,0.2183149686619094,0.1358368300346348,0.0208995910949568,0.10517946388005447,0.23103942739896274,0.33581960104076325,0.4003469210754553,12.0,0.009557308320898125,0.016742738149151157,0.0013856320613941,0.00263803027073115,0.00378384139842245,0.005462587934342325,0.0603282882114687,12.0,0.11393613849140376,0.0632502290159631,0.0357108370441876,0.05665336442776968,0.1174116343986926,0.1691355519593072,0.2008662765684247,12.0,0.17322425183330067,0.0891332666266635,0.0580398524485864,0.09566774576304753,0.18531318246986556,0.25185215468768385,0.2861744096990748,12.0,0.8860638615085961,0.06325022901596304,0.7991337234315752,0.8308644480406929,0.8825883656013075,0.9433466355722302,0.9642891629558124,12.0,6.75,3.1079078025403053,3.0,4.0,6.0,10.0,10.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.25,2.261335084333227,0.0,0.0,2.5,4.0,6.0,12.0,0.17559523809523805,0.16077439953187858,0.0,0.0,0.26785714285714285,0.2857142857142857,0.4285714285714285,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.08779761904761901,0.08038719976593925,0.0,0.0,0.1339285714285714,0.1428571428571428,0.2142857142857142,12.0,0.13425925925925924,0.12083309145066545,0.0,0.0,0.2111111111111111,0.2222222222222222,0.3,12.0,0.912202380952381,0.08038719976593926,0.7857142857142857,0.8571428571428572,0.8660714285714286,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
