trial_id,protocol_number,fold_number,protocol,TN,TP,FN,FP,APCER,BPCER,ACER,EER,EER_Thresh,AUC,Multi_protocol_number,Multi_fold_number,Multi_protocol,Multi_TN,Multi_TP,Multi_FN,Multi_FP,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_EER_Thresh,Multi_AUC,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/HP_COMB,config/must_remove_normal,config/epochs,config/save_metrics_root,config/save_checkpoints_root,config/save_tb_root,config/dataset_root,config/dataset_name,config/dataset_csv_name,config/aug_root,config/aug_csv,config/train_subject_number,config/test_subject_number,config/get_train_frame_func,config/get_protocol_frame_dic_func,config/is_ray,config/get_stratified_name_col_func,config/process_dataset_metrics_func,config/stratified_name_list_func,config/n_folds,config/current_fold,config/HP_REPEAT,config/original_dataset_root,config/use_last_only,config/include_traditional_aug,config/aug_after_split,config/mode_info,config/must_use_normal_only,config/HP_AUG_PER
7124a_00000,2,0,LOO_SGS8,9147,900,0,235,0.0,0.025047964186740566,0.012523982093370283,0.024435894769678695,1.0244358947696788,0.9874760179066296,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,5308.572944879532,True,,,1,f3656082ee174455ab2b1f8845a8182a,2022-09-24_18-20-30,1664036430,5308.572944879532,4058654,bigboi,192.168.0.26,5308.572944879532,0,1,0.0022764205932617188,"0_HP_AUG_PER=0.0500,HP_COMB=A_ASUS-IP7P-IPP2017_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-IPP2017,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fa43929ca60>,<function get_siw_protocol_frame_dic at 0x7fa42c87e550>,True,<function get_siw_stratified_name_col at 0x7fa42c87e280>,<function process_siw_dataset_metrics_func at 0x7fa42c87e310>,<function get_siw_stratified_name_list_func at 0x7fa42c87e1f0>,3,0,1,,False,False,False,_GenAugSpoofOnly,False,0.05
7124a_00001,2,0,LOO_SGS8,9281,900,0,101,0.0,0.010765295246216158,0.005382647623108079,0.010650637983760414,1.0106506379837603,0.9946173523768919,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,5116.149898767471,True,,,1,359dbd5630ca48b5a8f8523d9078da72,2022-09-24_18-17-20,1664036240,5116.149898767471,4058687,bigboi,192.168.0.26,5116.149898767471,0,1,0.003144502639770508,"1_HP_AUG_PER=0.1000,HP_COMB=A_ASUS-IP7P-IPP2017_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-IPP2017,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fa43929ca60>,<function get_siw_protocol_frame_dic at 0x7fa42c87e550>,True,<function get_siw_stratified_name_col at 0x7fa42c87e280>,<function process_siw_dataset_metrics_func at 0x7fa42c87e310>,<function get_siw_stratified_name_list_func at 0x7fa42c87e1f0>,3,0,1,,False,False,False,_GenAugSpoofOnly,False,0.1
7124a_00002,2,0,LOO_SGS8,9354,900,0,28,0.0,0.002984438286079727,0.0014922191430398635,0.002975557917109458,1.0029755579171096,0.9985077808569601,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4245.686741113663,True,,,1,11517a04bdf74ce5b15c58689c5cfa3a,2022-09-24_18-02-49,1664035369,4245.686741113663,4058689,bigboi,192.168.0.26,4245.686741113663,0,1,0.0016930103302001953,"2_HP_AUG_PER=0.2000,HP_COMB=A_ASUS-IP7P-IPP2017_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-IPP2017,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fa43929ca60>,<function get_siw_protocol_frame_dic at 0x7fa42c87e550>,True,<function get_siw_stratified_name_col at 0x7fa42c87e280>,<function process_siw_dataset_metrics_func at 0x7fa42c87e310>,<function get_siw_stratified_name_list_func at 0x7fa42c87e1f0>,3,0,1,,False,False,False,_GenAugSpoofOnly,False,0.2
7124a_00003,2,0,LOO_SGS8,9324,900,0,58,0.0,0.006182050735450863,0.0030910253677254316,0.00614406779661017,1.00614406779661,0.9969089746322746,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4322.11932182312,True,,,1,890fc99ef23448b1bf6ccba5bf86c09f,2022-09-24_18-04-06,1664035446,4322.11932182312,4058691,bigboi,192.168.0.26,4322.11932182312,0,1,0.0019464492797851562,"3_HP_AUG_PER=0.3000,HP_COMB=A_ASUS-IP7P-IPP2017_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-IPP2017,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fa43929ca60>,<function get_siw_protocol_frame_dic at 0x7fa42c87e550>,True,<function get_siw_stratified_name_col at 0x7fa42c87e280>,<function process_siw_dataset_metrics_func at 0x7fa42c87e310>,<function get_siw_stratified_name_list_func at 0x7fa42c87e1f0>,3,0,1,,False,False,False,_GenAugSpoofOnly,False,0.3
7124a_00004,2,0,LOO_IPP2017,9355,1579,158,27,0.09096142774899252,0.0028778512044340225,0.04691963947671327,0.08359783173812835,0.9190470489185334,0.9530803605232867,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,6080.949209213257,True,,,1,c87444d5e241426e83345392889ac1c3,2022-09-24_18-33-24,1664037204,6080.949209213257,4058693,bigboi,192.168.0.26,6080.949209213257,0,1,0.0017895698547363281,"4_HP_AUG_PER=0.0500,HP_COMB=A_ASUS-IP7P-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fa43929ca60>,<function get_siw_protocol_frame_dic at 0x7fa42c87e550>,True,<function get_siw_stratified_name_col at 0x7fa42c87e280>,<function process_siw_dataset_metrics_func at 0x7fa42c87e310>,<function get_siw_stratified_name_list_func at 0x7fa42c87e1f0>,3,0,1,,False,False,False,_GenAugSpoofOnly,False,0.05
7124a_00005,2,0,LOO_IPP2017,9380,1551,186,2,0.1070811744386874,0.00021317416329140907,0.0536471743009894,0.09674249721922118,0.9034500949988558,0.9463528256990107,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3627.944674730301,True,,,1,623776ecc6d6447ab82ce7ebfe18268b,2022-09-24_17-52-31,1664034751,3627.944674730301,4058695,bigboi,192.168.0.26,3627.944674730301,0,1,0.0025234222412109375,"5_HP_AUG_PER=0.1000,HP_COMB=A_ASUS-IP7P-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fa43929ca60>,<function get_siw_protocol_frame_dic at 0x7fa42c87e550>,True,<function get_siw_stratified_name_col at 0x7fa42c87e280>,<function process_siw_dataset_metrics_func at 0x7fa42c87e310>,<function get_siw_stratified_name_list_func at 0x7fa42c87e1f0>,3,0,1,,False,False,False,_GenAugSpoofOnly,False,0.1
7124a_00006,2,0,LOO_IPP2017,9342,1541,196,40,0.11283822682786414,0.004263483265828182,0.05855085504684616,0.10178675590722566,0.9020591582186265,0.9414491449531539,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3634.681640148163,True,,,1,4fb6cda290104c679f40434b195c6e05,2022-09-24_17-52-38,1664034758,3634.681640148163,4058697,bigboi,192.168.0.26,3634.681640148163,0,1,0.0023202896118164062,"6_HP_AUG_PER=0.2000,HP_COMB=A_ASUS-IP7P-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fa43929ca60>,<function get_siw_protocol_frame_dic at 0x7fa42c87e550>,True,<function get_siw_stratified_name_col at 0x7fa42c87e280>,<function process_siw_dataset_metrics_func at 0x7fa42c87e310>,<function get_siw_stratified_name_list_func at 0x7fa42c87e1f0>,3,0,1,,False,False,False,_GenAugSpoofOnly,False,0.2
7124a_00007,2,0,LOO_IPP2017,9368,1523,214,14,0.12320092112838227,0.0014922191430398635,0.062346570135711064,0.10983325787731317,0.8914970510882844,0.9376534298642889,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,7731.140806913376,True,,,1,7989b7c6707044058c76011f36785630,2022-09-24_19-00-55,1664038855,7731.140806913376,4058699,bigboi,192.168.0.26,7731.140806913376,0,1,0.0020782947540283203,"7_HP_AUG_PER=0.3000,HP_COMB=A_ASUS-IP7P-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fa43929ca60>,<function get_siw_protocol_frame_dic at 0x7fa42c87e550>,True,<function get_siw_stratified_name_col at 0x7fa42c87e280>,<function process_siw_dataset_metrics_func at 0x7fa42c87e310>,<function get_siw_stratified_name_list_func at 0x7fa42c87e1f0>,3,0,1,,False,False,False,_GenAugSpoofOnly,False,0.3
7124a_00008,2,0,LOO_IP7P,9208,1770,2,174,0.001128668171557562,0.01854615220635259,0.009837410188955077,0.018228654900644823,1.01711930874799,0.9901625898110449,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3605.0172595977783,True,,,1,2dbac18e0bea482ea6f5c935086b03a9,2022-09-24_18-52-40,1664038360,3605.0172595977783,4182988,bigboi,192.168.0.26,3605.0172595977783,0,1,0.0035414695739746094,"8_HP_AUG_PER=0.0500,HP_COMB=A_ASUS-IPP2017-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IPP2017-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fa43929ca60>,<function get_siw_protocol_frame_dic at 0x7fa42c87e550>,True,<function get_siw_stratified_name_col at 0x7fa42c87e280>,<function process_siw_dataset_metrics_func at 0x7fa42c87e310>,<function get_siw_stratified_name_list_func at 0x7fa42c87e1f0>,3,0,1,,False,False,False,_GenAugSpoofOnly,False,0.05
7124a_00009,2,0,LOO_IP7P,9222,1771,1,160,0.000564334085778781,0.017053933063312727,0.008809133574545753,0.016777282404529206,1.0162221030044187,0.9911908664254542,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4313.227989435196,True,,,1,465cd6e991d04bbeadd97a34776272fb,2022-09-24_19-04-35,1664039075,4313.227989435196,4183264,bigboi,192.168.0.26,4313.227989435196,0,1,0.005900859832763672,"9_HP_AUG_PER=0.1000,HP_COMB=A_ASUS-IPP2017-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IPP2017-SGS8,A@N",True,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/SavedAntispoofing/SIW_90_GenAugSpoofOnly/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_24_2022_16_51_57,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fa43929ca60>,<function get_siw_protocol_frame_dic at 0x7fa42c87e550>,True,<function get_siw_stratified_name_col at 0x7fa42c87e280>,<function process_siw_dataset_metrics_func at 0x7fa42c87e310>,<function get_siw_stratified_name_list_func at 0x7fa42c87e1f0>,3,0,1,,False,False,False,_GenAugSpoofOnly,False,0.1
