,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BeforeSplit,GenAugSpoofOnly,0.05,24.0,1353.2083333333333,336.86379380947153,900.0,1094.25,1313.0,1626.75,1772.0,24.0,9180.5,386.2917347650945,7851.0,9192.75,9343.5,9367.75,9382.0,24.0,201.5,386.2917347650945,0.0,14.25,38.5,189.25,1531.0,24.0,88.04166666666667,101.62141128661843,0.0,0.0,49.5,160.75,370.0,24.0,0.056345679628263146,0.06269009111223232,0.0,0.0,0.036331295737696154,0.1036269430051813,0.2130109383995394,24.0,0.021477296951609423,0.04117370867246797,0.0,0.001518865913451225,0.00410360264335955,0.0201716052014495,0.1631848219995736,24.0,0.038911488289936264,0.028905333921127072,0.0001598806224685,0.0118523391172664,0.0459898999333449,0.05601431304838472,0.1065054691997697,24.0,0.06872296303246078,0.048912077375822274,0.0003196590303676,0.02288408480242015,0.0816545676906269,0.09803008881061445,0.1756051257712387,24.0,0.9610885117100637,0.028905333921127055,0.8934945308002302,0.9439856869516153,0.9540101000666551,0.9881476608827334,0.9998401193775314,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,BeforeSplit,GenAugSpoofOnly,0.1,24.0,1350.875,334.4221898842188,900.0,1108.5,1365.0,1628.5,1772.0,24.0,9280.75,125.63897553670614,8946.0,9277.25,9312.5,9372.25,9380.0,24.0,101.25,125.63897553670614,2.0,9.75,69.5,104.75,436.0,24.0,90.375,98.6587498047866,0.0,0.0,50.5,164.5,263.0,24.0,0.05776939699831992,0.06099638607276017,0.0,0.0,0.0371553233850722,0.1102507374631268,0.1514104778353483,24.0,0.01079194201662754,0.013391491743413572,0.0002131741632914,0.001039224046045575,0.00740780217437645,0.0111649968023875,0.0464719675975271,24.0,0.03428066950747372,0.026897679744629324,0.0023073215941577,0.0059821999573651,0.03160793242372345,0.05670077060259113,0.0758651195401427,24.0,0.060824466580456815,0.04632318458535625,0.004036238874658,0.011822482616597074,0.05673838088787771,0.09937639094157595,0.1315365293569857,24.0,0.9657193304925262,0.02689767974462932,0.9241348804598573,0.9432992293974088,0.9683920675762765,0.994017800042635,0.997692678405842,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,BeforeSplit,GenAugSpoofOnly,0.2,24.0,1357.75,334.58413512636974,900.0,1115.25,1351.5,1636.75,1772.0,24.0,9308.666666666666,73.03463542056257,9090.0,9280.5,9333.5,9353.25,9379.0,24.0,73.33333333333333,73.03463542056257,3.0,28.75,48.5,101.5,292.0,24.0,83.5,96.09234688795348,0.0,0.0,37.5,151.25,316.0,24.0,0.053071454555242516,0.05856545330180908,0.0,0.0,0.027568302736104652,0.0979135142983783,0.181922855497985,24.0,0.007816385987351617,0.0077845486485357655,0.0003197612449371,0.0030643785973139747,0.00516947345981665,0.01081858878703895,0.0311234278405457,24.0,0.030443920271297057,0.02913240897514586,0.0009749830735864,0.002944468130462525,0.0204912878423441,0.05559638380530338,0.0911746019122839,24.0,0.05213805755568888,0.04828770244872225,0.001384494978471,0.005854357127831475,0.0373306863724895,0.0903853693955412,0.1539766342039579,24.0,0.969556079728703,0.029132408975145838,0.908825398087716,0.9444036161946966,0.979508712157656,0.9970555318695374,0.9990250169264134,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,BeforeSplit,GenAugSpoofOnly,0.3,24.0,1357.375,334.83737941301285,900.0,1132.5,1396.0,1612.75,1772.0,24.0,9242.583333333334,225.73241501478208,8248.0,9225.25,9297.5,9347.75,9374.0,24.0,139.41666666666666,225.73241501478208,8.0,34.25,84.5,156.75,1134.0,24.0,83.875,90.46032639878055,0.0,0.0,41.0,153.75,220.0,24.0,0.05358295255160603,0.05593490935531568,0.0,0.0,0.030149423680057453,0.10599599553701068,0.1266551525618883,24.0,0.014860015632771924,0.024060159349262637,0.0008526966531656,0.0036506075463653247,0.009006608399062,0.0167075250479641,0.1208697505862289,24.0,0.03422148409218897,0.02543742365237174,0.0030910253677254,0.008007354508633475,0.048159124765995695,0.05780158091594452,0.064489172973836,24.0,0.059691771500498945,0.043647571080064486,0.0061440677966101,0.01576203478552345,0.07444070437190456,0.09668689901615493,0.1125021107363414,24.0,0.9657785159078109,0.025437423652371755,0.935510827026164,0.9421984190840555,0.9518408752340043,0.9919926454913665,0.9969089746322746,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,GenAugSpoofOnly,0.05,12.0,3036.4166666666665,1082.6095962436264,2101.0,2134.75,2291.5,4114.0,4708.0,12.0,9296.5,115.30631142546125,8979.0,9297.75,9336.5,9361.75,9377.0,12.0,85.5,115.30631142546125,5.0,20.25,45.5,84.25,403.0,12.0,946.5833333333334,1065.8703194473462,17.0,66.75,578.5,1595.0,3366.0,12.0,0.17329999544216212,0.17689810016086516,0.007723761926397,0.030327124034529675,0.1143908410314163,0.27666955767562873,0.583868169991327,12.0,0.009113195480707709,0.012290163230170669,0.0005329354082285,0.0021583884033255,0.004849712214879551,0.008979961628650574,0.0429545939032189,12.0,0.0912065954614349,0.08536502917199573,0.0176718572622219,0.020831654542406226,0.0638837598889761,0.13940064965427143,0.2922005526997777,12.0,0.1347020047085895,0.11538144179690188,0.0290670890990193,0.03187427283057395,0.09998108983691564,0.21703952481096692,0.3687584014042346,12.0,0.9087934045385652,0.08536502917199575,0.7077994473002222,0.8605993503457285,0.9361162401110238,0.9791683454575938,0.982328142737778,12.0,6.583333333333333,3.2039275140289174,4.0,4.0,4.0,10.0,11.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.4166666666666665,3.058767824804721,0.0,0.0,1.5,4.0,10.0,12.0,0.1726190476190476,0.2184834160574801,0.0,0.0,0.1071428571428571,0.2857142857142857,0.7142857142857143,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.08630952380952378,0.10924170802874003,0.0,0.0,0.05357142857142855,0.1428571428571428,0.3571428571428571,12.0,0.12350217864923747,0.14118021566502562,0.0,0.0,0.08823529411764705,0.2222222222222222,0.4166666666666666,12.0,0.9136904761904763,0.10924170802874006,0.6428571428571428,0.8571428571428572,0.9464285714285714,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,GenAugSpoofOnly,0.1,12.0,2788.6666666666665,786.0724386390092,1913.0,2137.5,2549.0,3418.0,4135.0,12.0,9331.083333333334,65.85170437959043,9158.0,9323.0,9360.5,9369.75,9376.0,12.0,50.916666666666664,65.85170437959043,6.0,12.25,21.5,59.0,224.0,12.0,1194.3333333333333,1171.401672692966,25.0,64.5,959.0,2237.0,2843.0,12.0,0.22252438804459426,0.18997424991356537,0.0113584734211721,0.02930486142662425,0.20679514515400038,0.38803122289679093,0.4931483087597572,12.0,0.005427058907127084,0.00701894099121621,0.0006395224898742,0.001305691750159825,0.0022916222553825997,0.00628863781709655,0.0238755062886378,12.0,0.11397572347586067,0.09320065720851567,0.0088316186582502,0.023671690577653497,0.10739458813871405,0.19510812903526392,0.2471070897881071,12.0,0.16409630105705528,0.12890029615702486,0.0113372475637727,0.0286848170122542,0.1689761150709378,0.2798945547601907,0.3305100952997726,12.0,0.8860242765241392,0.0932006572085156,0.752892910211893,0.8048918709647361,0.8926054118612858,0.9763283094223463,0.9911683813417496,12.0,6.5,2.7468990781342053,4.0,4.0,5.5,9.25,10.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.5,2.7468990781342053,0.0,0.0,2.0,4.25,7.0,12.0,0.17857142857142858,0.19620707700958606,0.0,0.0,0.14285714285714285,0.30357142857142855,0.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.08928571428571426,0.098103538504793,0.0,0.0,0.0714285714285714,0.15178571428571422,0.25,12.0,0.13026315789473683,0.13976911258639643,0.0,0.0,0.1111111111111111,0.23245614035087714,0.3333333333333333,12.0,0.9107142857142857,0.09810353850479303,0.75,0.8482142857142858,0.9285714285714286,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,GenAugSpoofOnly,0.2,12.0,2853.5,791.3002533230297,2069.0,2127.75,2685.0,3542.25,4005.0,12.0,9186.416666666666,421.2413383697226,7932.0,9314.5,9344.5,9363.0,9371.0,12.0,195.58333333333334,421.2413383697226,11.0,19.0,37.5,67.5,1450.0,12.0,1129.5,1130.2194879354588,0.0,73.75,946.0,2136.25,2596.0,12.0,0.20589486053213213,0.1862599869588373,0.0,0.0335074965924579,0.18263164303224144,0.3705550737207285,0.4503035559410234,12.0,0.020846656718538997,0.04489888492535949,0.0011724578981027,0.0020251545512682996,0.003997015561713901,0.007194628011084975,0.1545512683862716,12.0,0.11337075862533556,0.08571606419225489,0.0169370553161287,0.026728980722411425,0.1250541558965999,0.1862368205951756,0.2260044746236773,12.0,0.16577606275325493,0.11874362882258001,0.0283883858043888,0.048932792954942295,0.18637399346642453,0.2706814676673977,0.310854705988317,12.0,0.8866292413746644,0.08571606419225487,0.7739955253763228,0.8137631794048243,0.8749458441034,0.9732710192775885,0.9830629446838712,12.0,6.583333333333333,2.7784342658585555,4.0,4.0,6.0,9.25,10.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.4166666666666665,2.6097137890209456,0.0,0.0,2.0,4.25,6.0,12.0,0.1726190476190476,0.1864081277872104,0.0,0.0,0.14285714285714285,0.30357142857142855,0.4285714285714285,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.08630952380952377,0.09320406389360515,0.0,0.0,0.0714285714285714,0.15178571428571422,0.2142857142857142,12.0,0.12748538011695906,0.13563653302038453,0.0,0.0,0.1111111111111111,0.23245614035087714,0.3,12.0,0.9136904761904763,0.0932040638936052,0.7857142857142857,0.8482142857142858,0.9285714285714286,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,GenAugSpoofOnly,0.3,12.0,2722.0,699.1882306061665,1897.0,2156.25,2383.5,3376.25,3911.0,12.0,9295.083333333334,105.49490149966604,9074.0,9275.25,9344.0,9360.5,9376.0,12.0,86.91666666666667,105.49490149966604,6.0,21.5,38.0,106.75,308.0,12.0,1261.0,1260.365098619516,32.0,48.25,1079.0,2388.25,3167.0,12.0,0.23097535496953403,0.20839920227798742,0.0145388459791004,0.02192185370286225,0.22985743687427412,0.4142671292281006,0.5493495229835212,12.0,0.009264193846372443,0.011244393679350477,0.0006395224898742,0.002291622255382625,0.0040503091025367,0.0113781709656789,0.032828821146877,12.0,0.12011977440795323,0.10044405920181193,0.0115522769199209,0.02404880109630205,0.1170071665292283,0.20815946527489013,0.2749945227366977,12.0,0.16800149979398385,0.13841061289895737,0.0144872658575833,0.02887845712482535,0.1828843233433691,0.29334559281102257,0.3547142607773034,12.0,0.8798802255920467,0.10044405920181189,0.7250054772633023,0.7918405347251098,0.8829928334707715,0.975951198903698,0.9884477230800788,12.0,6.166666666666667,2.587850400809463,4.0,4.0,4.5,8.25,10.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.8333333333333335,3.214550253664318,0.0,0.0,2.0,5.25,9.0,12.0,0.20238095238095236,0.22961073240459418,0.0,0.0,0.14285714285714285,0.37499999999999994,0.6428571428571429,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.10119047619047616,0.11480536620229706,0.0,0.0,0.0714285714285714,0.18749999999999992,0.3214285714285714,12.0,0.14157555725061444,0.15392233618963563,0.0,0.0,0.1111111111111111,0.2723684210526315,0.3913043478260869,12.0,0.8988095238095237,0.11480536620229706,0.6785714285714286,0.8125,0.9285714285714286,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
