protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
2,LOO_ASUS,BeforeSplit,GenAugSpoofOnly,0.05,1216.0,9361.166666666666,20.833333333333332,140.0,0.10324483775811205,0.00222056420095215,0.05273270097953207,0.09336578269924002,0.9472672990204679,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,BeforeSplit,GenAugSpoofOnly,0.1,1214.0,9349.5,32.5,142.0,0.10471976401179935,0.0034640801534853503,0.05409192208264235,0.0948389251868453,0.9459080779173576,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,BeforeSplit,GenAugSpoofOnly,0.2,1232.3333333333333,9316.666666666666,65.33333333333333,123.66666666666667,0.09119960668633231,0.0069636893341859666,0.04908164801025913,0.08372506215420368,0.950918351989741,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,BeforeSplit,GenAugSpoofOnly,0.3,1225.0,9294.333333333334,87.66666666666667,131.0,0.09660766961651913,0.009344134157606716,0.052975901887062894,0.0885310451095565,0.9470240981129371,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,BeforeSplit,GenAugSpoofOnly,0.05,1771.3333333333333,9000.5,381.5,0.6666666666666666,0.0003762227238524833,0.040662971647836235,0.020519597185844337,0.037495989901324765,0.9794804028141556,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,BeforeSplit,GenAugSpoofOnly,0.1,1771.1666666666667,9173.0,209.0,0.8333333333333334,0.0004702784048155833,0.0222767000639522,0.0113734892343839,0.02157913313835867,0.988626510765616,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,BeforeSplit,GenAugSpoofOnly,0.2,1771.6666666666667,9303.666666666666,78.33333333333333,0.3333333333333333,0.00018811136192623334,0.008349321395580133,0.004268716378753183,0.008229009608179334,0.9957312836212467,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,BeforeSplit,GenAugSpoofOnly,0.3,1771.3333333333333,9237.833333333334,144.16666666666666,0.6666666666666666,0.0003762227238524667,0.015366304270589016,0.007871263497220733,0.015118362423807583,0.9921287365027792,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.05,1525.5,9359.166666666666,22.833333333333332,211.5,0.12176165803108806,0.00243373836424355,0.0620976981976658,0.10757348987861859,0.9379023018023341,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.1,1518.3333333333333,9365.0,17.0,218.66666666666666,0.1258875455766647,0.0018119803879769502,0.06384976298232083,0.1116429682821175,0.9361502370176792,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.2,1527.0,9315.166666666666,66.83333333333333,210.0,0.12089810017271152,0.0071235699566545505,0.06401083506468304,0.10786564561573549,0.935989164935317,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.3,1533.1666666666667,9359.5,22.5,203.83333333333334,0.11734791786605253,0.0023982093370283,0.05987306360154041,0.10517768998572874,0.9401269363984595,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_SGS8,BeforeSplit,GenAugSpoofOnly,0.05,900.0,9001.166666666666,380.8333333333333,0.0,0.0,0.040591913593405755,0.020295956796702833,0.03645658965065975,0.9797040432032972,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_SGS8,BeforeSplit,GenAugSpoofOnly,0.1,900.0,9235.5,146.5,0.0,0.0,0.015615007461095667,0.0078075037305478,0.015236839714505783,0.9921924962694523,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_SGS8,BeforeSplit,GenAugSpoofOnly,0.2,900.0,9299.166666666666,82.83333333333333,0.0,0.0,0.008828963262985818,0.004414481631492867,0.00873251284463705,0.9955855183685071,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_SGS8,BeforeSplit,GenAugSpoofOnly,0.3,900.0,9078.666666666666,303.3333333333333,0.0,0.0,0.03233141476586367,0.016165707382931802,0.02993998848290295,0.9838342926170682,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,UnKnown_P,BeforeSplit,GenAugSpoofOnly,0.05,2136.1666666666665,9236.166666666666,145.83333333333334,64.83333333333333,0.029456307738906482,0.015543949406665217,0.02250012857278585,0.03442747541869883,0.9774998714272142,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,UnKnown_P,BeforeSplit,GenAugSpoofOnly,0.1,2091.6666666666665,9295.5,86.5,109.33333333333333,0.049674390428593035,0.009219782562353417,0.029447086495473198,0.04623630700434611,0.9705529135045267,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,UnKnown_P,BeforeSplit,GenAugSpoofOnly,0.2,2130.0,9009.833333333334,372.1666666666667,71.0,0.03225806451612898,0.039668158885809664,0.0359631117009693,0.05718529582471967,0.9640368882990306,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,UnKnown_P,BeforeSplit,GenAugSpoofOnly,0.3,2113.8333333333335,9228.666666666666,153.33333333333334,87.16666666666667,0.039603210661820334,0.016343352519007984,0.027973281590414133,0.040124621729597,0.9720267184095858,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,UnKnown_R,BeforeSplit,GenAugSpoofOnly,0.05,3936.6666666666665,9356.833333333334,25.166666666666668,1828.3333333333333,0.3171436831454177,0.0026824415547502,0.15991306235008393,0.23497653399848017,0.8400869376499159,9.166666666666666,8.0,0.0,4.833333333333333,0.3452380952380952,0.0,0.17261904761904756,0.24700435729847492,0.8273809523809524,1.5,1.0
3,UnKnown_R,BeforeSplit,GenAugSpoofOnly,0.1,3485.6666666666665,9366.666666666666,15.333333333333334,2279.3333333333335,0.3953743856605955,0.00163433525190075,0.19850436045624817,0.28195629510976444,0.8014956395437518,9.0,8.0,0.0,5.0,0.35714285714285715,0.0,0.17857142857142852,0.26052631578947366,0.8214285714285715,1.5,1.0
3,UnKnown_R,BeforeSplit,GenAugSpoofOnly,0.2,3577.0,9363.0,19.0,2188.0,0.37953165654813525,0.0020251545512683334,0.19077840554970182,0.2743668296817902,0.8092215944502982,9.166666666666666,8.0,0.0,4.833333333333333,0.3452380952380952,0.0,0.17261904761904753,0.2549707602339181,0.8273809523809524,1.5,1.0
