,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AfterSplit,TradAugSpoofOnly,0.05,24.0,1364.0833333333333,338.1712862449733,900.0,1121.25,1386.5,1630.75,1772.0,24.0,9212.125,174.79934148219408,8807.0,9156.25,9287.5,9355.0,9377.0,24.0,169.875,174.79934148219408,5.0,27.0,94.5,225.75,575.0,24.0,77.16666666666667,81.7550246649771,0.0,0.0,53.5,154.5,214.0,24.0,0.049640050963236974,0.05139520165728945,0.0,0.0,0.039367712765603205,0.09557980650190286,0.1232009211283822,24.0,0.018106480494564012,0.018631351682178013,0.0005329354082285,0.002877851204434,0.010072479215519,0.024062033681517752,0.0612875719462801,24.0,0.0338732657289005,0.020247301171405677,0.0042101897250053,0.013816350458324425,0.037583343866275,0.05020364910462075,0.0638957326808569,24.0,0.06005378137671468,0.03413060306412121,0.0079350759134203,0.026880824565050074,0.0655024572981328,0.08765543281575915,0.1098228222855192,24.0,0.9661267342710995,0.02024730117140567,0.9361042673191432,0.9497963508953792,0.9624166561337251,0.9861836495416756,0.9957898102749948,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,AfterSplit,TradAugSpoofOnly,0.1,24.0,1371.9583333333333,335.80150440746814,900.0,1160.25,1393.0,1642.0,1772.0,24.0,9137.666666666666,249.81813675006737,8395.0,9029.75,9199.0,9343.5,9378.0,24.0,244.33333333333334,249.8181367500674,4.0,38.5,183.0,352.25,987.0,24.0,69.29166666666667,76.5395488373944,0.0,0.0,45.5,116.25,217.0,24.0,0.04396058716728459,0.04635735163449511,0.0,0.0,0.03346800775085395,0.07968136243446892,0.1249280368451352,24.0,0.0260427769487671,0.026627386138357214,0.0004263483265828,0.00410360264335955,0.01950543594116385,0.03754529950969938,0.1052014495843103,24.0,0.03500168205802583,0.015837471206596752,0.0081539117458963,0.0197225349391491,0.03764088202539345,0.0451946484448779,0.062677192585859,24.0,0.06232919998181213,0.02593050395603413,0.01604614577871,0.03782035001449813,0.06606557803504515,0.07740262725243639,0.1110963532742389,24.0,0.9649983179419742,0.015837471206596763,0.937322807414141,0.9548053515551221,0.9623591179746065,0.980277465060851,0.9918460882541036,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,AfterSplit,TradAugSpoofOnly,0.2,24.0,1379.25,337.9238723118875,900.0,1158.0,1422.5,1687.75,1772.0,24.0,9063.708333333334,307.9073094810905,8267.0,8980.5,9129.5,9309.75,9381.0,24.0,318.2916666666667,307.9073094810905,1.0,72.25,252.5,401.5,1115.0,24.0,62.0,70.78442471765025,0.0,0.0,31.5,108.25,186.0,24.0,0.03931068856500237,0.042885334120224564,0.0,0.0,0.0224468187412198,0.07983038348082588,0.1070811744386874,24.0,0.033925779862147336,0.032818941534970204,0.0001065870816457,0.007700916648902101,0.026913238115540347,0.04279471328075035,0.1188445960349605,24.0,0.03661823421357483,0.01949614521633353,0.0003354605837122,0.019629271242709072,0.04194826564896435,0.05027180166040207,0.0815869497158107,24.0,0.06089989813933446,0.02932875285375763,0.0005640758817339,0.037649046497069474,0.05958432247082875,0.08764619776506465,0.1106029824323455,24.0,0.9633817657864251,0.01949614521633352,0.9184130502841892,0.9497281983395979,0.9580517343510355,0.9803707287572909,0.9996645394162876,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,AfterSplit,TradAugSpoofOnly,0.3,24.0,1375.8333333333333,333.9895424901109,900.0,1169.25,1396.5,1641.0,1771.0,24.0,9053.416666666666,320.3932253350244,8275.0,8859.75,9170.5,9335.0,9375.0,24.0,328.5833333333333,320.39322533502445,7.0,47.0,211.5,522.25,1107.0,24.0,65.41666666666667,76.20391218227616,0.0,0.75,34.0,107.5,234.0,24.0,0.041007137388666216,0.045133609023623046,0.0,0.000423250564334025,0.02490061727161945,0.07365619953026528,0.1347150259067357,24.0,0.0350227385774177,0.03414977886751486,0.0007461095715199,0.0050095928373481,0.022543167768066502,0.055665103389469124,0.1179918993817949,24.0,0.03801493798304196,0.015684352197674382,0.010445534001279,0.028044176976901574,0.03610908574694905,0.04963836942260237,0.0682635031473563,24.0,0.06578070515850097,0.02612863243615091,0.0204635623303403,0.04981122057417657,0.06253436932789885,0.0873780069111854,0.118911345891077,24.0,0.961985062016958,0.01568435219767435,0.9317364968526436,0.9503616305773976,0.9638909142530507,0.9719558230230982,0.9895544659987208,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,TradAugSpoofOnly,0.05,12.0,3083.8333333333335,1070.3805468857863,1685.0,2168.0,2947.0,4029.75,4422.0,12.0,9292.333333333334,114.76326093574573,9007.0,9255.75,9351.5,9367.0,9382.0,12.0,89.66666666666667,114.76326093574572,0.0,15.0,30.5,126.25,375.0,12.0,899.1666666666666,856.4966521542948,8.0,39.0,929.5,1615.75,2064.0,12.0,0.17200340878984935,0.1440548325293594,0.0036347114947751,0.01771921853702855,0.2336981967906254,0.2802688638334778,0.3580225498699046,12.0,0.009557308320898135,0.01223228106328563,0.0,0.0015988062246855,0.0032509059901939504,0.01345661905777015,0.0399701556171392,12.0,0.09078035855537374,0.06722470930084942,0.0120911445941656,0.020668995440242373,0.11778173535971255,0.14093383502908166,0.1790112749349523,12.0,0.13936479738705687,0.10291825262905462,0.0135883425480859,0.0326390298549242,0.18971540003191795,0.21903631919873112,0.2636352024524204,12.0,0.9092196414446262,0.06722470930084942,0.8209887250650477,0.8590661649709181,0.8822182646402874,0.9793310045597575,0.9879088554058344,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,TradAugSpoofOnly,0.1,12.0,3156.0,1057.747950729628,2038.0,2163.75,3091.0,4140.5,4410.0,12.0,9303.416666666666,81.62604122497063,9150.0,9250.0,9349.5,9366.0,9375.0,12.0,78.58333333333333,81.62604122497065,7.0,16.0,32.5,132.0,232.0,12.0,827.0,815.6167772138624,7.0,43.75,759.0,1605.5,1777.0,12.0,0.15084832921092,0.13479795936062708,0.0031803725579282,0.019877328487051298,0.1545481376635157,0.27849089332176924,0.3082393755420641,12.0,0.008375968165991557,0.008700281520461591,0.0007461095715199,0.0017053933063312,0.00346408015348535,0.014069494777232926,0.0247282029418034,12.0,0.07961214868845579,0.06399981178725338,0.0098533727862114,0.017885055638843975,0.0785531138115063,0.14044455132939876,0.1549723844241977,12.0,0.12293878884817151,0.10027889624114772,0.014567547602871,0.023849072278731873,0.1299918161231464,0.21823303682991652,0.2359214377376016,12.0,0.9203878513115442,0.06399981178725338,0.8450276155758023,0.8595554486706011,0.9214468861884938,0.9821149443611559,0.9901466272137884,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,TradAugSpoofOnly,0.2,12.0,3150.0,1047.412482783602,2133.0,2158.25,3019.0,4148.0,4487.0,12.0,9304.166666666666,64.24927779337054,9168.0,9261.5,9313.5,9359.5,9368.0,12.0,77.83333333333333,64.24927779337054,14.0,22.5,68.5,120.5,214.0,12.0,833.0,841.2044395335233,9.0,46.25,673.0,1597.0,1919.0,12.0,0.15041448084191011,0.13998587182999475,0.0040890504316219,0.02101317582916855,0.1262888074607733,0.27701647875108404,0.3328707718993929,12.0,0.008296027854757292,0.006848143017839537,0.0014922191430398,0.002398209337028325,0.0073012150927307,0.012843743338307375,0.0228096354721807,12.0,0.0793552543483337,0.06702373704726079,0.0130477406492717,0.016315583864275125,0.06767866467318985,0.13965405050323335,0.1671814955212164,12.0,0.12097100275643229,0.10439393913355066,0.014247479708981,0.02219391328136683,0.10627213337794475,0.21731010931877054,0.2500196290606147,12.0,0.9206447456516663,0.06702373704726083,0.8328185044787837,0.8603459494967665,0.9323213353268103,0.983684416135725,0.9869522593507282,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,TradAugSpoofOnly,0.3,12.0,3189.0,1062.6635489099162,2169.0,2177.25,3084.5,4149.75,4471.0,12.0,9273.416666666666,185.58627414632568,8704.0,9278.75,9336.5,9360.25,9369.0,12.0,108.58333333333333,185.58627414632565,13.0,21.75,45.5,103.25,678.0,12.0,794.0,816.8413665956311,3.0,25.25,663.0,1603.75,1794.0,12.0,0.14079392281281905,0.13856302538492496,0.0013630168105406,0.01147205815538385,0.1194983908993507,0.27818733738074586,0.3111882046834345,12.0,0.011573580615362691,0.019781099354756516,0.0013856320613941,0.00231826902579405,0.0048497122148795,0.011005116179918924,0.0722660413557876,12.0,0.07618375171409085,0.06482632009057239,0.0082093360598189,0.012142283148558149,0.0754543854608822,0.1401195693512128,0.1563402119132372,12.0,0.11807541805439771,0.10178907760773008,0.010403179741969,0.014360032958719375,0.12567684596823195,0.21799071353133392,0.2376033889689722,12.0,0.9238162482859091,0.06482632009057242,0.8436597880867627,0.8598804306487872,0.9245456145391179,0.9878577168514417,0.991790663940181,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
