protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,config/HP_REPEAT,fold_number
2,LOO_ASUS,AfterSplit,TradAugSpoofOnly,0.05,1227.0,9335.166666666666,46.833333333333336,129.0,0.09513274336283183,0.004991828323740433,0.05006228584328617,0.08714871059845453,0.9499377141567137,1.5,1.0
2,LOO_ASUS,AfterSplit,TradAugSpoofOnly,0.1,1255.3333333333333,9340.833333333334,41.166666666666664,100.66666666666667,0.0742379547689282,0.00438783486108145,0.0393128948150048,0.06937011282857007,0.9606871051849951,1.5,1.0
2,LOO_ASUS,AfterSplit,TradAugSpoofOnly,0.2,1266.5,9228.0,154.0,89.5,0.0660029498525073,0.01641441057343845,0.04120868021297288,0.06264767325032371,0.9587913197870271,1.5,1.0
2,LOO_ASUS,AfterSplit,TradAugSpoofOnly,0.3,1273.1666666666667,9288.333333333334,93.66666666666667,82.83333333333333,0.06108652900688297,0.00998365664748095,0.035535092827181966,0.05801452556146919,0.9644649071728179,1.5,1.0
2,LOO_IP7P,AfterSplit,TradAugSpoofOnly,0.05,1771.3333333333333,9211.5,170.5,0.6666666666666666,0.0003762227238524667,0.018173097420592584,0.009274660072222534,0.01778018031584325,0.9907253399277774,1.5,1.0
2,LOO_IP7P,AfterSplit,TradAugSpoofOnly,0.1,1771.3333333333333,9010.5,371.5,0.6666666666666666,0.0003762227238524667,0.03959710083137922,0.019986661777615832,0.03802460873548615,0.9800133382223842,1.5,1.0
2,LOO_IP7P,AfterSplit,TradAugSpoofOnly,0.2,1771.1666666666667,9120.833333333334,261.1666666666667,0.8333333333333334,0.0004702784048155833,0.02783699282313648,0.014153635613976015,0.02694434432631743,0.9858463643860239,1.5,1.0
2,LOO_IP7P,AfterSplit,TradAugSpoofOnly,0.3,1770.8333333333333,8921.5,460.5,1.1666666666666667,0.0006583897667418333,0.0490833510978469,0.024870870432294384,0.04646999878142107,0.9751291295677055,1.5,1.0
2,LOO_IPP2017,AfterSplit,TradAugSpoofOnly,0.05,1558.0,9328.333333333334,53.666666666666664,179.0,0.10305123776626361,0.005720173381652767,0.0543857055739582,0.09375433732245253,0.9456142944260417,1.5,1.0
2,LOO_IPP2017,AfterSplit,TradAugSpoofOnly,0.1,1561.1666666666667,9313.833333333334,68.16666666666667,175.83333333333334,0.10122817117635767,0.007265686065515483,0.05424692862093659,0.09236456668710573,0.9457530713790634,1.5,1.0
2,LOO_IPP2017,AfterSplit,TradAugSpoofOnly,0.2,1579.3333333333333,9120.0,262.0,157.66666666666666,0.0907695260026866,0.027925815391174547,0.05934767069693053,0.09488507622184382,0.9406523293030693,1.5,1.0
2,LOO_IPP2017,AfterSplit,TradAugSpoofOnly,0.3,1559.3333333333333,9287.0,95.0,177.66666666666666,0.10228363078104007,0.010125772756341881,0.05620470176869097,0.09336856483164853,0.943795298231309,1.5,1.0
2,LOO_SGS8,AfterSplit,TradAugSpoofOnly,0.05,900.0,8973.5,408.5,0.0,0.0,0.04354082285227027,0.021770411426135117,0.04153189727010841,0.9782295885738649,1.5,1.0
2,LOO_SGS8,AfterSplit,TradAugSpoofOnly,0.1,900.0,8885.5,496.5,0.0,0.0,0.05292048603709224,0.0264602430185461,0.04955751167608663,0.9735397569814538,1.5,1.0
2,LOO_SGS8,AfterSplit,TradAugSpoofOnly,0.2,900.0,8786.0,596.0,0.0,0.0,0.06352590066083985,0.03176295033041992,0.059122498758852886,0.9682370496695801,1.5,1.0
2,LOO_SGS8,AfterSplit,TradAugSpoofOnly,0.3,900.0,8716.833333333334,665.1666666666666,0.0,0.0,0.07089817380800108,0.03544908690400052,0.06526973145946509,0.9645509130959994,1.5,1.0
3,UnKnown_P,AfterSplit,TradAugSpoofOnly,0.05,2086.8333333333335,9220.5,161.5,114.16666666666667,0.05187036195668632,0.01721381368578125,0.03454208782123377,0.05343676967110248,0.9654579121787662,1.5,1.0
3,UnKnown_P,AfterSplit,TradAugSpoofOnly,0.1,2148.3333333333335,9246.5,135.5,52.666666666666664,0.023928517340602713,0.014442549562992917,0.019185533451797816,0.028364241834368486,0.9808144665482023,1.5,1.0
3,UnKnown_P,AfterSplit,TradAugSpoofOnly,0.2,2158.8333333333335,9251.833333333334,130.16666666666666,42.166666666666664,0.019157958503710385,0.013874085127549167,0.01651602181562978,0.022384975001729066,0.9834839781843702,1.5,1.0
3,UnKnown_P,AfterSplit,TradAugSpoofOnly,0.3,2179.1666666666665,9186.0,196.0,21.833333333333332,0.00991973345449035,0.02089106800255802,0.015405400728524183,0.022602221142657797,0.9845945992714759,1.5,1.0
3,UnKnown_R,AfterSplit,TradAugSpoofOnly,0.05,4080.8333333333335,9364.166666666666,17.833333333333332,1684.1666666666667,0.29213645562301244,0.0019008029560150165,0.1470186292895137,0.22529282510301127,0.8529813707104862,1.5,1.0
3,UnKnown_R,AfterSplit,TradAugSpoofOnly,0.1,4163.666666666667,9360.333333333334,21.666666666666668,1601.3333333333333,0.2777681410812373,0.0023093867689902,0.14003876392511375,0.21751333586197452,0.8599612360748862,1.5,1.0
3,UnKnown_R,AfterSplit,TradAugSpoofOnly,0.2,4141.166666666667,9356.5,25.5,1623.8333333333333,0.2816710031801098,0.002717970581965417,0.1421944868810376,0.21955703051113548,0.8578055131189624,1.5,1.0
3,UnKnown_R,AfterSplit,TradAugSpoofOnly,0.3,4198.833333333333,9360.833333333334,21.166666666666668,1566.1666666666667,0.27166811217114767,0.0022560932281673668,0.13696210269965753,0.21354861496613764,0.8630378973003424,1.5,1.0
