,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BeforeSplit,TradAugSpoofOnly,0.05,24.0,1355.5833333333333,330.7456551578525,900.0,1142.25,1331.0,1623.0,1772.0,24.0,9119.875,376.2260320258462,7838.0,9101.5,9288.0,9342.0,9379.0,24.0,262.125,376.2260320258462,3.0,40.0,94.0,280.5,1544.0,24.0,85.66666666666667,106.33076640398097,0.0,0.0,25.0,140.5,383.0,24.0,0.053650143224393765,0.06296138488787398,0.0,0.0,0.018263449130026498,0.09497608021153345,0.2204951065054692,24.0,0.027939138776380268,0.040100834792778324,0.0003197612449371,0.0042634832658281,0.0100191856746962,0.029897676401620076,0.1645704540609678,24.0,0.040794641000387016,0.028052338146830533,0.0036020659126813,0.012002821189223075,0.043685454290491546,0.057070932786738304,0.110460727416026,24.0,0.07031709109490043,0.046066455057578684,0.0060455575171914,0.0230439496665467,0.07857489149763665,0.08944111695961147,0.1807235084308351,24.0,0.9592053589996129,0.02805233814683053,0.8895392725839739,0.9429290672132615,0.9563145457095084,0.9879971788107769,0.9963979340873184,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,BeforeSplit,TradAugSpoofOnly,0.1,24.0,1366.3333333333333,336.0421384894753,900.0,1134.75,1388.0,1626.25,1772.0,24.0,9192.75,195.46293988775778,8714.0,9063.5,9298.0,9346.25,9364.0,24.0,189.25,195.46293988775778,18.0,35.75,84.0,318.5,668.0,24.0,74.91666666666667,81.31736894878992,0.0,0.0,46.5,147.0,225.0,24.0,0.04778482768188072,0.05000600204620943,0.0,0.0,0.034205470877697604,0.09538525124693673,0.1295336787564766,24.0,0.020171605201449536,0.020833824332525883,0.0019185674696226,0.003810488168833875,0.00895331485823915,0.03394798550415685,0.0712001705393306,24.0,0.033978216441665134,0.018498296242670544,0.0048497122148795,0.017416040417436326,0.0364404410881566,0.04909094463526463,0.0688171484807751,24.0,0.0607877315868502,0.03119695159633259,0.0096062493402301,0.03315039360538525,0.06520281861943725,0.08732103105521558,0.115507276638327,24.0,0.9660217835583348,0.01849829624267054,0.9311828515192248,0.9509090553647354,0.9635595589118434,0.9825839595825636,0.9951502877851204,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,BeforeSplit,TradAugSpoofOnly,0.2,24.0,1381.6666666666667,340.25088782641944,900.0,1164.75,1418.0,1684.75,1772.0,24.0,8936.958333333334,530.7722412687473,7028.0,8867.5,8992.5,9328.75,9378.0,24.0,445.0416666666667,530.7722412687473,4.0,53.25,389.5,514.5,2354.0,24.0,59.583333333333336,65.31190494493505,0.0,0.0,39.5,103.0,179.0,24.0,0.03808837250225502,0.0402320036917745,0.0,0.0,0.02359822921905515,0.0759587020648967,0.1030512377662636,24.0,0.047435692460740385,0.05657346421538557,0.0004263483265828,0.005675762097633725,0.041515668301001854,0.054839053506714946,0.2509059901939885,24.0,0.04276203248149769,0.026471701271004996,0.0095552431460656,0.027179705819654648,0.03963793563146395,0.048096375045272276,0.14876905727316,24.0,0.07247670971311261,0.03593994549021883,0.0182185495617132,0.051556784502867076,0.069925797070923,0.08273330273231935,0.2083462884238814,24.0,0.9572379675185022,0.026471701271005003,0.8512309427268399,0.9519036249547277,0.960362064368536,0.9728202941803452,0.9904447568539344,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,BeforeSplit,TradAugSpoofOnly,0.3,24.0,1379.375,338.2171687848941,900.0,1161.75,1411.5,1646.25,1772.0,24.0,8996.291666666666,382.82422793333444,8123.0,8757.75,9165.0,9309.75,9356.0,24.0,385.7083333333333,382.8242279333345,26.0,72.25,217.0,624.25,1259.0,24.0,61.875,67.58975514084956,0.0,0.0,40.0,113.25,192.0,24.0,0.03935330391408524,0.041218400928827954,0.0,0.0,0.0293253960326814,0.07628094415659176,0.1105354058721934,24.0,0.04111152561642857,0.04080411723868413,0.0027712641227883,0.0077009166489021,0.0231293967171178,0.06653698571733097,0.134193135791942,24.0,0.04023241476525689,0.015697343391806624,0.007194628011085,0.031345562864683374,0.0420158206646885,0.04857929452974473,0.0676609019817497,24.0,0.06911014236241987,0.02504351418327655,0.0141851423767994,0.05823155207287635,0.07164067377295695,0.08441412546790303,0.1184338046305246,24.0,0.959767585234743,0.01569734339180662,0.9323390980182502,0.9514207054702551,0.9579841793353114,0.9686544371353164,0.9928053719889148,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,TradAugSpoofOnly,0.05,12.0,3109.0,1009.5793003208631,2094.0,2166.25,2998.5,4078.5,4249.0,12.0,9223.25,296.3631448685272,8345.0,9268.25,9347.5,9366.25,9372.0,12.0,158.75,296.3631448685272,10.0,15.75,34.5,113.75,1037.0,12.0,874.0,867.3375142563382,1.0,66.25,811.5,1617.5,1968.0,12.0,0.15886053528456076,0.143626390301896,0.0004543389368468,0.0300999545661063,0.15579022071888,0.2805724197745012,0.3413703382480486,12.0,0.01692069921125554,0.03158848271887948,0.001065870816457,0.001678746535919775,0.0036772543167767997,0.0121242805371988,0.1105308036665956,12.0,0.08789061724790816,0.06441766162050905,0.0089527579516335,0.025057831118991923,0.0943012278671212,0.1410989363847991,0.1712181045322528,12.0,0.1364310942557823,0.09770578220157365,0.009267139237355,0.041762332750824346,0.15412623716652274,0.21932704006002238,0.2546961131169085,12.0,0.9121093827520919,0.06441766162050905,0.8287818954677472,0.8589010636152008,0.9056987721328789,0.9749421688810079,0.9910472420483664,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,TradAugSpoofOnly,0.1,12.0,3099.6666666666665,1005.659741240304,2030.0,2179.5,2939.5,4055.0,4460.0,12.0,9299.25,138.10346911579802,8878.0,9320.75,9344.0,9364.0,9368.0,12.0,82.75,138.10346911579802,14.0,18.0,38.0,61.25,504.0,12.0,883.3333333333334,887.2110882712835,9.0,38.5,738.0,1708.0,2078.0,12.0,0.16024543497075297,0.14775029679394067,0.0040890504316219,0.01749204906860515,0.15202897996771159,0.29627059843885517,0.3604509973980919,12.0,0.008820081006182,0.014720045738200589,0.0014922191430398,0.0019185674696226,0.00405030910253675,0.00652845875079935,0.053719889149435,12.0,0.08453275798846747,0.07042011281757844,0.0070568057328643,0.013698546551242,0.07806629130553555,0.14920273926026525,0.1810249018113887,12.0,0.1303933576102351,0.10589446809978444,0.008188365502677,0.021353249915179225,0.1288227200569884,0.22887858555109616,0.2652613726050919,12.0,0.9154672420115325,0.07042011281757844,0.8189750981886114,0.8507972607397346,0.9219337086944643,0.986301453448758,0.9929431942671356,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,TradAugSpoofOnly,0.2,12.0,3124.25,987.7428930279746,2152.0,2183.75,3027.5,4038.25,4255.0,12.0,9212.333333333334,193.44876386894865,8825.0,9096.0,9300.0,9363.0,9369.0,12.0,169.66666666666666,193.44876386894865,13.0,19.0,82.0,286.0,557.0,12.0,858.75,883.6922669839726,1.0,17.75,779.5,1668.25,1910.0,12.0,0.15146373583244702,0.15076461824414675,0.0004543389368468,0.008064516129032175,0.1420940099371373,0.28937554206418037,0.3313096270598439,12.0,0.018084274852554476,0.020619139188760262,0.0013856320613941,0.0020251545512683,0.0087401406949477,0.030483905350671425,0.0593690044766574,12.0,0.08477400534250074,0.06705255018166048,0.012335553954032,0.022607605494334,0.0809434774833874,0.14575364184854722,0.166347629560619,12.0,0.13099809145370991,0.10208050805469189,0.0167924593216193,0.035240166787039146,0.1319798344042977,0.22476658716298092,0.249119219072545,12.0,0.9152259946574991,0.06705255018166045,0.8336523704393809,0.8542463581514528,0.9190565225166125,0.9773923945056658,0.987664446045968,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,TradAugSpoofOnly,0.3,12.0,3136.9166666666665,1017.0607792987983,2137.0,2182.25,2967.0,4157.75,4265.0,12.0,9284.583333333334,106.43261490328759,9043.0,9245.75,9331.5,9362.25,9372.0,12.0,97.41666666666667,106.43261490328759,10.0,19.75,50.5,136.25,339.0,12.0,846.0833333333334,865.0552749899158,8.0,26.25,782.0,1559.75,2024.0,12.0,0.15078799368312565,0.14603336429784672,0.0036347114947751,0.011926397092230775,0.1446342492748506,0.2705550737207285,0.3510841283607979,12.0,0.010383358203652333,0.011344341814462543,0.001065870816457,0.0021050948625025746,0.0053826476231080495,0.0145224898742272,0.0361330206778938,12.0,0.08058567594338902,0.06861640888457533,0.0120911445941656,0.015496555847417624,0.07610096603584779,0.13633008429161556,0.1760749995886275,12.0,0.12364783097161143,0.10565946548003949,0.0135883425480859,0.023540279127045798,0.12093376462007274,0.2132709657743761,0.2600588002412779,12.0,0.9194143240566109,0.06861640888457532,0.8239250004113725,0.8636699157083845,0.9238990339641521,0.9845034441525823,0.9879088554058344,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
