protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,config/HP_REPEAT,fold_number
2,LOO_ASUS,BeforeSplit,TradAugSpoofOnly,0.05,1248.8333333333333,9173.5,208.5,107.16666666666667,0.07903146509341195,0.02222340652312935,0.05062743580827067,0.0826029063085962,0.9493725641917292,1.5,1.0
2,LOO_ASUS,BeforeSplit,TradAugSpoofOnly,0.1,1240.8333333333333,9334.0,48.0,115.16666666666667,0.08493117010816122,0.005116179918993767,0.045023675013577485,0.07852342434839517,0.9549763249864225,1.5,1.0
2,LOO_ASUS,BeforeSplit,TradAugSpoofOnly,0.2,1262.3333333333333,9326.333333333334,55.666666666666664,93.66666666666667,0.06907571288102256,0.005933347544944167,0.03750453021298337,0.06492465961060029,0.9624954697870165,1.5,1.0
2,LOO_ASUS,BeforeSplit,TradAugSpoofOnly,0.3,1263.6666666666667,9303.166666666666,78.83333333333333,92.33333333333333,0.0680924287118977,0.008402614936402984,0.03824752182415034,0.06423774371010776,0.9617524781758496,1.5,1.0
2,LOO_IP7P,BeforeSplit,TradAugSpoofOnly,0.05,1771.1666666666667,9243.833333333334,138.16666666666666,0.8333333333333334,0.0004702784048156,0.0147267817807148,0.007598530092765216,0.014478132778030834,0.9924014699072347,1.5,1.0
2,LOO_IP7P,BeforeSplit,TradAugSpoofOnly,0.1,1771.1666666666667,9039.833333333334,342.1666666666667,0.8333333333333334,0.0004702784048155833,0.03647054643643853,0.018470412420627066,0.0349888489123985,0.9815295875793728,1.5,1.0
2,LOO_IP7P,BeforeSplit,TradAugSpoofOnly,0.2,1771.3333333333333,8891.166666666666,490.8333333333333,0.6666666666666666,0.0003762227238524667,0.05231649257443325,0.026346357649142865,0.049259271632899525,0.973653642350857,1.5,1.0
2,LOO_IP7P,BeforeSplit,TradAugSpoofOnly,0.3,1771.1666666666667,8866.333333333334,515.6666666666666,0.8333333333333334,0.0004702784048156,0.05496340510196827,0.027716841753391914,0.050800727561839266,0.9722831582466079,1.5,1.0
2,LOO_IPP2017,BeforeSplit,TradAugSpoofOnly,0.05,1502.3333333333333,9362.5,19.5,234.66666666666666,0.13509882939934748,0.0020784480920912,0.06858863874571935,0.11804714603843099,0.9314113612542806,1.5,1.0
2,LOO_IPP2017,BeforeSplit,TradAugSpoofOnly,0.1,1553.3333333333333,9347.166666666666,34.833333333333336,183.66666666666666,0.10573786221454608,0.003712783343992,0.054725322779269066,0.0958357727497044,0.9452746772207309,1.5,1.0
2,LOO_IPP2017,BeforeSplit,TradAugSpoofOnly,0.2,1593.0,8875.833333333334,506.1666666666667,144.0,0.08290155440414505,0.0539508278263341,0.06842619111523955,0.104484321833811,0.9315738088847604,1.5,1.0
