,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AfterSplit,GenAugSpoofOnly,0.05,24.0,1355.0,335.28819530822057,899.0,1112.25,1350.5,1626.0,1772.0,24.0,9154.625,259.7156994970027,8507.0,9035.75,9266.0,9353.5,9382.0,24.0,227.375,259.7156994970027,0.0,28.5,116.0,346.25,875.0,24.0,86.25,95.35346144055627,0.0,0.75,55.0,160.25,284.0,24.0,0.055132897565827184,0.05876789044379792,0.0,0.000423250564334025,0.04038734293533625,0.09951931159918684,0.1635002878526194,24.0,0.02423523768919203,0.027682338466958282,0.0,0.00303773182690255,0.0123641014709017,0.036905777019825156,0.0932636964399914,24.0,0.039684067627509596,0.026153283762263432,0.0017210926451064,0.017310719107510777,0.044702236882400104,0.05286349830990875,0.0994972328232874,24.0,0.06753257852320944,0.04025405407297023,0.0028712086141539,0.0326941558154764,0.07725757139154935,0.09069073506179802,0.1408341329562658,24.0,0.9603159323724904,0.026153283762263467,0.9005027671767125,0.9471365016900912,0.9552977631175998,0.9826892808924893,0.9982789073548936,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,AfterSplit,GenAugSpoofOnly,0.1,24.0,1363.125,335.734666521567,900.0,1118.25,1377.0,1629.25,1772.0,24.0,9197.875,172.95898294858435,8516.0,9161.5,9261.0,9299.5,9353.0,24.0,184.125,172.95898294858435,29.0,82.5,121.0,220.5,866.0,24.0,78.125,85.2042622428469,0.0,0.0,52.0,157.5,236.0,24.0,0.049861038997970085,0.05251476908417313,0.0,0.0,0.0382615180753377,0.09567310386639558,0.1358664363845711,24.0,0.0196253464080153,0.018435193236898784,0.0030910253677254,0.00879343423577055,0.0128970368791302,0.023502451502877823,0.0923044127051801,24.0,0.03474319270299268,0.022428569219266666,0.0059155830313366,0.013672169174631,0.043839478911793,0.0527082629962911,0.0730493981112793,24.0,0.05979903617892266,0.03635840355411164,0.011692826293058,0.026084758923056624,0.07167044702007619,0.08789958377358735,0.120702135103626,24.0,0.9652568072970071,0.022428569219266656,0.9269506018887206,0.9472917370037091,0.9561605210882069,0.9863278308253689,0.9940844169686632,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,AfterSplit,GenAugSpoofOnly,0.2,24.0,1358.9583333333333,334.11264426533006,900.0,1131.75,1388.5,1614.25,1772.0,24.0,9190.5,169.08063422392647,8819.0,9103.5,9225.0,9325.25,9382.0,24.0,191.5,169.08063422392647,0.0,56.75,157.0,278.5,563.0,24.0,82.29166666666667,89.3476255331153,0.0,0.0,43.0,154.0,231.0,24.0,0.052414828802722795,0.054815083924078474,0.0,0.0,0.0316243499337448,0.10619469026548667,0.1329879101899827,24.0,0.020411426135152375,0.01802181136473316,0.0,0.00604881688339365,0.0167341718183756,0.02968450223832865,0.0600085269665316,24.0,0.03641312746893757,0.023487030968762514,0.0012414507777007,0.015108718823278576,0.03541634832029445,0.05870181336381905,0.0788047630250702,24.0,0.06226612232962706,0.037655131649977996,0.0019159727953007,0.029330931253932,0.0583352171124804,0.09670458371753905,0.1199855236218582,24.0,0.9635868725310623,0.02348703096876249,0.9211952369749298,0.9412981866361808,0.9645836516797054,0.9848912811767215,0.9987585492222992,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,AfterSplit,GenAugSpoofOnly,0.3,24.0,1365.7083333333333,348.51280048435706,741.0,1133.25,1395.0,1672.75,1772.0,24.0,9161.708333333334,178.5391149852327,8674.0,9060.0,9212.5,9280.75,9382.0,24.0,220.29166666666666,178.53911498523271,0.0,101.25,169.5,322.0,708.0,24.0,75.54166666666667,78.4174887141375,0.0,0.75,84.5,145.5,219.0,24.0,0.05124687316768933,0.053743654760901205,0.0,0.000423250564334025,0.05889515541494075,0.08578008059873345,0.1766666666666666,24.0,0.023480245860868287,0.019029963225882837,0.0,0.010791942016627525,0.01806651033894685,0.034321040289916824,0.0754636538051588,24.0,0.03736355951427881,0.024224175301946017,0.0020784480920912,0.01653824587498365,0.041308288155264355,0.057155009720558675,0.0883333333333333,24.0,0.060177509017895196,0.03814447453420519,0.0041396879312174,0.031838092283701824,0.0598012052970889,0.08041345032189598,0.15014164305949,24.0,0.9626364404857211,0.024224175301946003,0.9116666666666666,0.9428449902794414,0.9586917118447356,0.9834617541250164,0.9979215519079088,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,GenAugSpoofOnly,0.05,12.0,3263.75,1244.3072643771786,1912.0,2147.5,2999.5,4303.5,5075.0,12.0,9293.25,78.50202660962442,9167.0,9234.25,9315.0,9356.5,9380.0,12.0,88.75,78.50202660962442,2.0,25.5,67.0,147.75,215.0,12.0,719.25,719.4835426761464,14.0,68.5,489.5,1322.5,1953.0,12.0,0.13786915038618805,0.11624666248109511,0.0063607451158564,0.03112221717401175,0.12549586189042036,0.22940156114483953,0.3387684301821335,12.0,0.009459603496056233,0.008367301919593303,0.0002131741632914,0.002717970581965425,0.00714133447026215,0.015748241313152826,0.0229162225538264,12.0,0.07366437694112214,0.054485494181021894,0.0105348811914818,0.0243012492819536,0.06631859818034125,0.11525905005673237,0.1694908021727124,12.0,0.11499966317821918,0.08641337548345854,0.0145872390257846,0.030683534374874675,0.1121818324510501,0.1865634888279677,0.2530851294026607,12.0,0.9263356230588777,0.054485494181021825,0.8305091978272876,0.8847409499432675,0.9336814018196586,0.9756987507180461,0.989465118808518,12.0,7.333333333333333,3.576014371878109,4.0,4.0,7.0,10.0,13.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.6666666666666667,1.9227505550564006,0.0,0.0,0.5,4.0,4.0,12.0,0.11904761904761903,0.13733932536117147,0.0,0.0,0.0357142857142857,0.2857142857142857,0.2857142857142857,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0595238095238095,0.06866966268058572,0.0,0.0,0.01785714285714285,0.1428571428571428,0.1428571428571428,12.0,0.0943355119825708,0.10716466145054998,0.0,0.0,0.0333333333333333,0.2222222222222222,0.2222222222222222,12.0,0.9404761904761906,0.06866966268058572,0.8571428571428572,0.8571428571428572,0.9821428571428572,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,GenAugSpoofOnly,0.1,12.0,3095.25,1072.9291364382748,1949.0,2165.5,2694.5,4111.5,4669.0,12.0,9172.25,453.0743717797734,7795.0,9288.25,9344.5,9360.5,9380.0,12.0,209.75,453.0743717797734,2.0,21.5,37.5,93.75,1587.0,12.0,887.75,925.5597937562877,2.0,40.5,674.0,1542.5,2575.0,12.0,0.16417143433580808,0.15322213645473767,0.0009086778736937,0.018400726942298874,0.15230308071746934,0.2675628794449263,0.4466608846487424,12.0,0.022356640375186494,0.048291875056467,0.0002131741632914,0.002291622255382625,0.0039970155617138495,0.009992538904284774,0.1691536985717331,12.0,0.09326403735549728,0.06897190757548893,0.0023729064064695,0.04117509569834682,0.09068330393861165,0.13499386777618302,0.2234370294060169,12.0,0.14089974409708764,0.10224868946611546,0.0038259308649715,0.0422834527555846,0.1524402879180137,0.21134966731310442,0.3087985009142404,12.0,0.9067359626445025,0.06897190757548895,0.7765629705939832,0.865006132223817,0.9093166960613882,0.9588249043016532,0.9976270935935304,12.0,7.083333333333333,3.2601821849074444,4.0,4.0,6.5,10.0,11.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.9166666666666667,2.0652243256245835,0.0,0.0,1.5,4.0,5.0,12.0,0.1369047619047619,0.1475160232588988,0.0,0.0,0.1071428571428571,0.2857142857142857,0.3571428571428571,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.06845238095238092,0.07375801162944938,0.0,0.0,0.05357142857142855,0.1428571428571428,0.1785714285714285,12.0,0.1068971448228414,0.11384198294102466,0.0,0.0,0.08823529411764705,0.2222222222222222,0.263157894736842,12.0,0.9315476190476191,0.0737580116294494,0.8214285714285714,0.8571428571428572,0.9464285714285714,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,GenAugSpoofOnly,0.2,12.0,3261.25,1203.868093423709,1900.0,2163.0,3206.5,4393.5,4610.0,12.0,9286.166666666666,128.17376935830183,8916.0,9288.25,9333.0,9359.0,9364.0,12.0,95.83333333333333,128.17376935830183,18.0,23.0,49.0,93.75,466.0,12.0,721.75,672.0880793196948,9.0,50.0,728.0,1360.5,1544.0,12.0,0.13746016653314957,0.10859186338407643,0.0040890504316219,0.022716946842344377,0.16855147053318426,0.23599306157849087,0.2678230702515178,12.0,0.010214595324379967,0.013661668019431032,0.0019185674696226,0.002451502877851175,0.00522276700063945,0.00999253890428475,0.0496695800468983,12.0,0.07383738092876478,0.05000292393241018,0.010946677306327,0.024325789492596048,0.08688711876691185,0.11906240160570247,0.1348708188605702,12.0,0.11822761188420776,0.08073770974582238,0.0144351390708472,0.041879236743159576,0.14423378663219516,0.19126239779959217,0.2115665673540782,12.0,0.9261626190712352,0.05000292393241017,0.8651291811394297,0.8809375983942975,0.9131128812330881,0.9756742105074039,0.989053322693673,12.0,7.25,3.4410622038709344,4.0,4.0,7.0,10.0,12.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.75,1.9128750375000738,0.0,0.0,1.0,4.0,4.0,12.0,0.12499999999999996,0.13663393125000528,0.0,0.0,0.0714285714285714,0.2857142857142857,0.2857142857142857,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.06249999999999997,0.06831696562500261,0.0,0.0,0.0357142857142857,0.1428571428571428,0.1428571428571428,12.0,0.09919662309368192,0.10711849526718349,0.0,0.0,0.0625,0.2222222222222222,0.2222222222222222,12.0,0.9375,0.06831696562500261,0.8571428571428572,0.8571428571428572,0.9642857142857143,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,AfterSplit,GenAugSpoofOnly,0.3,12.0,3151.25,1052.3430243552198,2066.0,2175.25,3091.5,4173.25,4333.0,12.0,9241.083333333334,168.11654957922568,8925.0,9139.5,9355.0,9365.25,9379.0,12.0,140.91666666666666,168.11654957922568,3.0,16.75,27.0,242.5,457.0,12.0,831.75,818.3531272678629,2.0,55.25,783.5,1579.25,1781.0,12.0,0.1517658928981662,0.13512337215328835,0.0009086778736937,0.0251022262607905,0.1548656232501744,0.273937554206418,0.3089332176929748,12.0,0.015019896255240485,0.01791905239599507,0.0003197612449371,0.001785333617565475,0.00287785120443395,0.025847367299083324,0.0487102963120869,12.0,0.0833928945767033,0.060484059335724615,0.011620679579087,0.026172479690100302,0.083987917146298,0.13752835928184892,0.1548929571730702,12.0,0.12935085505524777,0.09384178255612272,0.0210120279814606,0.04270523811059328,0.1292171928265206,0.21521926138241965,0.2361729363934139,12.0,0.9166071054232966,0.060484059335724615,0.8451070428269297,0.862471640718151,0.916012082853702,0.9738275203098996,0.9883793204209128,12.0,7.0,3.1333978072025612,4.0,4.0,7.0,10.0,10.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,2.088931871468374,0.0,0.0,2.0,4.0,4.0,12.0,0.14285714285714282,0.14920941939059815,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0714285714285714,0.07460470969529903,0.0,0.0,0.0714285714285714,0.1428571428571428,0.1428571428571428,12.0,0.11111111111111112,0.11605177063713189,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,12.0,0.9285714285714287,0.07460470969529903,0.8571428571428572,0.8571428571428572,0.9285714285714286,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
