,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BeforeSplit,GenAugSpoofOnly,0.05,24.0,1337.5,354.1278324830321,900.0,900.0,1237.5,1654.75,1772.0,24.0,9166.5,302.69528371385087,7939.0,9141.5,9270.0,9323.5,9375.0,24.0,215.5,302.69528371385087,7.0,58.5,112.0,240.5,1443.0,24.0,103.75,174.43530007725926,0.0,0.0,55.5,141.5,837.0,24.0,0.0656990853747864,0.10287037712883615,0.0,0.0,0.0351123339974086,0.09771386430678462,0.4818652849740932,24.0,0.022969516094649273,0.03226340691897793,0.0007461095715199,0.006235344276273625,0.011937753144318851,0.025634193135791874,0.1538051588147516,24.0,0.044334300734717835,0.049193467723221036,0.0021474409716892,0.012603922404604475,0.0415857479455284,0.054149411436660175,0.2431176776607835,24.0,0.0716802420035612,0.06769324604905178,0.003718773425964,0.02458783568887075,0.06850878495458626,0.09092013699438416,0.326136612967553,24.0,0.9556656992652822,0.049193467723221036,0.7568823223392165,0.9458505885633399,0.9584142520544715,0.9873960775953955,0.9978525590283108,24.0,3.4166666666666665,0.928611242975073,2.0,2.0,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.08333333333333333,0.4082482904638631,0.0,0.0,0.0,0.0,2.0,24.0,0.020833333333333332,0.10206207261596577,0.0,0.0,0.0,0.0,0.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.010416666666666666,0.051031036307982884,0.0,0.0,0.0,0.0,0.25,24.0,0.013888888888888888,0.06804138174397717,0.0,0.0,0.0,0.0,0.3333333333333333,24.0,0.9895833333333334,0.05103103630798287,0.75,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,BeforeSplit,GenAugSpoofOnly,0.1,24.0,1350.4166666666667,342.1131158812404,899.0,1092.75,1255.5,1658.5,1772.0,24.0,9141.791666666666,254.52359234061393,8581.0,8994.25,9227.5,9345.0,9379.0,24.0,240.20833333333334,254.5235923406139,3.0,37.0,154.5,387.75,801.0,24.0,90.83333333333333,128.7183195862246,0.0,0.0,50.0,154.75,580.0,24.0,0.05776622805967865,0.07700046591600786,0.0,0.0,0.033946459412780655,0.0951352907311456,0.333909038572251,24.0,0.025603105236978573,0.02712892691756702,0.0003197612449371,0.003943722020891,0.0164677041142613,0.0413291409081219,0.0853762523982093,24.0,0.0416846666483286,0.03810655147622552,0.0012257514389256,0.010000105464268124,0.04283593370222155,0.0566511155872352,0.1674341611535311,24.0,0.06472523929805003,0.054805631818845464,0.0024455077086656,0.018687971872409673,0.07074535221249781,0.08780653826344748,0.2505038448452104,24.0,0.9583153333516714,0.038106551476225534,0.8325658388464688,0.9433488844127647,0.9571640662977784,0.9899998945357318,0.9987742485610744,24.0,3.4583333333333335,0.883627241233132,2.0,2.75,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.041666666666666664,0.20412414523193154,0.0,0.0,0.0,0.0,1.0,24.0,0.010416666666666666,0.051031036307982884,0.0,0.0,0.0,0.0,0.25,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.005208333333333333,0.025515518153991442,0.0,0.0,0.0,0.0,0.125,24.0,0.008333333333333333,0.0408248290463863,0.0,0.0,0.0,0.0,0.2,24.0,0.9947916666666666,0.02551551815399144,0.875,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,BeforeSplit,GenAugSpoofOnly,0.2,24.0,1364.5416666666667,337.92936992509397,896.0,1127.25,1394.0,1635.75,1772.0,24.0,9203.291666666666,230.82545243701705,8570.0,9154.0,9297.5,9333.0,9378.0,24.0,178.70833333333334,230.82545243701705,4.0,49.0,84.5,228.0,812.0,24.0,76.70833333333333,81.10995176525701,0.0,0.0,54.5,147.75,200.0,24.0,0.04933688824810976,0.050692622589582834,0.0,0.0,0.0409390363815142,0.09542314335060448,0.1151410477835348,24.0,0.019047999715767722,0.024603011344811025,0.0004263483265828,0.0052227670006395,0.00900660839906195,0.02430185461522055,0.086548710296312,24.0,0.034192443981938735,0.025727740253381485,0.0004953412061807,0.00452995096994235,0.04382014231733515,0.055339002606321,0.0827427476296493,24.0,0.0560083753321016,0.03996310803962005,0.0005642562264552,0.008978523913446375,0.0757664318473466,0.0880857191970815,0.1038180694010847,24.0,0.9658075560180612,0.025727740253381478,0.9172572523703508,0.9446609973936788,0.9561798576826648,0.9954700490300576,0.9995046587938192,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
2,BeforeSplit,GenAugSpoofOnly,0.3,24.0,1358.75,335.5776654743539,900.0,1110.75,1375.5,1620.25,1772.0,24.0,9120.833333333334,236.1986390762006,8446.0,9063.5,9205.5,9295.5,9359.0,24.0,261.1666666666667,236.19863907620058,23.0,86.5,176.5,318.5,936.0,24.0,82.5,89.77508127198384,0.0,0.0,49.5,168.25,244.0,24.0,0.05274465226216327,0.055626206539055124,0.0,0.0,0.03641786025822855,0.1025073746312684,0.1404720782959125,24.0,0.02783699282313645,0.025175723627819294,0.0024515028778512,0.00921978256235335,0.018812619910466802,0.03394798550415685,0.0997655084203794,24.0,0.040290822542649866,0.02544837407168217,0.0029844382860797,0.012429169515805876,0.050805172649063104,0.0625147644593184,0.0742274480285791,24.0,0.06529829453471285,0.0390158133192795,0.005933460478915,0.0238620911123529,0.07130405305639465,0.09416892977926332,0.1234354468892699,24.0,0.95970917745735,0.025448374071682153,0.9257725519714208,0.9374852355406816,0.949194827350937,0.987570830484194,0.9970155617139204,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.5,0.5107539184552492,1.0,1.0,1.5,2.0,2.0,24.0,1.0,0.8340576562282991,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,GenAugSpoofOnly,0.05,12.0,3022.75,1000.391207569228,1935.0,2143.75,2814.5,3949.5,4289.0,12.0,9280.083333333334,187.60764586732273,8714.0,9282.5,9362.5,9367.25,9371.0,12.0,101.91666666666667,187.60764586732276,11.0,14.75,19.5,99.5,668.0,12.0,960.25,908.9260520976491,12.0,71.75,871.0,1764.5,2325.0,12.0,0.18259895663604767,0.14486742191544208,0.0054520672421626,0.03259881871876415,0.18844095544365425,0.3060711188204683,0.4032957502168257,12.0,0.01086300007105799,0.019996551467418768,0.0011724578981027,0.001572159454274075,0.00207844809209115,0.01060541462374755,0.0712001705393306,12.0,0.09673097835355286,0.06816451132804553,0.0080020941625437,0.03994533695319398,0.09751661421372809,0.15383496252257692,0.2022341040574642,12.0,0.1472057223007158,0.10095874084693808,0.010498577771041,0.05960919055402085,0.1560850795167572,0.2346054789442948,0.2876321593302161,12.0,0.9032690216464472,0.06816451132804552,0.7977658959425359,0.8461650374774231,0.9024833857862719,0.9600546630468059,0.9919979058374564,12.0,6.916666666666667,3.058767824804721,4.0,4.0,6.5,10.0,10.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0833333333333335,2.1933093855190746,0.0,0.0,2.0,4.0,5.0,12.0,0.1488095238095238,0.1566649561085053,0.0,0.0,0.14285714285714285,0.2857142857142857,0.3571428571428571,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.07440476190476188,0.07833247805425263,0.0,0.0,0.0714285714285714,0.1428571428571428,0.1785714285714285,12.0,0.1145224171539961,0.1201442502084714,0.0,0.0,0.1111111111111111,0.2222222222222222,0.263157894736842,12.0,0.9255952380952381,0.07833247805425264,0.8214285714285714,0.8571428571428572,0.9285714285714286,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,GenAugSpoofOnly,0.1,12.0,3171.4166666666665,1103.8887837865266,1968.0,2155.0,2997.0,4308.75,4427.0,12.0,9274.916666666666,129.61232989421205,8939.0,9202.5,9350.5,9358.75,9379.0,12.0,107.08333333333333,129.61232989421208,3.0,23.25,31.5,179.5,443.0,12.0,811.5833333333334,787.4912361224708,11.0,48.0,785.5,1452.75,1961.0,12.0,0.15124040177800332,0.1281095414116277,0.0049977283053157,0.0218082689686506,0.1689755858824716,0.25199479618386816,0.3401561144839549,12.0,0.01141369999289416,0.013814999988724382,0.0003197612449371,0.0024781496482625997,0.00335749307183965,0.01913238115540395,0.0472180771690471,12.0,0.08132705088544871,0.059237668935765035,0.0131042787764054,0.0274879475725215,0.08512731543110995,0.1276894680130596,0.1713571022217259,12.0,0.12622007511677347,0.09272484711905524,0.0193729109316997,0.03648898645244188,0.14223441582414115,0.201819952431148,0.2543036908303547,12.0,0.9186729491145512,0.059237668935765,0.828642897778274,0.8723105319869403,0.9148726845688899,0.9725120524274784,0.9868957212235946,12.0,7.083333333333333,3.2321772378645472,4.0,4.0,7.0,10.0,11.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.9166666666666667,2.0207259421636903,0.0,0.0,1.5,4.0,4.0,12.0,0.13690476190476186,0.14433756729740643,0.0,0.0,0.1071428571428571,0.2857142857142857,0.2857142857142857,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.06845238095238092,0.07216878364870319,0.0,0.0,0.05357142857142855,0.1428571428571428,0.1428571428571428,12.0,0.10729847494553375,0.1127748747208656,0.0,0.0,0.08823529411764705,0.2222222222222222,0.2222222222222222,12.0,0.9315476190476191,0.07216878364870319,0.8571428571428572,0.8571428571428572,0.9464285714285714,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,GenAugSpoofOnly,0.2,12.0,3114.6666666666665,1059.7133689080383,1906.0,2171.75,2976.0,3925.75,4645.0,12.0,9282.0,96.76870267902643,9088.0,9250.5,9309.0,9360.75,9372.0,12.0,100.0,96.76870267902643,10.0,21.25,73.0,131.5,294.0,12.0,868.3333333333334,869.611651395279,14.0,29.75,707.5,1621.75,2000.0,12.0,0.16068637622862952,0.14420723494150162,0.0063607451158564,0.013516583371194876,0.16415289431240945,0.28130962705984386,0.3469210754553339,12.0,0.010658708164570409,0.010314293613198296,0.001065870816457,0.0022649754849712,0.0077808569601364,0.0140162012364101,0.0313366020038371,12.0,0.08567254219659998,0.06812996690596605,0.0113843332583365,0.01626178184350805,0.08636657719244431,0.14174758764684378,0.1739934731358954,12.0,0.1299905397516776,0.10430241547498056,0.0131287888255853,0.024886116398337002,0.1414003659712696,0.2195599076370978,0.2577699846607387,12.0,0.9143274578034002,0.06812996690596602,0.8260065268641045,0.8582524123531562,0.9136334228075556,0.9837382181564919,0.9886156667416632,12.0,7.083333333333333,3.2321772378645472,4.0,4.0,7.0,10.0,11.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.9166666666666667,2.0207259421636903,0.0,0.0,1.5,4.0,4.0,12.0,0.13690476190476186,0.14433756729740643,0.0,0.0,0.1071428571428571,0.2857142857142857,0.2857142857142857,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.06845238095238092,0.07216878364870319,0.0,0.0,0.05357142857142855,0.1428571428571428,0.1428571428571428,12.0,0.10729847494553375,0.1127748747208656,0.0,0.0,0.08823529411764705,0.2222222222222222,0.2222222222222222,12.0,0.9315476190476191,0.07216878364870319,0.8571428571428572,0.8571428571428572,0.9464285714285714,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
3,BeforeSplit,GenAugSpoofOnly,0.3,12.0,3196.25,1083.5058522307029,2138.0,2174.0,3102.0,4120.0,4618.0,12.0,9253.666666666666,139.42892182909628,8958.0,9151.5,9320.5,9368.0,9370.0,12.0,128.33333333333334,139.42892182909628,12.0,14.0,61.5,230.5,424.0,12.0,786.75,804.6644840044711,12.0,29.0,605.0,1567.0,1750.0,12.0,0.1408470997768498,0.13519115092883197,0.0054520672421626,0.013175829168559701,0.11379129489749396,0.2718126626192541,0.3035559410234171,12.0,0.013678675477865368,0.014861321874770439,0.0012790449797484,0.0014922191430398,0.0065551055212108,0.024568322319334875,0.0451929226177787,12.0,0.0772628876273576,0.061542956339560174,0.0134148631690155,0.020910553680421398,0.0639689061398072,0.13662579411073555,0.1525240800832285,12.0,0.11942021374035461,0.09706463794757292,0.0166971444282769,0.02802765403856665,0.1049855672586138,0.2138962095807347,0.2331344740832389,12.0,0.9227371123726421,0.06154295633956014,0.8474759199167714,0.8633742058892645,0.9360310938601927,0.9790894463195786,0.9865851368309844,12.0,7.083333333333333,3.2321772378645472,4.0,4.0,7.0,10.0,11.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.9166666666666667,2.0207259421636903,0.0,0.0,1.5,4.0,4.0,12.0,0.13690476190476186,0.14433756729740643,0.0,0.0,0.1071428571428571,0.2857142857142857,0.2857142857142857,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.06845238095238092,0.07216878364870319,0.0,0.0,0.05357142857142855,0.1428571428571428,0.1428571428571428,12.0,0.10729847494553375,0.1127748747208656,0.0,0.0,0.08823529411764705,0.2222222222222222,0.2222222222222222,12.0,0.9315476190476191,0.07216878364870319,0.8571428571428572,0.8571428571428572,0.9464285714285714,1.0,1.0,12.0,1.5,0.5222329678670935,1.0,1.0,1.5,2.0,2.0,12.0,1.0,0.8528028654224418,0.0,0.0,1.0,2.0,2.0
