protocol_number,protocol,config/HP_AUG_PER,aug_type,when_aug_performed,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
2,LOO_ASUS,0.0,Baseline,None,1227.3333333333333,9325.833333333334,56.166666666666664,128.66666666666666,0.09488692232055058,0.005986641085767017,0.050436781703158795,0.08689011602712726,0.9495632182968411,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,0.05,GenAugSpoofOnly,AfterSplit,1230.5,9245.5,136.5,125.5,0.09255162241887901,0.014549136644638624,0.05355037953175882,0.08547826157827262,0.9464496204682411,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,0.05,GenAugSpoofOnly,BeforeSplit,1212.1666666666665,9330.333333333332,51.666666666666664,143.83333333333331,0.10607177974434606,0.005506999218361359,0.05578938948135369,0.09595681069827805,0.9442106105186463,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,0.05,TradAugSpoofOnly,AfterSplit,1227.0,9335.166666666666,46.833333333333336,129.0,0.09513274336283183,0.004991828323740433,0.05006228584328617,0.08714871059845453,0.9499377141567137,,,,,,,,,,1.5,1.0
2,LOO_ASUS,0.05,TradAugSpoofOnly,BeforeSplit,1248.8333333333333,9173.5,208.5,107.16666666666667,0.07903146509341195,0.02222340652312935,0.05062743580827067,0.0826029063085962,0.9493725641917292,,,,,,,,,,1.5,1.0
2,LOO_ASUS,0.1,GenAugSpoofOnly,AfterSplit,1226.1666666666667,9325.5,56.5,129.83333333333334,0.09574729596853487,0.006022170112982266,0.05088473304075855,0.08760978923888112,0.9491152669592414,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,0.1,GenAugSpoofOnly,BeforeSplit,1217.5833333333335,9217.666666666668,164.33333333333334,138.41666666666669,0.10207718780727625,0.017515810417110735,0.059796499112193494,0.09414489735727057,0.9402035008878065,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,0.1,TradAugSpoofOnly,AfterSplit,1255.3333333333333,9340.833333333334,41.166666666666664,100.66666666666667,0.0742379547689282,0.00438783486108145,0.0393128948150048,0.06937011282857007,0.9606871051849951,,,,,,,,,,1.5,1.0
2,LOO_ASUS,0.1,TradAugSpoofOnly,BeforeSplit,1240.8333333333333,9334.0,48.0,115.16666666666667,0.08493117010816122,0.005116179918993767,0.045023675013577485,0.07852342434839517,0.9549763249864225,,,,,,,,,,1.5,1.0
2,LOO_ASUS,0.2,GenAugSpoofOnly,AfterSplit,1231.0,9303.0,79.0,125.0,0.0921828908554572,0.008420379450010618,0.05030163515273389,0.08488117296448329,0.9496983648472661,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,0.2,GenAugSpoofOnly,BeforeSplit,1231.25,9297.416666666666,84.58333333333333,124.75,0.09199852507374628,0.009015490655865776,0.050507007864806025,0.08467397270774768,0.949492992135194,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,0.2,TradAugSpoofOnly,AfterSplit,1266.5,9228.0,154.0,89.5,0.0660029498525073,0.01641441057343845,0.04120868021297288,0.06264767325032371,0.9587913197870271,,,,,,,,,,1.5,1.0
2,LOO_ASUS,0.2,TradAugSpoofOnly,BeforeSplit,1262.3333333333333,9326.333333333334,55.666666666666664,93.66666666666667,0.06907571288102256,0.005933347544944167,0.03750453021298337,0.06492465961060029,0.9624954697870165,,,,,,,,,,1.5,1.0
2,LOO_ASUS,0.3,GenAugSpoofOnly,AfterSplit,1235.6666666666665,9266.666666666668,115.33333333333333,120.33333333333334,0.08874139626352012,0.012293043416471224,0.05051721983999566,0.08203375234735524,0.9494827801600043,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,0.3,GenAugSpoofOnly,BeforeSplit,1225.5833333333335,9209.25,172.75,130.41666666666669,0.096177482792527,0.01841291835429541,0.057295200573411184,0.0888604381924955,0.9427047994265888,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,0.3,TradAugSpoofOnly,AfterSplit,1273.1666666666667,9288.333333333334,93.66666666666667,82.83333333333333,0.06108652900688297,0.00998365664748095,0.035535092827181966,0.05801452556146919,0.9644649071728179,,,,,,,,,,1.5,1.0
2,LOO_ASUS,0.3,TradAugSpoofOnly,BeforeSplit,1263.6666666666667,9303.166666666666,78.83333333333333,92.33333333333333,0.0680924287118977,0.008402614936402984,0.03824752182415034,0.06423774371010776,0.9617524781758496,,,,,,,,,,1.5,1.0
2,LOO_IP7P,0.0,Baseline,None,1771.0,9121.666666666666,260.3333333333333,1.0,0.00056433408577875,0.027748170255098365,0.014156252170438548,0.02659448808325235,0.9858437478295613,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,0.05,GenAugSpoofOnly,AfterSplit,1771.0,9105.166666666668,276.83333333333337,1.0,0.0005643340857787166,0.029506857102252496,0.015035595594015625,0.028004569732484233,0.9849644044059844,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,0.05,GenAugSpoofOnly,BeforeSplit,1771.3333333333333,9087.583333333332,294.4166666666667,0.6666666666666666,0.000376222723852475,0.03138101328785613,0.0158786180058543,0.0293941910988734,0.9841213819941457,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,0.05,TradAugSpoofOnly,AfterSplit,1771.3333333333333,9211.5,170.5,0.6666666666666666,0.0003762227238524667,0.018173097420592584,0.009274660072222534,0.01778018031584325,0.9907253399277774,,,,,,,,,,1.5,1.0
2,LOO_IP7P,0.05,TradAugSpoofOnly,BeforeSplit,1771.1666666666667,9243.833333333334,138.16666666666666,0.8333333333333334,0.0004702784048156,0.0147267817807148,0.007598530092765216,0.014478132778030834,0.9924014699072347,,,,,,,,,,1.5,1.0
2,LOO_IP7P,0.1,GenAugSpoofOnly,AfterSplit,1771.25,9191.916666666668,190.08333333333331,0.75,0.000423250564334025,0.020260427769487617,0.010341839166910833,0.019769331401637533,0.989658160833089,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,0.1,GenAugSpoofOnly,BeforeSplit,1771.25,9169.0,213.0,0.75,0.000423250564334025,0.022703048390535017,0.011563149477434526,0.021837893875317694,0.9884368505225654,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,0.1,TradAugSpoofOnly,AfterSplit,1771.3333333333333,9010.5,371.5,0.6666666666666666,0.0003762227238524667,0.03959710083137922,0.019986661777615832,0.03802460873548615,0.9800133382223842,,,,,,,,,,1.5,1.0
2,LOO_IP7P,0.1,TradAugSpoofOnly,BeforeSplit,1771.1666666666667,9039.833333333334,342.1666666666667,0.8333333333333334,0.0004702784048155833,0.03647054643643853,0.018470412420627066,0.0349888489123985,0.9815295875793728,,,,,,,,,,1.5,1.0
2,LOO_IP7P,0.2,GenAugSpoofOnly,AfterSplit,1771.0833333333335,9178.25,203.75,0.9166666666666667,0.0005173062452971417,0.021717117885312248,0.011117212065304725,0.02101657588759696,0.9888827879346952,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,0.2,GenAugSpoofOnly,BeforeSplit,1771.4166666666667,9301.583333333332,80.41666666666666,0.5833333333333334,0.00032919488337091666,0.008571377815675359,0.004450286349523125,0.008442499068696343,0.9955497136504768,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,0.2,TradAugSpoofOnly,AfterSplit,1771.1666666666667,9120.833333333334,261.1666666666667,0.8333333333333334,0.0004702784048155833,0.02783699282313648,0.014153635613976015,0.02694434432631743,0.9858463643860239,,,,,,,,,,1.5,1.0
2,LOO_IP7P,0.2,TradAugSpoofOnly,BeforeSplit,1771.3333333333333,8891.166666666666,490.8333333333333,0.6666666666666666,0.0003762227238524667,0.05231649257443325,0.026346357649142865,0.049259271632899525,0.973653642350857,,,,,,,,,,1.5,1.0
2,LOO_IP7P,0.3,GenAugSpoofOnly,AfterSplit,1771.25,9227.0,155.0,0.75,0.000423250564334025,0.01652099765508416,0.008472124109709092,0.015907191110989826,0.9915278758902908,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
